,operation,one,two
0,INS,,٧
1,INS,,١
2,SUB,السجايا,الجابا
3,OK,والاخلاق,والاخلاق
4,OK,ولكن,ولكن
5,SUB,الذي,الذى
6,OK,لا,لا
7,OK,ريب,ريب
8,SUB,فيه,فبه
9,OK,ولا,ولا
10,OK,حيرة,حيرة
11,SUB,فيه,فمه
12,OK,ان,ان
13,OK,سارة,سارة
14,OK,ارجح,ارجح
15,SUB,واصلح,واصل
16,INS,,محق
17,SUB,قبل,بلا
18,DEL,ان,
19,SUB,ينزل,نيز
20,INS,,لا
21,SUB,التكليف,لتك
22,INS,,اي
23,SUB,على,فعل
24,OK,ابناء,ابناء
25,OK,ادم,ادم
26,OK,وحواء,وحواء
27,OK,وان,وان
28,OK,هندا,هندا
29,OK,ارجح,ارجح
30,OK,واصلح,واصلح
31,SUB,حيثما,حيث
32,INS,,ي
33,SUB,نزل,انزل
34,OK,تكليف,تكليف
35,SUB,اي,اى
36,OK,تكليف,تكليف
37,OK,وما,وما
38,SUB,زالت,زالتا
39,DEL,الصور,
40,DEL,النسائية,
41,SUB,تتوارى,اصورالسائةتتوارى
42,OK,وتتهافت,وتتهافت
43,OK,في,في
44,SUB,بديهة,ديبة
45,SUB,همام,هما
46,SUB,حتى,محى
47,SUB,احتجبت,اتجك
48,DEL,كل,
49,SUB,صورة,لصورة
50,OK,الا,الا
51,OK,هاتين,هاتين
52,OK,الصورتين,الصورتين
53,OK,المتقابلتين,المتقابلتين
54,OK,احداهما,احداهما
55,SUB,قائمة,قانية
56,INS,,ى
57,DEL,في,
58,SUB,محراب,حراب
59,OK,والاخرى,والاخرى
60,SUB,باثقة,اثقة
61,OK,كالزهرة,كالزهرة
62,OK,من,من
63,OK,زبد,زبد
64,SUB,العباب,العنات
65,INS,,و
66,SUB,وتعاقب,تعاقبت
67,SUB,الايام,الانام
68,SUB,فاصبحت,فاصمحت
69,INS,,احداهما
70,SUB,صورة,صوره
71,DEL,فنية,
72,SUB,نفيسة,سه
73,SUB,لا,نماسةلا
74,SUB,تقوم,تة
75,INS,,و٣
76,SUB,بمال,ما
77,INS,,لو
78,SUB,ومثلت,مثلت
79,OK,الاخرى,الاخرى
80,SUB,كما,ا
81,OK,كانت,كانت
82,OK,تمثالا,تمثالا
83,OK,من,من
84,SUB,لحم,لحر
85,OK,ودم,ودم
86,OK,وكانت,وكانت
87,OK,سارة,سارة
88,OK,لا,لا
89,SUB,تعلم,تعلمن
90,INS,,ش
91,DEL,من,
92,SUB,شان,ان
93,OK,هند,هند
94,OK,الا,الا
95,SUB,ان,انهما
96,SUB,هماما,ما
97,OK,يعرفها,يعرفها
98,INS,,ويـ
99,SUB,ويكبرها,كبرها
100,SUB,ويزورها,ويزوره
101,SUB,حينا,احنا
102,SUB,بعد,بعدد
103,OK,حين,حين
104,OK,فكانت,فكانت
105,SUB,تبرم,تتب
106,INS,,ر
107,INS,,م
108,SUB,بهذه,هذه
109,SUB,الزيارات,الزبارات
110,OK,ثم,ثم
111,OK,كانت,كانت
112,SUB,تتوخى,تتوشى
113,SUB,ان,انتعوه
114,DEL,تغويه,
115,SUB,وتشغله,وتشغل
116,INS,,هى
117,DEL,في,
118,SUB,اليوم,اليرم
119,SUB,الذي,الذى
120,SUB,يختاره,بختاره
121,SUB,لزيارة,لزارة
122,SUB,هند,هن
123,OK,فيؤجل,فيؤجل
124,SUB,الموعد,الموعدل
125,SUB,لانه,انه
126,OK,لم,لم
127,SUB,يكن,يسكن
128,SUB,في,فى
129,OK,الحقيقة,الحقيقة
130,OK,بموعد,بموعد
131,INS,,و
132,SUB,ولان,لان
133,SUB,البعد,البعدي
134,SUB,يمنع,من
135,INS,,ح
136,OK,الاتصال,الاتصال
137,OK,بسارة,بسارة
138,OK,وما,وما
139,OK,عندها,عندها
140,SUB,من,مبا
141,OK,سرور,سرور
142,OK,ولكنه,ولكنه
143,OK,لا,لا
144,OK,يمنع,يمنع
145,OK,الاتصال,الاتصال
146,SUB,بهند,ند
147,DEL,في,
148,SUB,ذلك,فذلك
149,OK,اليوم,اليوم
150,SUB,وفي,وفكل
151,DEL,كل,
152,DEL,يوم,
153,OK,وراح,وراح
154,DEL,همام,
155,SUB,ينسرق,ميسر
156,SUB,من,ومن
157,OK,نفسه,نفسه
158,OK,وهو,وهو
159,SUB,يدري,ندرى
160,OK,تارة,تارة
161,SUB,ولا,ولابدرى
162,DEL,يدري,
163,SUB,تارة,باره
164,OK,اخرى,اخرى
165,SUB,حتى,جى
166,SUB,ابتلعته,اتل
167,INS,,عته
168,SUB,اللجة,الاجة
169,SUB,وشغلته,ومغلته
170,OK,سارة,سارة
171,OK,عن,عن
172,OK,كل,كل
173,OK,شاغل,شاغل
174,OK,او,او
