,operation,one,two
0,INS,,١٤٦
1,OK,من,من
2,OK,رضوان,رضوان
3,SUB,لله,الله
4,OK,لن,لن
5,OK,يكون,يكون
6,OK,اقل,اقل
7,OK,من,من
8,OK,حظك,حظك
9,OK,لاني,لاني
10,OK,احتمل,احتمل
11,OK,مثل,مثل
12,OK,ما,ما
13,SUB,تحتمل,محتمل
14,OK,من,من
15,OK,الالم,الالم
16,OK,بل,بل
17,OK,اكثر,اكثر
18,OK,مما,مما
19,SUB,تحتمل,يحتمل
20,OK,من,من
21,OK,الالم,الالم
22,OK,واحمل,واحمل
23,OK,نفسي,نفسي
24,SUB,على,عل
25,OK,مثل,مثل
26,OK,ما,ما
27,SUB,تحمل,يحمل
28,OK,نفسك,نفسك
29,OK,عليه,عليه
30,OK,من,من
31,SUB,الجهاد,ابحهاد
32,OK,بل,بل
33,SUB,على,عل
34,SUB,اكثر,اكار
35,OK,مما,مما
36,SUB,تحمل,يحمل
37,OK,نفسك,نفسك
38,OK,عليه,عليه
39,OK,من,من
40,SUB,الجهاد,ابيحهاد
41,OK,وكان,وكان
42,OK,خالد,خالد
43,DEL,يسمع,
44,OK,هذا,هذا
45,OK,الحديث,الحديث
46,SUB,فيبسم,فم
47,OK,له,له
48,SUB,ويظهر,واظهر
49,OK,اقراره,اقراره
50,SUB,ثم,لم
51,SUB,يعود,يعاد
52,OK,به,به
53,SUB,على,عل
54,INS,,ب
55,OK,امراته,امراته
56,SUB,فيضحكان,ويضحكان
57,OK,من,من
58,OK,بعضه,بعضه
59,OK,ضحكا,ضحكا
60,OK,كثيرا,كثيرا
61,SUB,وينكران,ويذكران
62,OK,بعضه,بعضه
63,OK,الاخر,الاخر
64,OK,انكارا,انكارا
65,OK,شديدا,شديدا
66,SUB,والشباب,ولشباب
67,SUB,والصبية,والصباة
68,OK,من,من
69,SUB,ابنائهما,ايتهما
70,SUB,يسمعون,يسمعان
71,OK,من,من
72,OK,ذلك,ذلك
73,OK,ما,ما
74,OK,يسمعون,يسمعون
75,SUB,فيضحكون,ويضحكون
76,INS,,و
77,SUB,ويقلدون,يقلدون
78,INS,,و
79,SUB,ويعبثون,يعبثون
80,OK,اذا,اذا
81,OK,خلوا,خلوا
82,OK,الى,الى
83,OK,انفسهم,انفسهم
84,OK,او,او
85,OK,الى,الى
86,OK,امهم,امهم
87,SUB,بابيهم,يلبسهم
88,OK,حينا,حينا
89,SUB,وبعمهم,ويعمهم
90,OK,حينا,حينا
91,SUB,وبجدهم,واحدهر
92,OK,الشيخ,الشيخ
93,SUB,حينا,حبذا
94,OK,وامهم,وامهم
95,OK,تسمع,تسمع
96,SUB,فتظهر,وتظهر
97,OK,الغضب,الغضب
98,SUB,وتكتم,وتكم
99,OK,الرضا,الرضا
100,SUB,وربما,وريعا
101,OK,قصت,قصت
102,OK,من,من
103,OK,ذلك,ذلك
104,SUB,على,عل
105,OK,زوجها,زوجها
106,OK,اطرافا,اطرافا
107,SUB,فضحك,وضحك
108,OK,له,له
109,OK,وارتاح,وارتاح
110,OK,اليه,اليه
111,OK,وربما,وربما
112,SUB,استخفى,استخو
113,OK,زوجها,زوجها
114,SUB,في,ف
115,OK,بعض,بعض
116,OK,الحجرات,الحجرات
117,SUB,ليتسمع,لاتسمع
118,SUB,على,عل
119,SUB,بنيه,يسهه
120,SUB,وهم,وهر
121,OK,يعبثون,يعبثون
122,OK,بالاسرة,بالاسرة
123,SUB,ويقلدون,واقيدان
124,OK,شيوخها,شيوخها
125,SUB,وكهولها,وكهوها
126,SUB,يقلدونهم,يقيداسم
127,SUB,في,ف
128,OK,اللهجة,اللهجة
129,INS,,و
130,SUB,ويقلدونهم,يقادوسم
131,INS,,ى
132,DEL,في,
133,OK,الصوت,الصوت
134,SUB,ويقلدونهم,ويقيدوسم
135,INS,,و
136,DEL,في,
137,OK,حركات,حركات
138,OK,الوجه,الوجه
139,OK,واليدين,واليدين
140,OK,وقد,وقد
141,OK,يقلدون,يقلدون
142,OK,في,في
143,OK,التفكير,التفكير
144,OK,ايضا,ايضا
145,OK,وكان,وكان
146,OK,الاختلاف,الاختلاف
147,OK,بين,بين
148,OK,خالد,خالد
149,SUB,وسليم,وسله
150,OK,قد,قد
151,OK,اشتد,اشتد
152,OK,وظهرت,وظهرت
153,SUB,اثاره,اثارة
154,OK,واضحة,واضحة
155,OK,كل,كل
156,OK,الوضوح,الوضوح
157,SUB,على,عل
158,OK,مر,مر
159,OK,الايام,الايام
160,OK,وتتابع,وتتابع
161,OK,السنين,السنين
162,SUB,فاما,واما
163,OK,خالد,خالد
164,SUB,فقد,وقد
165,OK,اقام,اقام
166,OK,في,في
167,OK,مدينته,مدينته
168,OK,تلك,تلك
169,OK,بين,بين
170,OK,جماعة,جماعة
171,OK,من,من
172,OK,الموظفين,الموظفين
173,SUB,يختلفون,يختلفان
174,OK,في,في
175,OK,الطبقة,الطبقة
176,SUB,والثروة,والذروة
177,OK,والثقافة,والثقافة
178,SUB,والذوق,واللاق
179,OK,وكان,وكان
180,OK,خالد,خالد
181,OK,طموحا,طموحا
182,OK,ولم,ولم
183,OK,تكن,تكن
184,OK,امراته,امراته
185,OK,اقل,اقل
186,OK,منه,منه
187,OK,طموحا,طموحا
188,OK,الى,الى
189,OK,الرقي,الرقي
190,SUB,فكان,وكان
191,OK,خالد,خالد
192,OK,يحرص,يحرص
193,SUB,على,عل
194,OK,ان,ان
195,OK,تكون,تكون
196,OK,داره,داره
197,OK,كدار,كدار
198,OK,كبار,كبار
199,OK,الموظفين,الموظفين
200,OK,حسنة,حسنة
201,SUB,النظام,النظا
202,SUB,جميلة,حملة
203,SUB,التنسيق,الـ
204,INS,,سسبي
205,INS,,ي
206,SUB,نفيسة,نفسة
207,SUB,الانية,الاذية
208,SUB,والاداة,والادلة
209,OK,وكانت,وكانت
210,OK,امراته,امراته
211,OK,تعينه,تعينه
212,SUB,على,عل
213,OK,ذلك,ذلك
214,INS,,ا
215,SUB,احسن,حسن
216,OK,معونة,معونة
217,OK,وتدبر,وتدبر
218,DEL,الفصل,
219,DEL,الثاني,
220,DEL,والعشرون,
221,OK,له,له
222,OK,ذلك,ذلك
223,OK,احسن,احسن
224,OK,تدبير,تدبير
225,OK,ولم,ولم
226,OK,يكن,يكن
227,OK,خالد,خالد
228,SUB,يطمئن,يطمي
229,SUB,حتى,حي
230,OK,يدعو,يدعو
231,OK,الى,الى
232,OK,داره,داره
233,OK,كبار,كبار
234,OK,الموظفين,الموظفين
