,operation,one,two
0,INS,,١٨٥
1,SUB,فتجنب,فتجنبت
2,OK,هذه,هذه
3,OK,البائسة,البائسة
4,OK,رؤية,رؤية
5,OK,هذا,هذا
6,SUB,الفتى,الفى
7,SUB,الذي,الذى
8,OK,انتظرت,انتظرت
9,INS,,ا
10,INS,,ء
11,SUB,اعواما,واما
12,INS,,واع
13,SUB,واعواما,واما
14,OK,ان,ان
15,OK,يكون,يكون
16,OK,لها,لها
17,OK,زوجا,زوجا
18,SUB,والذي,والذى
19,OK,عقدت,عقدت
20,SUB,به,بها
21,SUB,امالا,مالا
22,OK,وامالا,وامالا
23,SUB,ثم,مم
24,OK,نظرت,نظرت
25,OK,ذات,ذات
26,OK,يوم,يوم
27,OK,فاذا,فاذا
28,SUB,هي,ه
29,SUB,تجزى,مجزى
30,OK,من,من
31,OK,هذا,هذا
32,OK,الانتظار,الانتظار
33,OK,الطويل,الطويل
34,OK,والصبر,والصبر
35,OK,المتصل,المتصل
36,OK,بالهجران,بالهجران
37,SUB,والحرمان,وارمان
38,SUB,ثم,مم
39,OK,بهذه,بهذه
40,OK,الاهانة,الاهانة
41,SUB,التي,الي
42,INS,,ى
43,OK,لا,لا
44,OK,تطيق,تطيق
45,OK,المراة,المراة
46,OK,صبرا,صبرا
47,OK,عليها,عليها
48,SUB,وهي,وهى
49,OK,هذا,هذا
50,OK,الزواج,الزواج
51,SUB,الصوري,الصورى
52,SUB,الذي,الذى
53,OK,لم,لم
54,OK,يرد,يرد
55,SUB,حتى,حين
56,OK,خداعها,خداعها
57,SUB,هي,هى
58,OK,او,او
59,OK,تضليلها,تضليلها
60,SUB,فلم,فلهي
61,SUB,يحفل,حفل
62,OK,احد,احد
63,SUB,حتى,حيى
64,SUB,بخداعها,بجداعها
65,OK,وتضليلها,وتضليلها
66,SUB,وانما,واما
67,OK,اريد,اريد
68,OK,به,به
69,SUB,خداع,خداعا
70,SUB,اولئك,ولثك
71,OK,المعارضين,المعارضين
72,OK,من,من
73,SUB,اخوتها,اخومها
74,SUB,ليتم,ليته
75,OK,هذا,هذا
76,OK,الزواج,الزواج
77,SUB,الذي,الذى
78,OK,هو,هو
79,OK,الى,الى
80,OK,الغصب,الغصب
81,OK,والعدوان,والعدوان
82,OK,اقرب,اقرب
83,OK,منه,منه
84,OK,الى,الى
85,SUB,اي,اى
86,SUB,شيء,ىء
87,SUB,اخر,ار
88,OK,لم,لم
89,OK,يخطر,يخطر
90,OK,هذا,هذا
91,OK,لمنى,لمنى
92,OK,بل,بل
93,OK,لعله,لعله
94,OK,خطر,خطر
95,OK,لها,لها
