,operation,one,two
0,OK,عن,عن
1,OK,العمل,العمل
2,OK,وان,وان
3,OK,يضطجع,يضطجع
4,OK,ويشعل,ويشعل
5,SUB,سيجارة,سيجارةة
6,INS,,ولكنه
7,INS,,هز
8,INS,,راسه
9,INS,,وقال
10,INS,,ل
11,OK,هل,هل
12,OK,ارجع,ارجع
13,OK,بها,بها
14,OK,القهقرى,القهقرى
15,INS,,ى
16,OK,ثم,ثم
17,OK,ابدا,ابدا
18,OK,من,من
19,OK,جديد,جديد
20,INS,,فقلت
21,SUB,ولكنه,له
22,SUB,هز,ه
23,DEL,راسه,
24,DEL,وقال,
25,SUB,كلا,كلاا
26,SUB,انى,اني
27,OK,افضل,افضل
28,SUB,لسخافتى,لسخافتي
29,OK,ان,ان
30,OK,اواجه,اواجه
31,OK,الموت,الموت
32,INS,,ت
33,SUB,فقلت,فقالت
34,DEL,له,
35,DEL,في,
36,SUB,الطريق,اختي
37,INS,,ى
38,OK,هل,هل
39,OK,نستطيع,نستطيع
40,OK,ان,ان
41,SUB,ندفعها,تدفعها
42,SUB,يايدينا,بايدينا
43,OK,حتى,حتى
44,OK,نبلغ,نبلغ
45,OK,ذروة,ذروة
46,OK,هذا,هذا
47,OK,المرتفع,المرتفع
48,SUB,فقالت,قلتت
49,DEL,اختى,
50,SUB,كلا,كلاا
51,OK,ان,ان
52,OK,زنتها,زنتها
53,OK,لا,لا
54,OK,تقل,تقل
55,OK,عن,عن
56,OK,طنين,طنين
57,INS,,ن
58,SUB,قلت,وقال
59,INS,,ابن
60,INS,,عمي
61,INS,,ى
62,OK,لن,لن
63,OK,اسالك,اسالك
64,OK,عن,عن
65,OK,السبب,السبب
66,OK,فى,فى
67,OK,وقوفها,وقوفها
68,SUB,كلما,كل
69,INS,,ما
70,SUB,حاولت,خاولت
71,OK,ان,ان
72,OK,احملها,احملها
73,OK,على,على
74,DEL,وقال,
75,DEL,ابن,
76,DEL,عمى,
77,OK,السير,السير
78,SUB,فانى,فاني
