,operation,one,two
0,DEL,من,
1,DEL,تحفه,
2,SUB,الماثورات,الماورات
3,OK,وبالغوا,وبالغوا
4,SUB,في,فى
5,OK,الالحاح,الالحاح
6,SUB,يومئذ,يومثذل
7,INS,,يذ
8,SUB,لينظروا,ظرواع
9,SUB,بماذا,اذا
10,SUB,يتجلى,يتجل
11,OK,عليه,عليه
12,SUB,السهو,السب
13,SUB,المبارك,والمبارك
14,OK,بعد,بعد
15,SUB,تلك,تاكالسب
16,DEL,السهوات,
17,SUB,الالمعيات,واتالالمميات
18,SUB,فلم,فل
19,SUB,يخلف,بخل
20,SUB,ظنونهم,فظنوهم
21,OK,اخر,اخر
22,SUB,الامر,الام
23,SUB,فتكلم,فتكله
24,SUB,وكان,وكارزماق
25,DEL,ما,
26,DEL,قال,
27,SUB,بيت,البيت
28,OK,القصيد,القصيد
29,OK,واية,واية
30,SUB,الايات,الا
31,DEL,في,
32,SUB,ذلك,باتفذاك
33,SUB,اليوم,الي
34,INS,,هم
35,OK,الخصيب,الخصيب
36,DEL,سارة,
37,OK,انقلب,انقلب
38,OK,من,من
39,OK,الدفاع,الدفاع
40,OK,الى,الى
41,SUB,الهجوم,الجوم
42,OK,وقال,وقال
43,SUB,لهم,مه
44,SUB,مستجمعا,تجمعا
45,SUB,سكينته,سنته
46,OK,واعتداده,واعتداده
47,SUB,تترقبون,ترقبونا
48,SUB,الوف,لو
49,SUB,الجنيهات,فالجزيها
50,INS,,تتر
51,SUB,تريدون,بدون
52,DEL,ان,
53,SUB,تكسبوا,انتكسوا
54,DEL,وهل,
55,SUB,انتم,دولانويه
56,DEL,وجه,
57,SUB,مكسب,يكسب
58,SUB,لله,الهلار
59,DEL,لا,
60,DEL,يكسبكم,
61,DEL,انني,
62,SUB,تعمدت,كاتيتعمدت
63,SUB,ان,الا
64,SUB,اجيئكم,اجيهج
65,SUB,بالارقام,الارقام
66,OK,واكتفيت,واكتفيت
67,OK,بما,بما
68,SUB,اذكر,اذ
69,SUB,من,رمن
70,SUB,ارقام,رجاق
71,SUB,الاستاذ,االاسان
72,OK,همام,همام
73,SUB,وارقامي,وارق
74,INS,,اى
75,SUB,ولم,ولماح
76,DEL,احفل,
77,SUB,بما,فلما
78,OK,عدا,عدا
79,SUB,ذلك,ذاك
80,SUB,وهل,وهلكن
81,DEL,كنتم,
82,OK,من,من
83,OK,البلاهة,البلاهة
84,OK,والغفلة,والغفلة
85,INS,,ب
86,SUB,حيث,حتى
87,SUB,تحسبون,حسبون
88,SUB,انني,اتى
89,OK,اراجع,اراجع
90,INS,,اـك
91,DEL,لكم,
92,SUB,ارقامكم,ارقام
93,SUB,ومكاسبكم,ومكاسب
94,INS,,كل
95,SUB,لاكسب,اكسب
96,SUB,منكم,مد
97,OK,هذا,هذا
98,OK,الهراء,الهراء
99,SUB,الذي,الذى
100,OK,لا,لا
101,OK,تفلحون,تفلحون
102,DEL,في,
103,SUB,غيره,فغيره
104,OK,ويلاحظ,ويلاحظ
105,OK,انه,انه
106,DEL,لم,
107,SUB,يختلق,لمختلى
108,OK,هذه,هذه
109,OK,المعذرة,المعذرة
110,SUB,الا,الاد
111,SUB,بعد,عد
112,SUB,ما,م
113,SUB,حصل,احصل
114,SUB,الصحاب,الصح
115,INS,,ات
116,OK,على,على
117,OK,الكشف,الكشف
118,OK,وراجعوا,وراجعوا
119,SUB,الارقام,ار
120,SUB,ويئسوا,مويسو
121,DEL,جميعا,
122,DEL,من,
123,SUB,الارباح,بالارباح
124,OK,ولم,ولم
125,SUB,يختلقها,ختلقها
126,OK,قبل,قبل
127,OK,ذلك,ذلك
128,OK,مخافة,مخافة
129,OK,ان,ان
130,SUB,يكذبه,يكنه
131,OK,الواقع,الواقع
132,OK,عند,عند
133,SUB,مراجعة,مراجمة
134,SUB,الكشف,الـكثر
135,INS,,ف
136,SUB,فيسقط,فسقط
137,DEL,في,
138,SUB,يديه,قدبه
139,SUB,الا,الاابهم
140,DEL,انهم,
141,OK,لم,لم
142,OK,يتركوه,يتركوه
143,SUB,ينعم,ينهب
144,SUB,باكذوبته,اكذوبته
145,OK,المهلهلة,المهلهلة
146,SUB,التي,الى
147,SUB,ساقه,ساقها
148,SUB,اليها,لما
149,SUB,الحرج,الجرح
150,OK,والنكاية,والنكاية
151,OK,والمزاح,والمزاح
152,OK,وراحوا,وراحوا
153,OK,يقولون,يقولون
154,OK,له,له
155,OK,بعدما,بعدما
156,OK,اوسعوه,اوسعوه
157,SUB,سخرا,خر
158,INS,,ا
159,SUB,واشبعوه,واتعوه
160,OK,هذرا,هذرا
161,DEL,يا,
162,SUB,مكابر,بامكار
163,OK,اتذكر,اتذكر
164,OK,سبعين,سبعين
165,SUB,نمرة,بمرةبن
166,DEL,بين,
167,OK,كبيرة,كبيرة
168,INS,,و
169,SUB,وصغيرة,صعيره
170,DEL,قراتها,
171,SUB,منذ,امنذا
172,SUB,ايام,بام
173,DEL,ولا,
174,SUB,تذكر,ولاتذكر
175,SUB,نمرا,تمرا
176,OK,اربعا,اربعا
177,OK,قراتها,قراتها
178,SUB,منذ,متذ
179,OK,دقائق,دقائق
180,SUB,طيب,ط
