,operation,one,two
0,OK,فى,فى
1,OK,مثل,مثل
2,OK,هذه,هذه
3,OK,الحالة,الحالة
4,OK,اكان,اكان
5,OK,يطيع,يطيع
6,OK,المراة,المراة
7,OK,التى,التى
8,OK,لعلها,لعلها
9,OK,تعنى,تعنى
10,OK,خلاف,خلاف
11,OK,ما,ما
12,OK,تقول,تقول
13,DEL,ام,
14,SUB,كان,امكان
15,OK,يطيع,يطيع
16,OK,غرائزه,غرائزه
17,OK,ورغباته,ورغباته
18,OK,وانه,وانه
19,OK,ليفكر,ليفكر
20,OK,فى,فى
21,OK,هذا,هذا
22,SUB,وما,وماالسه
23,INS,,و
24,DEL,اليه,
25,SUB,واذا,اذا
26,OK,بصرخة,بصرخة
27,OK,عالية,عالية
28,OK,فوثب,فوثب
29,OK,الى,الى
30,OK,قدميه,قدميه
31,OK,ونط,ونط
32,OK,فوق,فوق
33,DEL,ماذا,
34,DEL,جرى,
35,OK,الصخرة,الصخرة
36,OK,وانحط,وانحط
37,SUB,عند,عن
38,SUB,جليلة,دحلدلة
39,OK,وسالها,وسالها
40,INS,,ماذا
41,DEL,في,
42,SUB,الطريق,جرى
43,SUB,ولم,وله
44,OK,يحتج,يحتج
45,OK,منها,منها
46,OK,الى,الى
47,OK,جواب,جواب
48,OK,فقد,فقد
49,OK,كان,كان
50,OK,حسبه,حسبه
51,INS,,جوابا
52,OK,ذلك,ذلك
53,OK,الفزع,الفزع
54,OK,الذى,الذى
55,OK,ارتسم,ارتسم
56,OK,على,على
57,OK,وجهها,وجهها
58,OK,فدار,فدار
59,OK,بعينه,بعينه
60,OK,ينظر,ينظر
61,OK,فما,فما
62,OK,كان,كان
63,OK,يسعها,يسعها
64,OK,ان,ان
65,OK,تقول,تقول
66,OK,شيئا,شيئا
67,OK,من,من
68,OK,فرط,فرط
69,OK,الجزع,الجزع
70,OK,فابصر,فابصر
71,OK,افعى,افعى
72,OK,على,على
73,DEL,نحو,
74,SUB,مترين,ومترين
75,OK,منها,منها
76,OK,فانقض,فانقض
77,OK,عليها,عليها
78,OK,وتناولها,وتناولها
79,DEL,من,
80,SUB,ذيلها,منذلها
