,operation,one,two
0,INS,,١٦٣
1,INS,,اسرار
2,INS,,الابات
3,OK,بلا,بلا
4,OK,واسطة,واسطة
5,OK,على,على
6,OK,الوجه,الوجه
7,OK,المذكور,المذكور
8,OK,مختص,مختص
9,OK,بالانسان,بالانسان
10,OK,الكامل,الكامل
11,OK,دون,دون
12,OK,غيره,غيره
13,OK,كما,كما
14,OK,علمت,علمت
15,OK,فكان,فكان
16,OK,العرض,العرض
17,OK,عاما,عاما
18,OK,على,على
19,OK,الممكنات,الممكنات
20,OK,مارا,مارا
21,OK,على,على
22,OK,المخلوقات,المخلوقات
23,OK,كلها,كلها
24,OK,فلم,فلم
25,OK,يقبلها,يقبلها
26,OK,احد,احد
27,OK,للعلة,للعلة
28,OK,المذكورة,المذكورة
29,OK,الا,الا
30,OK,الانسان,الانسان
31,OK,الكامل,الكامل
32,OK,لفقره,لفقره
33,OK,وعجزه,وعجزه
34,OK,وضعف,وضعف
35,OK,قوته,قوته
36,SUB,وبراءة,وبرائة
37,OK,ذمته,ذمته
38,OK,عن,عن
39,OK,جميع,جميع
40,OK,الشواغل,الشواغل
41,OK,الوجودية,الوجودية
42,SUB,وقطع,وقطعا
43,SUB,التفاته,لتفان
44,INS,,ه
45,OK,عن,عن
46,OK,ما,ما
47,OK,سوى,سوى
48,OK,الحبيب,الحبيب
49,OK,المطلق,المطلق
50,OK,كما,كما
51,OK,حكى,حكى
52,OK,الله,الله
53,OK,عن,عن
54,OK,خليله,خليله
55,OK,بقوله,بقوله
56,OK,فانهم,فانهم
57,OK,عدو,عدو
58,SUB,لي,لى
59,OK,الا,الا
60,OK,رب,رب
61,OK,العالمين,العالمين
62,INS,,و
63,SUB,وبقوله,بقوله
64,SUB,اني,انى
65,OK,ذاهب,ذاهب
66,OK,الى,الى
67,SUB,ربي,ربى
68,OK,سيهدين,سيهدين
69,OK,تنوير,تنوير
70,SUB,تمثيلي,تمث
71,INS,,بلى
72,OK,ان,ان
73,OK,نسبة,نسبة
74,OK,الانسان,الانسان
75,OK,الى,الى
76,SUB,سائر,ساير
77,OK,المخلوقات,المخلوقات
78,OK,كنسبة,كنسبة
79,OK,القلب,القلب
80,OK,الى,الى
81,SUB,سائر,سائس
82,INS,,ر
83,OK,الاعضاء,الاعضاء
84,OK,وقد,وقد
85,OK,تحقق,تحقق
86,SUB,في,فى
87,OK,علم,علم
88,OK,الطبيعة,الطبيعة
89,OK,ان,ان
90,OK,قوة,قوة
91,SUB,الحياة,الحيوة
92,OK,تفيض,تفيض
93,OK,من,من
94,OK,الروح,الروح
95,OK,الى,الى
96,OK,القلب,القلب
97,OK,وبواسطته,وبواسطته
98,OK,الى,الى
99,SUB,سائر,ساير
100,OK,البدن,البدن
101,OK,فيصير,فيصير
102,OK,ذا,ذا
103,SUB,حياة,حيوة
104,OK,وحس,وحس
105,OK,وحركة,وحركة
106,OK,فكما,فكما
107,OK,ان,ان
108,OK,فيض,فيض
109,OK,الروح,الروح
110,OK,عام,عام
111,OK,على,على
112,OK,اعضاء,اعضاء
113,OK,البدن,البدن
114,OK,كلها,كلها
115,OK,على,على
116,OK,وجه,وجه
117,SUB,العارية,العاربة
118,OK,المردودة,المردودة
119,OK,الى,الى
120,OK,اهلها,اهلها
121,OK,وهو,وهو
122,OK,الروح,الروح
123,OK,عند,عند
124,OK,الموت,الموت
125,OK,الا,الا
126,OK,ان,ان
127,OK,قبوله,قبوله
128,OK,وحمله,وحمله
129,OK,مختص,مختص
130,OK,بالقلب,بالقلب
131,OK,ثم,ثم
132,DEL,من,
133,OK,القلب,القلب
134,SUB,يسري,يسرى
135,OK,اثر,اثر
136,SUB,الحياة,الحيوة
137,OK,بواسطة,بواسطة
138,SUB,الشرايين,الشرائين
139,OK,وعروق,وعروق
140,DEL,ما,
141,SUB,ساريقا,ماساريقا
142,OK,الى,الى
143,SUB,سائر,ساير
144,OK,الاعضاء,الاعضاء
145,OK,لكل,لكل
146,OK,منها,منها
147,OK,ما,ما
148,OK,يناسبه,يناسبه
149,OK,فيكون,فيكون
150,SUB,به,بهذا
151,DEL,ذا,
152,OK,قوة,قوة
153,SUB,حياة,حيوة
154,OK,وحس,وحس
155,SUB,وحركة,وحر
156,OK,فكذلك,فكذلك
157,SUB,عرض,عض
158,OK,الفيض,الفيض
159,SUB,الالهي,الالهى
160,OK,عام,عام
161,OK,على,على
162,OK,جميع,جميع
163,OK,المخلوقات,المخلوقات
164,OK,على,على
165,OK,وجه,وجه
166,OK,يقوم,يقوم
167,OK,عليها,عليها
168,OK,مدة,مدة
169,OK,ثم,ثم
170,OK,يرجع,يرجع
171,OK,الى,الى
172,OK,مبدعه,مبدعه
173,OK,ومفيضه,ومفيضه
174,OK,عند,عند
175,OK,القيامة,القيامة
176,OK,الكبرى,الكبرى
177,OK,الا,الا
178,OK,ان,ان
179,OK,قبوله,قبوله
180,OK,بلا,بلا
181,OK,واسطة,واسطة
182,OK,وحمل,وحمل
183,OK,اصله,اصله
184,OK,مختص,مختص
185,OK,بالانسان,بالانسان
186,OK,الكامل,الكامل
187,OK,ومنه,ومنه
188,OK,يصل,يصل
189,OK,اثر,اثر
190,OK,الفيض,الفيض
191,OK,الى,الى
192,OK,سائر,سائر
