,operation,one,two
0,SUB,فارتفع,فارتمع
1,OK,كابوس,كابوس
2,OK,ثقيل,ثقيل
3,OK,عن,عن
4,OK,صدر,صدر
5,SUB,صاحبنا,صاحنا
6,OK,واحب,واحب
7,OK,ان,ان
8,SUB,يعتقد,يسقد
9,OK,ان,ان
10,OK,كلام,كلام
11,OK,البائع,البائع
12,OK,خليق,خليق
13,OK,ان,ان
14,OK,يزيل,يزيل
15,OK,من,من
16,OK,نفسه,نفسه
17,SUB,جميع,جيح
18,OK,الشكوك,الشكوك
19,SUB,لا,لاد
20,DEL,مجرد,
21,OK,الشك,الشك
22,SUB,الذي,الذى
23,OK,خامره,خامره
24,OK,عن,عن
25,OK,زيارة,زيارة
26,OK,السيدة,السيدة
27,OK,لدار,لدار
28,OK,الصور,الصور
29,OK,المتحركة,المتحركة
30,OK,في,في
31,OK,ذلك,ذلك
32,OK,اليوم,اليوم
33,OK,الا,الا
34,SUB,انها,اها
35,SUB,طمانينة,طمانينةعاجلة
36,DEL,عاجلة,
37,OK,لم,لم
38,OK,تلبث,تلبث
39,OK,ان,ان
40,OK,ذهبت,ذهبت
41,DEL,كما,
42,SUB,جاءت,كاجاءت
43,SUB,في,فى
44,OK,طرفة,طرفة
45,OK,عين,عين
46,OK,واذا,واذا
47,INS,,نص
48,SUB,بصاحبنا,احنا
49,SUB,يناجي,نناجى
50,OK,نفسه,نفسه
51,OK,ذلك,ذلك
52,OK,النجاء,النجاء
53,SUB,الذي,الذى
54,OK,كان,كان
55,SUB,غائبا,غائي
56,SUB,عن,امن
57,SUB,خاطره,اطره
58,SUB,منذ,من
59,SUB,فترة,ذفرة
60,OK,وجيزة,وجيزة
61,SUB,يا,باتجا
62,DEL,عجبا,
63,DEL,اني,
64,SUB,لاجتنب,اىلاجتن
65,OK,هذه,هذه
66,OK,الدار,الدار
67,SUB,كانها,كام
68,INS,,اي
69,INS,,شتا
70,DEL,تجمع,
71,SUB,شياطين,طين
72,OK,الارض,الارض
73,OK,كلها,كلها
74,SUB,في,فحز
75,DEL,حيز,
76,OK,واحد,واحد
77,SUB,وهي,وم
78,OK,تزورها,تزورها
79,OK,ولا,ولا
80,DEL,موعد,
81,OK,ترى,ترى
82,SUB,فيما,في
83,INS,,ا
84,SUB,كان,ان
85,OK,بيننا,بيننا
86,OK,من,من
87,OK,القطيعة,القطيعة
88,SUB,موجبا,مو
89,INS,,جنا
90,SUB,لاجتنابها,لاجتنامها
91,OK,لو,لو
92,SUB,كان,كانقلب
93,SUB,قلبها,يا
94,SUB,خاليا,فالزا
95,SUB,من,منه
96,SUB,هوى,وي
97,OK,اخر,اخر
98,OK,لما,لما
99,OK,استطاعت,استطاعت
100,OK,ذلك,ذلك
101,OK,ولفعلت,ولفعلت
102,DEL,كما,
103,SUB,كنت,كاكنت
104,OK,افعل,افعل
105,OK,انا,انا
106,OK,الى,الى
107,OK,هذا,هذا
108,OK,المساء,المساء
109,OK,والاغلب,والاغلب
110,OK,الارجح,الارجح
111,OK,ان,ان
112,OK,هذا,هذا
113,OK,البائع,البائع
114,OK,يعلم,يعلم
115,INS,,رم
116,DEL,من,
117,SUB,خفية,خفيةالار
118,DEL,الامر,
119,SUB,اكثر,اكثرما
120,DEL,مما,
121,SUB,يبوح,ي
122,SUB,به,يوه
123,SUB,او,اوربد
124,DEL,يريد,
125,OK,ان,ان
126,SUB,يبوح,يو
127,OK,الا,الا
128,OK,ترى,ترى
129,OK,الى,الى
130,OK,غمزات,غمزات
131,OK,عينيه,عينيه
132,OK,وحركات,وحركات
133,SUB,وجهه,وجه
134,INS,,هو
135,SUB,ونغمات,نشات
136,SUB,كلامه,تلامه
137,SUB,فماذا,فاذ
138,SUB,على,اعل
139,OK,المنحوس,المنحوس
140,OK,لو,لو
141,SUB,افضىبما,افضى
142,INS,,ما
143,OK,عنده,عنده
144,OK,واراحنا,واراحنا
145,OK,من,من
146,OK,هذا,هذا
147,OK,العناء,العناء
148,DEL,سرا,
149,DEL,عنده,
150,OK,وعاد,وعاد
151,SUB,صاحبنا,صاح
152,INS,,من
153,INS,,اي
154,SUB,يتساءل,نساءل
155,SUB,في,فى
156,OK,ضميره,ضميره
157,OK,ما,ما
158,OK,عنده,عنده
159,OK,اهكذا,اهكذا
160,OK,جزمت,جزمت
161,SUB,سريعا,سريها
162,OK,بان,بان
163,INS,,عنده
164,INS,,سرا
165,OK,وانه,وانه
166,OK,يستطيع,يستطيع
167,OK,ان,ان
168,OK,يبوح,يبوح
169,SUB,باكثر,باكم
170,SUB,مما,بما
171,OK,قال,قال
172,OK,الا,الا
173,SUB,يجوز,جرز
174,OK,انه,انه
175,OK,لم,لم
176,OK,يعرف,يعرف
177,OK,سرا,سرا
178,OK,على,على
179,OK,الاطلاق,الاطلاق
180,SUB,وان,وارماح
181,DEL,ما,
182,SUB,حسبته,ست
183,INS,,هش
184,SUB,غمزات,ات
185,SUB,ونغمات,ونغ
186,INS,,اتمر
187,SUB,مريبة,يبهى
188,DEL,في,
189,OK,صوته,صوته
190,SUB,انما,اتماه
191,DEL,هي,
192,OK,عادة,عادة
193,OK,هذه,هذه
194,SUB,الطبقة,الطم
195,SUB,عندما,قةعندما
196,OK,تتحدث,تتحدث
197,OK,لرجل,لرجل
198,OK,عن,عن
199,OK,امراة,امراة
200,OK,او,او
201,OK,عندما,عندما
202,OK,تتحدث,تتحدث
203,SUB,في,فى
204,OK,كل,كل
205,OK,شان,شان
206,OK,بين,بين
207,OK,رجال,رجال
208,OK,ونساء,ونساء
209,SUB,يجوز,جو
210,SUB,لا,ذا
