,operation,one,two
0,SUB,تجربة,بجرية
1,OK,جديدة,جديدة
2,OK,بعد,بعد
3,OK,ان,ان
4,OK,فشلت,فشلت
5,SUB,تجربته,بجرت
6,INS,,ته
7,SUB,السابقة,السارقة
8,SUB,ولا,ولابد
9,INS,,هل
10,DEL,بد,
11,DEL,له,
12,SUB,من,همنا
13,SUB,الذهاب,لذها
14,SUB,ولاسرور,ولا
15,INS,,سرار
16,OK,له,له
17,OK,في,في
18,OK,القعود,القعود
19,OK,والاحجام,والاحجام
20,SUB,والتسليم,والنا
21,OK,بينه,بينه
22,OK,وبين,وبين
23,INS,,ش
24,SUB,ضميره,ميرهان
25,DEL,ان,
26,OK,الذهاب,الذهاب
27,DEL,لا,
28,SUB,يفيد,لايفسد
29,OK,لقد,لقد
30,SUB,كانا,كان
31,SUB,يحضران,اضران
32,SUB,الى,الي
33,SUB,الموعد,الماء
34,INS,,د
35,INS,,حتال
36,DEL,بحكم,
37,SUB,العادة,هاد
38,SUB,التي,ةالتي
39,OK,لم,لم
40,SUB,يجسرا,جسرا
41,OK,بعد,بعد
42,SUB,على,عل
43,OK,تغييرها,تغييرها
44,SUB,لانهما,لا
45,SUB,كانا,هانا
46,OK,يخافان,يخافان
47,OK,من,من
48,SUB,التفكير,التقم
49,INS,,كير
50,OK,في,في
51,OK,التغيير,التغيير
52,SUB,ويخافان,وخاقان
53,OK,من,من
54,SUB,التفكير,التف
55,INS,,سكير
56,OK,في,في
57,OK,ذلك,ذلك
58,SUB,الخواء,الخاءا
59,SUB,الموحش,ووحشا
60,SUB,الذي,ذيي
61,OK,يستولي,يستولي
62,SUB,عليهما,عليهم
63,SUB,لا,الا
64,SUB,محالة,بجالة
65,OK,بعد,بعد
66,OK,ذلك,ذلك
67,SUB,التغيير,التخيير
68,SUB,فهما,فاما
69,SUB,يحضران,يصمر
70,INS,,ان
71,INS,,لا
72,SUB,لانهما,هما
73,SUB,خائفان,خائفا
74,SUB,من,سمن
75,OK,الغياب,الغياب
76,OK,لا,لا
77,SUB,لانهما,لايهم
78,SUB,راغبان,اراغان
79,DEL,في,
80,SUB,الحضور,فالحضو
81,OK,اما,اما
82,OK,قبل,قبل
83,OK,ذلك,ذلك
84,SUB,فما,فاا
85,SUB,ابعد,تمدد
86,SUB,الفرق,القرق
87,OK,وما,وما
88,SUB,اهول,ادول
89,OK,الاختلاف,الاختلاف
90,OK,وما,وما
91,OK,احب,احب
92,OK,اللقاء,اللقاء
93,SUB,بعد,بعدد
94,SUB,طول,طولالار
95,INS,,و
96,SUB,الانتظار,انا
97,SUB,وان,طولاد
98,SUB,اطول,طس
99,DEL,امد,
100,SUB,لهذا,ذا
101,SUB,الانتظار,الانتقاار
102,DEL,ما,
103,SUB,كان,ماكان
104,SUB,ليزيد,ليني
105,INS,,دع
106,DEL,على,
107,SUB,يوم,ليوم
108,OK,واحد,واحد
109,OK,او,او
110,INS,,يرض
111,SUB,بعضيوم,يؤم
112,OK,في,في
113,INS,,معظ
114,SUB,بعضالاوقات,الاوقات
115,SUB,كانت,كانتا
116,SUB,الساعة,اساة
117,OK,الخامسة,الخامسة
118,SUB,كانها,تاما
119,OK,علامة,علامة
120,INS,,م
121,SUB,موسومة,وسامة
122,OK,في,في
123,SUB,مدار,مدارا
124,SUB,الفلك,لقياك
125,SUB,بالشهب,بالشرب
126,INS,,والـ
127,SUB,والكواكب,كواكب
128,SUB,والهالات,والاالات
129,OK,وكان,وكان
130,SUB,صاحبنا,صاح
131,INS,,من
132,INS,,ايت
133,INS,,هي
134,SUB,يتعجل,جل
135,OK,الوقت,الوقت
136,OK,قبل,قبل
137,SUB,حلولها,حلو
138,SUB,بربع,ربع
139,OK,ساعة,ساعة
140,SUB,فيلتزم,فيلزم
141,SUB,مكانه,منه
142,INS,,و
143,SUB,وراء,راء
144,OK,النافذة,النافذة
145,SUB,لينظر,لتقارن
146,INS,,دعوة
147,SUB,من,اامنه
148,DEL,ثقوبها,
149,DEL,الى,
150,SUB,منعطف,مرئي
151,SUB,الطريق,ثارنا
152,DEL,حيث,
153,SUB,يلوح,لقس
154,SUB,القادم,ادم
155,OK,اول,اول
156,OK,ما,ما
157,OK,يقبل,يقبل
158,SUB,على,علال
159,SUB,الدار,اتوه
160,INS,,و
161,SUB,وكثيرا,كثيرا
162,OK,ما,ما
163,SUB,كانت,كااامي
164,INS,,٢
165,SUB,الغيوم,هؤووس
166,DEL,تكفهر,
167,DEL,والغيوث,
168,DEL,تنهمر,
169,SUB,والهواء,وتدرووااء
170,OK,يعصف,يعصف
171,SUB,باردا,اردا
172,OK,قارسا,قارسا
173,OK,في,في
174,SUB,صبارة,صمارة
175,DEL,الشتاء,
176,SUB,وصاحبنا,وصاح
177,INS,,منا
178,OK,واقف,واقف
179,OK,وراء,وراء
180,OK,النافذة,النافذة
181,INS,,وس
