,operation,one,two
0,INS,,٢٤
1,SUB,يجوز,للحوزز
2,OK,وهكذا,وهكذا
3,OK,انطلقت,انطلقت
4,SUB,في,فى
5,SUB,مخيلة,مخالة
6,OK,صاحبنا,صاحبنا
7,OK,اوهام,اوهام
8,OK,واشباح,واشباح
9,DEL,لا,
10,SUB,عداد,لاعداد
11,OK,لها,لها
12,OK,في,في
13,OK,تلك,تلك
14,OK,الساعة,الساعة
15,OK,القصيرة,القصيرة
16,SUB,ولا,و
17,SUB,يقاس,يهس
18,INS,,ح
19,SUB,عليها,لا
20,INS,,ا
21,INS,,ال
22,SUB,كل,اكل
23,DEL,ما,
24,SUB,شهدته,ماشهدته
25,OK,تلك,تلك
26,OK,الدار,الدار
27,SUB,من,م
28,SUB,الاوهام,الا
29,INS,,ها
30,SUB,والاشباح,الاشا
31,DEL,ومن,
32,SUB,المبكيات,ايماكيات
33,OK,والمضحكات,والمضحكات
34,INS,,مدون
35,OK,ولم,ولم
36,OK,ينقذه,ينقذه
37,SUB,مما,بما
38,OK,استغرق,استغرق
39,OK,فيه,فيه
40,OK,الا,الا
41,SUB,انتهاء,اتهاا
42,SUB,التمثيل,التقثيل
43,OK,وزحام,وزحام
44,OK,الخروج,الخروج
45,OK,ولقاء,ولقاء
46,INS,,بعض
47,SUB,بعضالاصحاب,الالب
48,SUB,وسهرة,وسره
49,SUB,كثرت,رت
50,SUB,فيها,فيئا
51,OK,الشواغل,الشواغل
52,OK,وطال,وطال
53,OK,الحديث,الحديث
54,SUB,ونام,وذلم
55,SUB,تلك,تللك
56,SUB,الليلة,اللبية
57,SUB,على,عل
58,SUB,اثر,اتر
59,INS,,انقضاض
60,SUB,انفضاضالسهرة,السيرة
61,OK,وكان,وكان
62,OK,يقدر,يقدر
63,OK,انه,انه
64,OK,لن,لن
65,SUB,ينام,نا
66,OK,ولكنه,ولكنه
67,OK,لو,لو
68,OK,قضى,قضى
69,OK,الليل,الليل
70,OK,كله,كله
71,OK,ساهرا,ساهرا
72,OK,لما,لما
73,SUB,عمل,صمل
74,OK,في,في
75,OK,اليقظة,اليقظة
76,OK,الا,الا
77,OK,الذي,الذي
78,SUB,عمله,مية
79,OK,وهو,وهو
80,SUB,نائم,تلم
81,INS,,م
82,SUB,حلم,حل
83,OK,وتفكير,وتفكير
84,SUB,وهواجس,وهالحس
85,OK,وخيالات,وخيالات
86,OK,تضطرب,تضطرب
87,OK,وتصطخب,وتصطخب
88,OK,ويتبع,ويتبع
89,SUB,بعضها,بعضبا
90,OK,بعضا,بعضا
91,OK,ولا,ولا
92,OK,تميل,تميل
93,OK,الى,الى
94,SUB,جانب,جانت
95,OK,الرضا,الرضا
96,OK,لحظة,لحظة
97,SUB,حتى,حي
98,SUB,تعود,ادود
99,OK,الى,الى
100,SUB,جانب,جان
101,OK,الوسواس,الوسواس
102,OK,والمنغصات,والمنغصات
103,DEL,ثم,
104,OK,استيقظ,استيقظ
105,OK,في,في
106,SUB,الصباح,ايصالح
107,OK,وهو,وهو
108,OK,يسال,يسال
109,OK,نفسه,نفسه
110,SUB,كانما,كاما
111,OK,يسال,يسال
112,SUB,مخلوقا,بخلاقا
113,SUB,غريبا,غربا
114,SUB,يجهل,ل
115,DEL,ما,
116,SUB,عنده,ماعنده
117,OK,من,من
118,OK,نية,نية
119,SUB,وشعور,وتعور
120,SUB,اتنوي,اتذوي
121,OK,ان,ان
122,OK,تنتظرها,تنتظرها
123,SUB,في,فى
124,SUB,الموعد,ايمو
125,INS,,عد
126,DEL,فما,
127,SUB,هو,ولهو
128,OK,الا,الا
129,OK,ان,ان
130,OK,وضح,وضح
131,OK,السؤال,السؤال
132,OK,في,في
133,SUB,خاطره,خلط
134,INS,,ر٥ي
135,DEL,حتى,
136,SUB,شعر,ر
137,INS,,ر
138,INS,,شه
139,SUB,بانه,انه
140,OK,سؤال,سؤال
141,SUB,غريب,عراب
142,OK,يدل,يدل
143,SUB,على,عل
144,DEL,ما,
145,SUB,وراءه,ماوراءه
146,SUB,وحتى,وحي
147,OK,بدت,بدت
148,INS,,له
149,OK,الدهشة,الدهشة
150,OK,من,من
151,OK,ان,ان
152,OK,تكون,تكون
153,OK,هناك,هناك
154,OK,نية,نية
155,OK,معقولة,معقولة
156,OK,غير,غير
157,OK,الانتظار,الانتظار
158,SUB,وهنا,وهذا
159,OK,دارت,دارت
160,INS,,و
161,DEL,في,
162,OK,سريرة,سريرة
163,OK,هذا,هذا
164,OK,الرجل,الرجل
165,INS,,ل
166,OK,هذا,هذا
167,OK,الرجل,الرجل
168,OK,الواحد,الواحد
169,INS,,د
170,OK,مناقشة,مناقشة
171,SUB,عنيفة,عنقة
172,OK,طويلة,طويلة
173,SUB,كاعنف,كاعف
174,OK,ما,ما
175,OK,تدور,تدور
176,OK,المناقشة,المناقشة
177,OK,بين,بين
178,SUB,رجلين,رحلان
