,operation,one,two
0,INS,,٩٢
1,OK,ثقة,ثقة
2,OK,واليه,واليه
3,SUB,اطمئنانا,اطمثتانا
4,SUB,ولكنه,لكته
5,OK,قال,قال
6,OK,له,له
7,OK,ذات,ذات
8,OK,يوم,يوم
9,INS,,م
10,OK,انك,انك
11,OK,تحفظ,تحفظ
12,OK,ما,ما
13,INS,,ا
14,SUB,تسمع,سمح
15,OK,من,من
16,OK,القران,القران
17,OK,والحديث,والحديث
18,SUB,واني,واي
19,OK,اخشى,اخشى
20,OK,عليك,عليك
21,OK,ان,ان
22,OK,تعيد,تعيد
23,OK,ما,ما
24,OK,تحفظ,تحفظ
25,SUB,فتخطئ,وتخطى
26,OK,فيه,فيه
27,SUB,فالخير,فلير
28,SUB,الا,ايا
29,SUB,تطمئن,تطمن
30,OK,الى,الى
31,OK,حفظك,حفظك
32,SUB,حتى,حيي
33,SUB,تعيد,تعبد
34,OK,ما,ما
35,OK,حفظت,حفظت
36,SUB,على,عل
37,OK,الذين,الذين
38,OK,يعون,يعون
39,OK,القران,القران
40,INS,,و
41,SUB,ويحسنون,يحسنون
42,SUB,العلم,العل
43,OK,ذلك,ذلك
44,OK,احرى,احرى
45,OK,ان,ان
46,OK,يعصمك,يعصمك
47,OK,من,من
48,OK,خطا,خطا
49,OK,قد,قد
50,OK,تضطر,تضطر
51,OK,اليه,اليه
52,OK,ولكني,ولكني
53,OK,لا,لا
54,OK,امن,امن
55,OK,عليك,عليك
56,SUB,عواقبه,عااقبة
57,INS,,ه
58,OK,هنالك,هنالك
59,SUB,لجا,بلحا
60,OK,الحاج,الحاج
61,INS,,ج
62,SUB,مسعود,سعاد
63,OK,الى,الى
64,OK,شيخ,شيخ
65,OK,من,من
66,SUB,حفاظ,حفال
67,OK,القران,القران
68,OK,فتلا,فتلا
69,OK,عليه,عليه
70,SUB,كتاب,كتا
71,SUB,لله,الله
72,OK,كله,كله
73,OK,مرة,مرة
74,OK,ومرة,ومرة
75,SUB,حتى,حيى
76,OK,استيقن,استيقن
77,OK,انه,انه
78,OK,حافظ,حافظ
79,OK,مجود,مجود
80,INS,,د
81,SUB,ثم,مم
82,OK,لم,لم
83,SUB,يكن,يتحن
84,DEL,يسمع,
85,SUB,من,معن
86,SUB,الشيخ,الشه
87,OK,حديثا,حديثا
88,OK,يرويه,يرويه
89,OK,عن,عن
90,SUB,النبي,الذي
91,SUB,حتى,حى
92,OK,ينتظر,ينتظر
93,SUB,بالشيخ,بالشباخ
94,OK,ساعة,ساعة
95,OK,يخلو,يخلو
96,OK,فيها,فيها
97,OK,اليه,اليه
98,OK,فاذا,فاذا
99,OK,امكنته,امكنته
100,OK,الفرصة,الفرصة
101,OK,قال,قال
102,OK,للشيخ,للشيخ
103,SUB,وعلى,وعل
104,OK,ثغره,ثغره
105,OK,ابتسامة,ابتسامة
106,OK,تشرق,تشرق
107,OK,عن,عن
108,OK,مثل,مثل
