,operation,one,two
0,INS,,٥١
1,OK,وهي,وهي
2,OK,مع,مع
3,OK,ذلك,ذلك
4,OK,تتجمل,تتجمل
5,OK,وتتدلل,وتتدلل
6,SUB,وتتكلف,وتكلف
7,OK,ما,ما
8,OK,يتكلفه,يتكلفه
9,OK,النساء,النساء
10,OK,الحسان,الحسان
11,OK,وما,وما
12,SUB,الذي,الذى
13,OK,يعجبه,يعجبه
14,OK,من,من
15,OK,زينب,زينب
16,OK,هذه,هذه
17,OK,وما,وما
18,OK,الذي,الذي
19,OK,يكرهه,يكرهه
20,SUB,على,عل
21,OK,ان,ان
22,OK,يمسكها,يمسكها
23,SUB,في,فى
24,OK,داره,داره
25,INS,,ه
26,SUB,لقد,لقاد
27,OK,تزوجها,تزوجها
28,SUB,في,ف
29,SUB,اخر,اشر
30,OK,شبابها,شبابها
31,SUB,فلم,فلر
32,OK,ترزقه,ترزقه
33,OK,ولدا,ولدا
34,OK,ولم,ولم
35,OK,ير,ير
36,OK,عندها,عندها
37,OK,خيرا,خيرا
38,OK,بل,بل
39,OK,لم,لم
40,OK,ير,ير
41,OK,عندها,عندها
42,OK,الا,الا
43,OK,سوء,سوء
44,SUB,الخلق,الحلق
45,OK,والا,والا
46,OK,هذه,هذه
47,OK,الغيرة,الغيرة
48,OK,الطارئة,الطارئة
49,OK,التي,التي
50,OK,ادخلتها,ادخلتها
51,OK,في,في
52,SUB,قلب,قاز
53,SUB,زوجيه,وجيه
54,OK,الاخريين,الاخريين
55,INS,,ن
56,OK,لقد,لقد
57,OK,كان,كان
58,OK,مستمتعا,مستمتعا
59,SUB,بشيء,بثىء
60,DEL,من,
61,SUB,هدوء,منهدوء
62,OK,قبل,قبل
63,OK,ان,ان
64,OK,يتخذ,يتخذ
65,OK,هذه,هذه
66,OK,الزوجة,الزوجة
67,SUB,الثالثة,الثالثةة
68,OK,وما,وما
69,OK,له,له
70,OK,لا,لا
71,SUB,يكتفي,يكتهى
72,SUB,بزوجين,بزويجين
73,OK,اثنتين,اثنتين
74,INS,,ن
75,OK,رحم,رحم
76,SUB,لله,الله
77,OK,تلك,تلك
78,SUB,الايام,الارا
79,SUB,التي,البي
80,OK,كان,كان
81,SUB,يكتفي,يكتىفيها
82,DEL,فيها,
83,OK,بام,بام
84,OK,خالد,خالد
85,INS,,د
86,OK,ولكن,ولكن
87,OK,ام,ام
88,SUB,خالد,خالدا
89,OK,وكيف,وكيف
90,OK,يقاس,يقاس
91,OK,اليها,اليها
92,OK,النساء,النساء
93,SUB,ثم,بمي
94,SUB,يصبح,صبح
95,OK,وقد,وقد
96,OK,استقر,استقر
97,SUB,رايه,راية
98,SUB,على,عل
99,OK,ان,ان
100,OK,يفارق,يفارق
101,OK,زينب,زينب
102,OK,فهو,فهو
103,OK,يلتمس,يلتمس
104,SUB,لذلك,لذللك
105,OK,الاسباب,الاسباب
106,OK,والعلل,والعلل
107,INS,,ل
108,SUB,وايشيء,واي
109,INS,,شيء
110,OK,ايسر,ايسر
111,OK,من,من
112,SUB,ذلك,ذلكيكي
113,DEL,يكفي,
114,OK,ان,ان
115,SUB,تلقاه,تلقاهه
116,SUB,متجهمة,تجهمه
117,DEL,تحسب,
118,SUB,تجهمها,محسبيجهمها
119,OK,دلالا,دلالا
120,OK,متنكرة,متنكرة
121,SUB,تحسب,محسب
