,operation,one,two
0,SUB,هددته,هددت
1,INS,,هيال
2,SUB,بالنزول,زال
3,OK,من,من
4,OK,المركبة,المركبة
5,INS,,و
6,SUB,واقتضاب,اقتضاب
7,OK,ذلك,ذلك
8,OK,الصمت,الصمت
9,SUB,العقيم,العة
10,DEL,ولكنها,
11,DEL,لم,
12,DEL,تهدد,
13,DEL,ولم,
14,DEL,تنزل,
15,DEL,بل,
16,SUB,صاحت,االصاحت
17,SUB,غاضبة,غاضية
18,OK,ما,ما
19,OK,بالك,بالك
20,OK,لا,لا
21,SUB,تنطق,تنطي
22,OK,امعقود,امعقود
23,OK,اللسان,اللسان
24,SUB,وانت,وان
25,INS,,تل
26,OK,لك,لك
27,SUB,لسان,لسانك
28,SUB,كالثعبان,الثعان
29,SUB,وربما,ورما
30,SUB,احب,اح
31,OK,ان,ان
32,SUB,ينفي,ين
33,OK,عنه,عنه
34,SUB,تهمة,همة
35,OK,الاضطراب,الاضطراب
36,INS,,رد
37,SUB,والحصروالضيق,صروال
38,INS,,نيى
39,INS,,اـ
40,INS,,ل
41,SUB,بالكلام,ام
42,OK,في,في
43,OK,مفاجاة,مفاجاة
44,OK,اللقاء,اللقاء
45,DEL,سارة,
46,SUB,فقال,فقالا
47,INS,,ومهريت
48,SUB,لها,له
49,DEL,وهو,
50,DEL,يتلعثم,
51,SUB,اين,ا
52,SUB,كنت,مرنب
53,OK,قالت,قالت
54,SUB,في,ف
55,SUB,السينما,السيب
56,OK,قال,قال
57,OK,من,من
58,SUB,حيث,حي
59,SUB,لا,فلا
60,OK,يشعر,يشعر
61,SUB,بمعنى,متى
62,OK,ما,ما
63,SUB,يقول,بقول
64,DEL,مع,
65,DEL,من,
66,SUB,فاجفلت,فاجفلم
67,INS,,تم
68,SUB,مقطبة,قطمة
69,OK,واجابته,واجابته
70,SUB,بلهجة,لهجة
71,OK,فاترة,فاترة
72,INS,,و
73,SUB,ولكنها,اكنها
74,SUB,مفعمة,مقحمة
75,SUB,بالتهكم,التهك
76,SUB,والتانيب,والتاني
77,INS,,ب
78,OK,اولا,اولا
79,OK,اذهب,اذهب
80,SUB,الى,الا
81,SUB,السينما,لسيئا
82,OK,الا,الا
83,SUB,مع,مح
84,OK,احد,احد
85,DEL,الا,
86,SUB,تزال,الاتزال
87,OK,في,في
88,OK,ضلالك,ضلالك
89,SUB,القديم,القد
90,OK,قال,قال
91,OK,وماذا,وماذا
92,SUB,بدا,يد
93,SUB,لي,الى
94,OK,من,من
95,SUB,الهدى,الهدي
96,OK,الجديد,الجديد
97,OK,فاعدل,فاعدل
98,OK,عن,عن
99,INS,,ا
100,SUB,الضلال,اضلال
101,SUB,القديم,القد
102,SUB,ولماذاصرفت,ولماذا
103,INS,,صرفت
104,SUB,كلامي,كالاي
105,SUB,الى,الي
106,OK,ما,ما
107,OK,فهمت,فهمت
108,INS,,ت
109,OK,الا,الا
110,SUB,يجوز,جاز
111,OK,ان,ان
112,SUB,تذهبي,تذهي
113,OK,الى,الى
114,SUB,السينما,السينا
115,DEL,مع,
116,SUB,سيدة,سدة
117,OK,فلماذا,فلماذا
118,SUB,تستغربين,تستقرون
119,OK,السؤال,السؤال
120,OK,قالت,قالت
121,OK,لانك,لانك
122,OK,غريب,غريب
123,INS,,ى
124,DEL,في,
125,OK,هذه,هذه
126,SUB,الليلة,الللة
127,OK,ماذا,ماذا
128,OK,اقول,اقول
129,OK,لانك,لانك
130,OK,غريب,غريب
131,DEL,في,
132,DEL,كل,
133,DEL,حين,
134,SUB,ثم,م
135,OK,اقتضبت,اقتضبت
136,SUB,على,عل
137,OK,غير,غير
138,OK,انتظار,انتظار
139,SUB,وهي,و
140,INS,,م
141,SUB,تشيح,شيح
142,OK,بوجهها,بوجهها
143,SUB,وتهمسبصوت,وهمس
144,SUB,مسموع,بصوت
