,operation,one,two
0,INS,,اسر
1,INS,,ار
2,INS,,اللئات
3,INS,,ه
4,OK,على,على
5,OK,المسخ,المسخ
6,OK,كقوله,كقوله
7,OK,تعالى,تعالى
8,OK,كلما,كلما
9,OK,نضجت,نضجت
10,OK,جلودهم,جلودهم
11,OK,بدلناهم,بدلناهم
12,OK,جلودا,جلودا
13,SUB,غيرها,غير
14,INS,,ها
15,OK,ليذوقوا,ليذوقوا
16,OK,العذاب,العذاب
17,INS,,و
18,SUB,وقوله,قوله
19,OK,ما,ما
20,OK,من,من
21,OK,دابة,دابة
22,OK,في,في
23,OK,الارض,الارض
24,OK,ولا,ولا
25,OK,طائر,طائر
26,OK,يطير,يطير
27,OK,بجناحيه,بجناحيه
28,OK,الا,الا
29,OK,امم,امم
30,OK,امثالكم,امثالكم
31,OK,ما,ما
32,OK,فرطنا,فرطنا
33,OK,في,في
34,OK,الكتاب,الكتاب
35,OK,من,من
36,OK,شيء,شيء
37,INS,,و
38,SUB,وقوله,قوله
39,INS,,و
40,SUB,وجعل,جعلنا
41,OK,منهم,منهم
42,OK,القردة,القردة
43,SUB,والخنازير,الخنازير
44,INS,,و
45,SUB,وعبد,عبد
46,OK,الطاغوت,الطاغوت
47,INS,,و
48,SUB,وقوله,قوله
49,OK,فقلنا,فقلنا
50,OK,لهم,لهم
51,OK,كونوا,كونوا
52,OK,قردة,قردة
53,OK,خاسئين,خاسئين
54,INS,,و
55,SUB,وقوله,قاله
56,OK,يوم,يوم
57,OK,تشهد,تشهد
58,OK,عليهم,عليهم
59,OK,السنتهم,السنتهم
60,INS,,و
61,SUB,وايديهم,ايديهم
62,INS,,و
63,SUB,وارجلهم,ارجلهم
64,OK,بما,بما
65,OK,كانوا,كانوا
66,OK,يعملون,يعملون
67,INS,,و
68,SUB,وقوله,قوية
69,INS,,و
70,SUB,وقالوا,قالوا
71,OK,لجلودهم,لجلودهم
72,OK,لم,لم
73,OK,شهدتم,شهدتم
74,OK,علينا,علينا
75,OK,قالوا,قالوا
76,OK,انطقنا,انطقنا
77,OK,الله,الله
78,OK,الذي,الذي
79,OK,انطق,انطق
80,DEL,كل,
81,SUB,شيء,كلشيء
82,SUB,وقوله,وقاية
83,INS,,و
84,SUB,ونحشرهم,نحشر
85,INS,,هم
86,OK,يوم,يوم
87,OK,القيامة,القيامة
88,OK,على,على
89,OK,وجوههم,وجوههم
90,OK,عميا,عميا
91,INS,,و
92,SUB,وبكما,بكما
93,INS,,و
94,SUB,وصما,صما
95,OK,ماواهم,ماواهم
96,OK,جهنم,جهنم
97,OK,كلما,كلما
98,OK,خبت,خبت
99,OK,زدناهم,زدناهم
100,OK,سعيرا,سعيرا
101,INS,,و
102,SUB,وقوله,قوله
103,INS,,و
104,SUB,واذا,اذا
105,OK,الوحوش,الوحوش
106,DEL,حشرت,
107,SUB,اشارة,حشرتاشارة
108,OK,الى,الى
109,OK,انقلاب,انقلاب
110,OK,جواهر,جواهر
111,OK,نفوسهم,نفوسهم
112,SUB,الى,الي
113,OK,نفوس,نفوس
114,OK,الوحوش,الوحوش
115,OK,لغلبة,لغلبة
116,SUB,صفاتها,صقلتها
117,OK,عليهم,عليهم
118,SUB,فتصورت,وتصورت
119,OK,نفوسهم,نفوسهم
120,OK,في,في
121,OK,القيامة,القيامة
122,OK,بصورة,بصورة
123,OK,الحيوانات,الحيوانات
124,OK,الوحشية,الوحشية
125,OK,المناسبة,المناسبة
126,OK,لاخلاقها,لاخلاقها
127,INS,,و
128,SUB,وهيئات,هيئات
129,SUB,نفوسها,نفاسها
130,OK,وكذا,وكذا
131,OK,قوله,قوله
132,OK,يا,يا
133,OK,معشر,معشر
134,OK,الجن,الجن
135,OK,قد,قد
136,SUB,استكثرتم,استكثر
137,INS,,تم
138,OK,من,من
139,SUB,الانس,ايلتس
140,INS,,و
141,SUB,وقوله,قوله
142,SUB,يومئذ,يوم
143,DEL,يصدر,
144,SUB,الناس,يصدرالناس
145,OK,اشتاتا,اشتاتا
146,OK,ليروا,ليروا
147,OK,اعمالهم,اعمالهم
148,INS,,و
149,SUB,وقوله,قوله
150,INS,,و
151,SUB,ونحشر,تحشر
152,OK,المجرمين,المجرمين
153,OK,يومئذ,يومئذ
154,OK,زرقا,زرقا
155,INS,,و
156,SUB,وقوله,قوله
157,INS,,و
158,SUB,ونحشره,تحشره
159,OK,يوم,يوم
160,OK,القيامة,القيامة
161,OK,اعمى,اعمى
162,INS,,و
163,SUB,وقوله,قوية
164,OK,يسحبون,يسحبون
165,OK,في,في
166,OK,الحميم,الحميم
167,OK,ثم,ثم
168,OK,في,في
169,OK,النار,النار
170,OK,يسجرون,يسجرون
171,INS,,و
172,SUB,وقوله,قوله
173,OK,الذين,الذين
174,OK,يحشرون,يحشرون
175,OK,على,على
176,OK,وجوههم,وجوههم
177,OK,الى,الى
178,OK,جهنم,جهنم
179,OK,اولئك,اولئك
180,OK,شر,شر
181,OK,مكانا,مكانا
182,INS,,و
183,SUB,واضل,اضل
184,SUB,سبيلا,سيبيل
185,INS,,و
186,SUB,وقوله,قوله
187,INS,,و
188,SUB,واذا,اذا
189,OK,وقع,وقع
190,INS,,عليهم
191,OK,القول,القول
192,DEL,عليهم,
193,OK,اخرجنا,اخرجنا
194,OK,لهم,لهم
195,OK,دابة,دابة
196,OK,من,من
197,OK,الارض,الارض
198,OK,تكلمهم,تكلمهم
199,OK,ان,ان
200,OK,الناس,الناس
201,OK,كانوا,كانوا
202,OK,باياتنا,باياتنا
203,SUB,لا,للياقتان
204,SUB,يوقنون,و
205,SUB,ويوم,يوم
206,OK,نحشر,نحشر
207,OK,من,من
208,OK,كل,كل
209,OK,امة,امة
210,OK,فوجا,فوجا
211,OK,ممن,ممن
212,OK,يكذب,يكذب
213,OK,باياتنا,باياتنا
214,OK,فهم,فهم
215,OK,يوزعون,يوزعون
216,INS,,و
217,SUB,وقوله,قولة
218,OK,ووقع,ووقع
219,OK,القول,القول
220,OK,عليهم,عليهم
221,OK,بما,بما
222,OK,ظلموا,ظلموا
223,OK,فهم,فهم
224,DEL,لا,
225,SUB,ينطقون,لاينطقون
226,OK,الى,الى
227,OK,غير,غير
228,OK,ذلك,ذلك
229,OK,من,من
230,OK,الايات,الايات
231,OK,المشيرة,المشيرة
232,OK,الى,الى
233,OK,تبديل,تبديل
234,OK,الصور,الصور
235,INS,,و
236,SUB,والاشكال,الاشكال
237,OK,بواسطة,بواسطة
238,OK,تبدل,تبدل
239,OK,الاخلاق,الاخلاق
240,INS,,و
241,SUB,والاحوال,الاحوال
242,INS,,و
243,SUB,وكذا,كذا
244,OK,قوله,قوله
245,OK,ان,ان
246,OK,الذين,الذين
247,OK,كذبوا,كذبوا
248,OK,باياتنا,باياتنا
249,SUB,واستكبروا,و
250,DEL,عنها,
251,SUB,لا,لقاء
252,INS,,الاخرة
253,SUB,تفتح,لاتفتح
254,OK,لهم,لهم
255,OK,ابواب,ابواب
256,OK,السماء,السماء
257,OK,ولا,ولا
258,OK,يدخلون,يدخلون
259,OK,الجنة,الجنة
260,OK,حتى,حتى
261,OK,يلج,يلج
262,OK,الجمل,الجمل
263,OK,في,في
264,OK,سم,سم
265,OK,الخياط,الخياط
266,SUB,وكذلك,كذلك
267,SUB,نجزي,نجزى
268,OK,المجرمين,المجرمين
269,OK,لهم,لهم
270,OK,من,من
271,OK,جهنم,جهنم
272,OK,مهاد,مهاد
273,INS,,و
274,SUB,ومن,من
275,OK,فوقهم,فوقهم
276,OK,غواش,غواش
277,OK,وكذلك,وكذلك
278,OK,نجزي,نجزي
279,OK,الظالمين,الظالمين
280,OK,اياك,اياك
281,INS,,و
282,SUB,وان,ان
283,OK,تظن,تظن
284,OK,من,من
285,OK,ظاهر,ظاهر
286,OK,هذه,هذه
287,OK,الاية,الاية
288,OK,وغيرها,وغيرها
289,OK,ان,ان
290,OK,الجنة,الجنة
291,INS,,و
292,SUB,وطبقاتها,طاقاتها
293,OK,هي,هي
294,OK,بعينها,بعينها
295,OK,ظواهر,ظواهر
296,OK,اجرام,اجرام
297,OK,السماوات,السماوات
298,OK,كما,كما
299,OK,زعمه,زعمه
300,OK,الناقصون,الناقصون
301,OK,في,في
302,OK,العلم,العلم
303,OK,الذين,الذين
304,OK,يريدون,يريدون
305,OK,ان,ان
306,OK,يدخلوا,يدخلوا
307,OK,بيوت,بيوت
308,OK,العلم,العلم
309,OK,من,من
310,OK,ظهورها,ظهورها
311,SUB,ولا,و
312,SUB,يدخلون,لايدخلون
313,OK,البيوت,البيوت
314,OK,من,من
315,OK,ابوابها,ابوابها
316,SUB,فان,وان
317,SUB,الجنة,الجتة
318,OK,باقية,باقية
319,OK,لانها,لانها
320,OK,هي,هي
321,OK,دار,دار
322,OK,البقاء,البقاء
323,INS,,و
324,SUB,والافلاك,الافلاك
325,SUB,وما,و
326,SUB,فيها,مافيها
327,OK,دار,دار
328,OK,الفناء,الفناء
329,INS,,و
330,SUB,وهي,هي
331,OK,من,من
332,OK,عالم,عالم
333,OK,الدنيا,الدنيا
334,INS,,و
335,SUB,والجنة,الجنة
336,OK,من,من
337,OK,عالم,عالم
338,OK,الاخرة,الاخرة
339,INS,,و
340,SUB,وعالم,عالم
341,OK,الصورة,الصورة
342,OK,الغائبة,الغائبة
343,OK,عن,عن
