,operation,one,two
0,INS,,اسر
1,INS,,ار
2,INS,,الايات
3,INS,,١٤٥
4,OK,مزاحم,مزاحم
5,OK,لها,لها
6,OK,حتى,حتى
7,OK,يبطلها,يبطلها
8,OK,او,او
9,OK,يتغير,يتغير
10,OK,به,به
11,OK,استعداد,استعداد
12,OK,محلها,محلها
13,INS,,و
14,SUB,وليس,ليس
15,OK,بينها,بينها
16,INS,,و
17,SUB,وبين,بين
18,OK,البدن,البدن
19,OK,الا,الا
20,OK,علاقة,علاقة
21,OK,شوقية,شوقية
22,INS,,و
23,SUB,وهي,هي
24,OK,اضافة,اضافة
25,INS,,و
26,SUB,والاضافة,الاضافة
27,OK,اضعف,اضعف
28,OK,الاعراض,الاعراض
29,INS,,و
30,SUB,وزوالها,زوالها
31,DEL,لا,
32,SUB,يوجب,لايوجب
33,OK,زوال,زوال
34,OK,الذات,الذات
35,OK,المضافة,المضافة
36,INS,,و
37,SUB,والا,الا
38,OK,لكان,لكان
39,OK,اضعف,اضعف
40,OK,الاعراض,الاعراض
41,OK,مقوما,مقوما
42,OK,لوجود,لوجود
43,OK,الجوهر,الجوهر
44,OK,وهو,وهو
45,OK,محال,محال
46,OK,هذا,هذا
47,OK,خلاصة,خلاصة
48,OK,كلام,كلام
49,OK,الفلاسفة,الفلاسفة
50,OK,في,في
51,OK,هذا,هذا
52,OK,الباب,الباب
53,INS,,و
54,SUB,وفيه,فيه
55,OK,بحث,بحث
56,OK,من,من
57,SUB,وجهين,وجيهان
58,OK,الاول,الاول
59,OK,ان,ان
60,OK,النفس,النفس
61,OK,الانسانية,الانسانية
62,OK,عندهم,عندهم
63,OK,جوهر,جوهر
64,OK,عقلي,عقلي
65,INS,,و
66,SUB,وانها,انها
67,OK,عندهم,عندهم
68,OK,اولا,اولا
69,OK,عقل,عقل
70,OK,بالقوة,بالقوة
71,INS,,و
72,SUB,وانما,انما
73,OK,يصير,يصير
74,OK,عقلا,عقلا
75,OK,بالفعل,بالفعل
76,OK,بعد,بعد
77,OK,مزاولة,مزاولة
78,OK,الاكتساب,الاكتساب
79,INS,,و
80,SUB,وتحصيل,تحصيل
81,OK,العلوم,العلوم
82,OK,الحقيقية,الحقيقية
83,OK,حتى,حتى
84,OK,يخرج,يخرج
85,OK,ذاتها,ذاتها
86,OK,من,من
87,OK,القوة,القوة
88,OK,الى,الى
89,OK,الفعل,الفعل
90,SUB,فقبل,وقيل
91,INS,,صبر
92,SUB,صيرورتها,ورتها
93,OK,عقلا,عقلا
94,OK,كيف,كيف
95,OK,يبقى,يبقى
96,OK,بدون,بدون
97,OK,البدن,البدن
98,OK,مستقل,مستقل
99,OK,الوجود,الوجود
100,OK,مفارق,مفارق
101,OK,الذات,الذات
102,OK,فان,فان
103,OK,كل,كل
104,OK,مفارقة,مفارقة
105,OK,الذات,الذات
106,OK,مستقل,مستقل
107,OK,الوجود,الوجود
108,OK,عندهم,عندهم
109,OK,عقل,عقل
110,OK,بالفعل,بالفعل
111,OK,وكل,وكل
112,OK,عقل,عقل
113,OK,بالفعل,بالفعل
114,OK,كامل,كامل
115,OK,في,في
116,OK,العلم,العلم
117,INS,,و
118,SUB,والمعرفة,المعرفة
119,INS,,و
120,SUB,والمقدر,المقدر
121,OK,خلافه,خلافه
122,OK,هذا,هذا
123,SUB,خلف,خلق
124,INS,,و
125,SUB,ولهذا,لهذا
126,OK,وقع,وقع
127,OK,الاختلاف,الاختلاف
128,OK,بين,بين
129,OK,تلامذة,تلامذة
130,OK,المعلم,المعلم
131,OK,الاول,الاول
132,SUB,وشراح,و
133,INS,,جر
134,INS,,ع
135,SUB,كلامه,اكلامة
136,OK,في,في
137,OK,بقاء,بقاء
138,OK,العقل,العقل
139,OK,الهيولاني,الهيولاني
140,OK,بعد,بعد
141,OK,بوار,بوار
142,OK,البدن,البدن
143,SUB,فذهب,وذهب
144,OK,الاسكندر,الاسكندر
145,SUB,الافروديسي,الافرودراسي
146,OK,الى,الى
147,OK,ان,ان
148,OK,النفوس,النفوس
149,OK,الانسانية,الانسانية
150,OK,اذا,اذا
151,OK,فارقت,فارقت
152,OK,الابدان,الابدان
153,INS,,و
154,SUB,وهي,هي
155,OK,هيولانية,هيولانية
156,OK,فانها,فانها
157,OK,تبطل,تبطل
158,OK,اذ,اذ
159,OK,لم,لم
160,OK,يتصور,يتصور
161,OK,بشيء,بشيء
162,OK,من,من
163,OK,الصور,الصور
164,SUB,العقليه,العقلية
165,OK,التي,التي
166,OK,تقوم,تقوم
167,OK,بها,بها
168,OK,بالفعل,بالفعل
169,INS,,و
170,SUB,واما,اما
171,OK,ثامسطيوس,ثامسطيوس
172,SUB,فانه,وانه
173,OK,كان,كان
174,OK,يخالفه,يخالفه
175,OK,في,في
176,OK,هذا,هذا
177,SUB,الراي,الراى
178,INS,,و
179,SUB,ويرى,يرى
180,OK,ان,ان
181,OK,هذه,هذه
182,OK,القوة,القوة
183,OK,باقية,باقية
184,INS,,و
185,SUB,واما,اما
186,OK,رئيسهم,رئيسهم
187,SUB,ابو,ابوعلي
188,DEL,علي,
189,SUB,فقد,وقد
190,OK,مال,مال
191,OK,الى,الى
192,OK,مذهب,مذهب
193,OK,ثامسطيوس,ثامسطيوس
194,OK,في,في
195,OK,اكثر,اكثر
196,OK,كتبه,كتبه
197,INS,,و
198,SUB,ومال,مال
199,OK,الى,الى
200,OK,مذهب,مذهب
201,OK,الاسكندر,الاسكندر
202,OK,في,في
203,OK,بعض,بعض
204,OK,رسائله,رسائله
205,INS,,و
206,SUB,واعلم,اعلم
207,DEL,ان,
208,SUB,الموافق,انالموافق
209,OK,لاصول,لاصول
210,OK,الفلاسفة,الفلاسفة
211,OK,القائلين,القائلين
212,OK,بعرضية,بعرضية
213,OK,القوة,القوة
214,OK,الخيالية,الخيالية
215,OK,الغافلين,الغافلين
216,OK,عن,عن
217,OK,جوهريتها,جوهريتها
218,INS,,و
219,SUB,وقوامها,قوامها
220,OK,بذاتها,بذاتها
221,OK,لا,لا
222,OK,بالعضو,بالعضو
223,OK,الدماغي,الدماغي
224,OK,هو,هو
225,OK,المذهب,المذهب
226,OK,الاول,الاول
227,OK,لما,لما
228,OK,اشرنا,اشرنا
229,OK,اليه,اليه
230,OK,من,من
231,OK,ان,ان
232,OK,المادة,المادة
233,OK,العقلية,العقلية
234,DEL,لا,
235,SUB,وجود,للوجود
236,DEL,ولا,
237,SUB,بقاء,ولابقاء
238,OK,لها,لها
239,OK,الا,الا
240,SUB,بصورة,نصه
241,INS,,ره
242,OK,عقلية,عقلية
243,OK,تقومها,تقومها
244,OK,بالفعل,بالفعل
245,SUB,واما,اما
246,OK,ما,ما
247,OK,راينا,راينا
248,INS,,و
249,SUB,وتفردنا,تفردنا
250,OK,باثباته,باثباته
251,SUB,بالبرهان,بالبر
252,INS,,هان
253,OK,من,من
254,OK,تجرد,تجرد
255,OK,القوة,القوة
256,OK,الخيالية,الخيالية
257,OK,عن,عن
258,OK,البدن,البدن
259,SUB,الطبيعي,الطبيعى
260,INS,,و
261,SUB,واتحادها,اتحادها
262,OK,ببدن,ببدن
263,OK,محشور,محشور
264,OK,باق,باق
265,OK,في,في
266,OK,عالم,عالم
267,OK,البرزخ,البرزخ
268,SUB,فجميع,وجميع
269,OK,نفوس,نفوس
270,OK,الانسانية,الانسانية
271,OK,حتى,حتى
272,OK,العوام,العوام
273,INS,,و
274,SUB,والصبيان,الصبيان
275,OK,باقية,باقية
276,OK,بعد,بعد
277,OK,هذا,هذا
278,OK,البدن,البدن
279,OK,كما,كما
280,OK,هو,هو
281,OK,موافق,موافق
282,OK,للشريعة,للشريعة
283,INS,,و
284,SUB,والكتاب,الكتاب
285,INS,,و
286,SUB,والسنة,السنة
287,OK,بل,بل
288,OK,هو,هو
289,OK,من,من
290,INS,,ضر
291,SUB,ضروريات,وربلت
292,OK,الملة,الملة
293,OK,الحنيفة,الحنيفة
294,INS,,و
295,SUB,وثانيهما,ثانيهما
296,OK,ان,ان
297,OK,نفسية,نفسية
298,OK,النفس,النفس
299,OK,نحو,نحو
300,OK,وجودها,وجودها
301,OK,الخاص,الخاص
302,OK,الذي,الذي
303,OK,يلزمه,يلزمه
304,OK,الاضافة,الاضافة
305,OK,الى,الى
306,OK,البدن,البدن
307,OK,الطبيعي,الطبيعي
308,OK,وليست,وليست
309,OK,هذه,هذه
310,OK,الاضافة,الاضافة
311,OK,كاضافة,كاضافة
312,OK,الاشياء,الاشياء
313,OK,التي,التي
314,OK,عرضت,عرضت
