,operation,one,two
0,OK,وخرجت,وخرجت
1,OK,اودينا,اودينا
2,OK,باشارة,باشارة
3,OK,من,من
4,OK,ذات,ذات
5,OK,المعالي,المعالي
6,SUB,الوزيرة,الوزرة
7,SUB,وهذه,وهده
8,OK,تلقت,تلقت
9,OK,الفتى,الفتى
10,OK,بابتسامة,بابتسامة
11,SUB,مشرقة,مشرقه
12,SUB,وقالت,وواات
13,OK,لم,لم
14,SUB,يبق,بق
15,OK,في,في
16,OK,قوس,قوس
17,OK,الصبر,الصبر
18,SUB,منزع,مزع
19,OK,يا,يا
20,SUB,عزيزي,عززي
21,SUB,المتهم,المهم
22,OK,ولم,ولم
23,OK,يعد,يعد
24,OK,في,في
25,OK,وسعي,وسعي
26,SUB,احتضانك,اعتضانك
27,SUB,كلما,كل
28,OK,اطال,اطال
29,OK,القضاء,القضاء
30,SUB,الاجل,الا
31,INS,,ل
32,INS,,هصره
33,SUB,قصرالقدر,القدر
34,OK,ولا,ولا
35,OK,حيلة,حيلة
36,OK,في,في
37,OK,القدر,القدر
38,SUB,الالهي,الااسهى
39,OK,الا,الا
40,OK,حيلة,حيلة
41,OK,واحدة,واحدة
42,SUB,وهي,ومهي
43,OK,ان,ان
44,SUB,تتقيا,تتقاام
45,DEL,اسم,
46,OK,شريكتك,شريكتك
47,OK,في,في
48,SUB,عبادة,عنادة
49,SUB,كيوبد,كيو
50,INS,,نيد
51,SUB,المحرمة,المجرمة
52,OK,في,في
53,OK,بنطس,بنطس
54,SUB,لكي,لي
55,SUB,تشفى,تشى
56,OK,من,من
57,OK,دائك,دائك
58,OK,المميت,المميت
59,SUB,فما,فا
60,OK,قولك,قولك
61,OK,لا,لا
62,SUB,يموت,موت
63,SUB,الانسان,الا
64,INS,,نساذ
65,SUB,يا,با
66,SUB,سيدتي,سيدي
67,OK,مرتين,مرتين
68,OK,واما,واما
69,OK,في,في
70,OK,هذا,هذا
71,OK,التحقيق,التحقيق
72,OK,العقيم,العقيم
73,OK,فقد,فقد
74,OK,مت,مت
75,OK,ثلاثا,ثلاثا
76,OK,ولتكن,ولتكن
77,OK,الرابعة,الرابعة
78,OK,خاتمة,خاتمة
79,OK,الموتات,الموتات
80,OK,فقالت,فقالت
81,OK,اوجستينا,اوجستينا
82,SUB,يائسة,بالسة
83,SUB,عابسة,مالسة
84,SUB,اذن,اذا
85,SUB,اسمع,امم
86,INS,,وقرات
87,SUB,حكمت,حكت
88,OK,دار,دار
89,OK,القضاء,القضاء
90,SUB,الامازوني,الامازو
91,INS,,في
92,SUB,على,عل
93,SUB,المعتقلة,المعتقة
94,OK,السابعة,السابعة
95,OK,من,من
96,OK,معتقلات,معتقلات
97,SUB,الرابع,الر
98,INS,,ابع
99,DEL,وقرات,
100,OK,عشر,عشر
101,OK,من,من
102,SUB,هذا,هذاالك
103,DEL,الشهر,
104,SUB,التاسع,التاس
105,INS,,ع
106,SUB,اللواتي,اللواي
107,OK,اعتقلن,اعتقلن
108,OK,على,على
109,OK,جسر,جسر
110,SUB,نهر,مهر
111,SUB,ترمدون,رمدون
112,OK,لانه,لانه
113,SUB,ظهر,فظر
114,SUB,انها,اها
115,OK,فتى,فتى
116,OK,متنكر,متنكر
117,SUB,بزي,زي
118,SUB,امازونية,امارونية
119,OK,ولم,ولم
120,OK,يقر,يقر
121,SUB,عن,هن
122,OK,شريكته,شريكته
123,SUB,بجريمة,بجرمة
124,SUB,عبادة,عادة
125,SUB,كيوبد,كيو
126,INS,,سد
127,OK,المحرمة,المحرمة
128,OK,في,في
129,SUB,بنطس,نطمع
130,SUB,حكمت,حكت
131,OK,عليه,عليه
132,OK,دار,دار
133,OK,القضاء,القضاء
134,SUB,بالموت,بام
135,INS,,وت
136,SUB,برمي,ري
137,OK,السهام,السهام
138,OK,في,في
139,OK,قلبه,قلبه
140,OK,الى,الى
141,OK,ان,ان
142,OK,ينضب,ينضب
143,OK,دمه,دمه
144,OK,ولا,ولا
145,OK,يقيه,يقيه
146,SUB,من,م
147,OK,هذا,هذا
148,SUB,الحكم,المسك
149,OK,الا,الا
150,OK,اقراره,اقراره
151,OK,عن,عن
152,OK,شريكته,شريكته
153,OK,قبل,قبل
154,SUB,التنفيذ,التنفذ
155,SUB,ثم,م
156,SUB,استدعت,اسدتدءت
