,operation,one,two
0,INS,,٤
1,DEL,الرقابة,
2,OK,ليست,ليست
3,SUB,هي,هى
4,OK,المراة,المراة
5,OK,المسموعة,المسموعة
6,OK,هنا,هنا
7,SUB,ولكنها,ولسكنها
8,SUB,هي,هى
9,OK,الطبيعة,الطبيعة
10,OK,والمراة,والمراة
11,OK,والرجل,والرجل
12,SUB,والحكماء,والحكاء
13,SUB,والحكمة,والحكة
14,SUB,العوبة,العوة
15,OK,الطبيعة,الطبيعة
16,SUB,التي,التى
17,OK,لا,لا
18,SUB,تسام,تساه
19,OK,اللعب,اللعب
20,OK,ولا,ولا
21,OK,تعرف,تعرف
22,SUB,الجد,الجده
23,SUB,لانها,لاها
24,DEL,لا,
25,SUB,تعرف,لاتعرف
26,SUB,التعب,اتعب
27,OK,وربما,وربما
28,OK,كانت,كانت
29,OK,المراة,المراة
30,OK,اضعف,اضعف
31,OK,هذه,هذه
32,OK,الالاعيب,الالاعيب
33,SUB,كما,كا
34,OK,يكون,يكون
35,SUB,الطعم,الطم
36,OK,اضعف,اضعف
37,OK,من,من
38,OK,السمكة,السمكة
39,SUB,التي,الى
40,INS,,تا
41,SUB,تاكله,كله
42,OK,وان,وان
43,OK,كان,كان
44,SUB,الطعم,الطع
45,SUB,ليقودن,ليقو
46,INS,,دن
47,SUB,السمكة,السمك
48,OK,الى,الى
49,OK,الهلاك,الهلاك
50,OK,ومن,ومن
51,INS,,م
52,INS,,القا
53,SUB,القاضيالفاصل,الفاصل
54,OK,بين,بين
55,OK,الطبيعة,الطبيعة
56,SUB,والحكمة,والحكة
57,SUB,انما,اما
58,OK,القضاء,القضاء
59,OK,لمن,لمن
60,OK,ينتظر,ينتظر
61,OK,منهما,منهما
62,OK,الحجة,الحجة
63,OK,الاخيرة,الاخيرة
64,SUB,والنتيجة,والتنيجة
65,OK,الخاتمة,الخاتمة
66,SUB,ولكن,ولـكن
67,OK,ليس,ليس
68,OK,للطبيعة,للطبيعة
69,OK,انتهاء,انتهاء
70,INS,,قوى
71,DEL,فهي,
72,SUB,في,ف
73,SUB,جميع,جيع
74,OK,الازمان,الازمان
75,OK,صاحبة,صاحبة
76,OK,القول,القول
77,OK,الاخير,الاخير
78,OK,في,في
79,OK,ملحمة,ملحمة
80,OK,الصراع,الصراع
81,OK,بين,بين
82,OK,الفتنة,الفتنة
83,OK,والحجى,والحجى
84,INS,,ينسى
85,SUB,ينسىالانسان,الانسان
86,SUB,ما,مالا
87,DEL,لا,
88,OK,ينسى,ينسى
89,SUB,ويخطر,وخطر
90,OK,له,له
91,OK,الاغضاء,الاغضاء
92,SUB,عما,ا
93,OK,يشهده,يشهده
94,OK,بعينيه,بعينيه
95,INS,,و
96,SUB,ويثبته,يثبته
97,OK,ببرهانه,ببرهانه
98,OK,ولقد,ولقد
99,SUB,خطر,خما
100,OK,هذا,هذا
101,OK,لهمام,لهمام
102,SUB,في,ف
103,SUB,تلك,تاك
104,OK,اللحظة,اللحظة
105,OK,ووسوس,ووسوس
106,OK,له,له
107,SUB,الهوى,الوى
108,OK,ان,ان
109,OK,ينزل,ينزل
110,OK,بتلك,بتلك
111,OK,المراة,المراة
112,OK,الماثلة,الماثلة
113,OK,امامه,امامه
114,OK,الى,الى
115,SUB,حيث,حيت
116,INS,,ينبى
117,SUB,ينسىخيانتها,خيانتها
118,OK,ولا,ولا
119,SUB,يذكر,بذكر
120,OK,الا,الا
121,OK,متعتها,متعتها
122,OK,فتمنى,فتمنى
123,SUB,في,فى
124,OK,تلك,تلك
125,SUB,اللحظة,اللسفلة
126,OK,امنية,امنية
127,SUB,غريبة,غريبه
128,SUB,تمنى,بمنى
129,DEL,لو,
130,SUB,كان,اوكان
131,OK,حبه,حبه
132,OK,لها,لها
133,SUB,امل,اقل
134,OK,وماضيه,وماضيه
135,OK,معها,معها
136,OK,اقصر,اقصر
137,OK,وشرطه,وشرطه
138,OK,عليها,عليها
139,OK,اقرب,اقرب
140,OK,وايسر,وايسر
141,OK,اذن,اذن
142,INS,,لا
143,SUB,لاكتفي,كتفق
144,SUB,منها,مها
145,SUB,بما,ما
146,SUB,تعطيه,تعطبه
147,SUB,واستبقاها,واسنبقاها
148,SUB,على,عل
149,OK,شرطها,شرطها
150,OK,ومرامها,ومرامها
151,DEL,لا,
152,SUB,على,لاعلى
153,OK,شرطه,شرطه
154,OK,ومرامه,ومرامه
155,OK,ان,ان
156,SUB,الرجل,الر
157,INS,,جل
158,SUB,الذي,الذى
159,SUB,يهب,يبب
160,SUB,للمراة,امراة
161,OK,ساعة,ساعة
162,SUB,من,مري
163,OK,يومه,يومه
164,SUB,يكتفي,يكتؤ
165,OK,منها,منها
166,OK,بساعة,بساعة
167,OK,من,من
168,OK,يومها,يومها
169,OK,ولكن,ولكن
170,OK,هل,هل
171,SUB,يكتفي,يكتف
172,SUB,منها,مها
173,OK,بتلك,بتلك
174,OK,الساعة,الساعة
175,OK,وهو,وهو
176,OK,يهب,يهب
177,SUB,لها,ها
178,OK,ساعاته,ساعاته
179,SUB,وايامه,واياما
180,SUB,وينسج,وياسي
181,INS,,ر
182,DEL,حولها,
183,SUB,ماضيه,ماضه
184,OK,وحاضره,وحاضره
185,SUB,ويحجب,و
186,SUB,بيديه,نسديه
