,operation,one,two
0,INS,,١٣٣
1,OK,قال,قال
2,OK,ان,ان
3,SUB,وعدتني,وعدتي
4,OK,ان,ان
5,OK,اجني,اجني
6,SUB,للصبر,ليصر
7,SUB,ثمرة,بمرة
8,SUB,فانا,واذا
9,SUB,اصبر,اصر
10,OK,من,من
11,SUB,ايوب,اياب
12,INS,,قر
13,SUB,قوليها,لها
14,SUB,كلمة,كلية
15,OK,واحدة,واحدة
16,OK,وانا,وانا
17,OK,لا,لا
18,SUB,اتعجلك,اتعجلاك
19,SUB,شيئا,شيتا
20,OK,وانصرف,وانصرف
21,OK,الان,الان
22,OK,قالت,قالت
23,OK,وصاحبك,وصاحبك
24,OK,الذي,الذي
25,OK,تسال,تسال
26,OK,عنه,عنه
27,OK,قال,قال
28,OK,ها,ها
29,OK,يلوح,يلوح
30,SUB,لي,لى
31,SUB,انني,اتى
32,SUB,اعجبتك,اجبتك
33,INS,,ا
34,OK,وانك,وانك
35,SUB,تسبقينني,تستقتي
36,OK,قالت,قالت
37,OK,لولا,لولا
38,OK,انك,انك
39,OK,تمزح,تمزح
40,OK,لقلت,لقلت
41,SUB,انك,اك
42,SUB,مغرور,مرور
43,SUB,غروركم,شارة
44,SUB,كلكم,كاـ
45,SUB,معشر,معر
46,OK,الرجال,الرجال
47,SUB,لا,للتتكا
48,DEL,تتكلم,
49,OK,الواحدة,الواحدة
50,SUB,كلمتين,كلمتن
51,OK,مع,مع
52,SUB,واحد,واحدمن
53,DEL,منكم,
54,SUB,حتى,ح
55,INS,,ت
56,SUB,يحسبها,يحسها
57,DEL,مجنونة,
58,SUB,بهواه,وه
59,INS,,مولد
60,OK,قال,قال
61,OK,او,او
62,SUB,يحسب,حسب
63,OK,انه,انه
64,SUB,مجنون,يجنون
65,SUB,بهواها,بولها
66,OK,قالت,قالت
67,OK,طيب,طيب
68,SUB,ولله,والله
69,OK,لقد,لقد
70,OK,قطعنا,قطعنا
71,SUB,شوطا,شو
72,INS,,طا
73,SUB,بعيدا,نعدا
74,OK,جدا,جدا
75,OK,في,في
76,SUB,نصف,ذصف
77,SUB,ساعة,سلعة
78,OK,ولا,ولا
79,OK,ادري,ادري
80,OK,ما,ما
81,SUB,خطب,خط
82,INS,,ما
83,INS,,ربانا
84,SUB,سامحها,ساحها
85,SUB,لله,الله
86,SUB,اين,ان
87,OK,ذهبت,ذهبت
88,INS,,ور
89,SUB,وتركتنا,كتما
90,OK,العلك,العلك
91,SUB,على,عل
92,OK,اتفاق,اتفاق
93,OK,معها,معها
94,OK,ان,ان
95,SUB,تهيئ,تهى
96,OK,هذا,هذا
97,OK,اللقاء,اللقاء
98,DEL,ماريانا,
99,SUB,ما,ملف
100,DEL,في,
101,OK,ذلك,ذلك
102,OK,من,من
103,SUB,عجب,تحب
104,SUB,فهكذا,وهتكذا
105,SUB,تصنع,تصن
106,OK,الخائطات,الخائطات
107,SUB,فيما,وانا
108,OK,يقال,يقال
109,INS,,وستمعت
110,INS,,ماريانا
111,OK,اسمها,اسمها
112,OK,فعادت,فعادت
113,SUB,تهرول,برو
114,INS,,و
115,INS,,ه
116,INS,,ل
117,SUB,وتتساءل,سا
118,INS,,ل
119,OK,ماذا,ماذا
120,OK,تقولين,تقولين
121,INS,,ى
122,INS,,سه
123,INS,,زه
124,SUB,عني,ع
125,SUB,يا,اا
126,DEL,سارة,
127,DEL,ماريانا,
128,DEL,وسمعت,
129,OK,قال,قال
130,OK,همام,همام
131,SUB,انها,ابها
132,SUB,تتهمك,تتهملك
133,OK,بانك,بانك
134,SUB,تدبرين,تدربن
135,OK,عن,عن
136,OK,عمد,عمد
137,SUB,خلوة,خلو
138,INS,,ة
139,OK,غرامية,غرامية
140,OK,بين,بين
141,OK,هذه,هذه
142,SUB,الديكة,الدي
143,OK,وهذه,وهذه
144,SUB,الدجاج,الدجا
145,OK,قالت,قالت
146,OK,ماريانا,ماريانا
147,SUB,انا,اذا
148,SUB,اعلم,اعل
149,SUB,على,عل
150,OK,الاقل,الاقل
151,OK,ان,ان
152,OK,الدجاج,الدجاج
153,OK,لا,لا
154,OK,تحتاج,تحتاج
155,SUB,الى,ال
156,OK,من,من
157,SUB,يدبر,دار
158,OK,لها,لها
159,OK,الخلوة,الخلوة
160,OK,مع,مع
161,SUB,الديكة,الدبى
162,DEL,كيف,
163,DEL,عرفها,
164,OK,قالت,قالت
165,OK,الفتاة,الفتاة
166,OK,قاتلك,قاتلك
167,SUB,لله,الله
168,DEL,يا,
169,SUB,عجوز,اتجوز
170,SUB,السوء,الساء
171,OK,لماذا,لماذا
172,SUB,تنصلين,تتصلان
173,SUB,من,م
