,operation,one,two
0,INS,,٥٨
1,OK,ورباع,ورباع
2,OK,وكان,وكان
3,OK,يقول,يقول
4,OK,لهم,لهم
5,SUB,فيشيء,ف
6,INS,,فى
7,OK,من,من
8,OK,الغلظة,الغلظة
9,OK,والاستهزاء,والاستهزاء
10,OK,ما,ما
11,OK,تنقمون,تنقمون
12,INS,,ى
13,DEL,مني,
14,SUB,من,دن
15,OK,استطاع,استطاع
16,OK,منكم,منكم
17,OK,ان,ان
18,OK,يصنع,يصنع
19,SUB,صنعي,صنعى
20,OK,فليفعل,فليفعل
21,OK,السنا,السنا
22,OK,قد,قد
23,OK,امرنا,امرنا
24,OK,بالزواج,بالزواج
25,OK,وبان,وبان
26,SUB,نستكثر,نستكتر
27,OK,من,من
28,OK,النسل,النسل
29,OK,ما,ما
30,OK,وسعنا,وسعنا
31,OK,ذلك,ذلك
32,OK,لان,لان
33,OK,نبينا,نبينا
34,SUB,صلى,ص
35,DEL,الله,
36,DEL,عليه,
37,DEL,وسلم,
38,OK,مباه,مباه
39,OK,بنا,بنا
40,OK,الامم,الامم
41,OK,يوم,يوم
42,SUB,القيامة,القيامه
43,OK,فهل,فهل
44,OK,تعيبون,تعيبون
45,SUB,علي,عل
46,OK,ان,ان
47,OK,اكون,اكون
48,OK,سببا,سببا
49,OK,من,من
50,OK,اسباب,اسباب
51,OK,امتياز,امتياز
52,SUB,النبي,النيى
53,OK,بامته,بامته
54,SUB,على,عل
55,OK,غيرها,غيرها
56,OK,من,من
57,OK,الامم,الامم
58,OK,يوم,يوم
59,OK,القيامة,القيامة
60,OK,وكان,وكان
61,OK,اولو,اولو
62,OK,الجراءة,الجراءة
63,OK,من,من
64,OK,اصدقائه,اصدقائه
65,INS,,يذ
66,INS,,كر
67,SUB,يذكرون,ون
68,OK,له,له
69,SUB,كثرة,كارة
70,OK,النفقة,النفقة
71,OK,وثقل,وثقل
72,OK,العبء,العبء
73,SUB,فيسخر,فيسحر
74,SUB,منهم,مهم
75,OK,وقد,وقد
76,OK,يتجاوز,يتجاوز
77,OK,السخرية,السخرية
78,OK,الى,الى
79,OK,التانيب,التانيب
80,OK,ويقول,ويقول
81,SUB,لهم,هم
82,OK,ما,ما
83,OK,رايت,رايت
84,OK,قوما,قوما
85,OK,مثلكم,مثلكم
86,OK,يشكون,يشكون
87,OK,في,في
88,OK,قدرة,قدرة
89,SUB,لله,الله
90,INS,,و
91,DEL,شجرة,
92,DEL,البؤس,
93,SUB,وينكرون,ينكر
94,INS,,ون
95,OK,فضله,فضله
96,SUB,على,عل
97,OK,الناس,الناس
98,OK,ان,ان
99,SUB,لله,الله
100,OK,هو,هو
101,SUB,الذي,الذى
102,OK,يرزقنا,يرزقنا
103,OK,الولد,الولد
104,OK,وقد,وقد
105,SUB,ينبغي,ينبغى
106,OK,ان,ان
107,OK,تعلموا,تعلموا
108,OK,ان,ان
109,SUB,كنتم,كنه
110,OK,لا,لا
111,OK,تعلمون,تعلمون
112,OK,ان,ان
113,SUB,لله,الله
114,OK,لا,لا
115,OK,يخلق,يخلق
116,SUB,فما,فا
117,OK,الا,الا
118,OK,اطعمه,اطعمه
119,OK,ولا,ولا
120,OK,يبرا,يبرا
121,OK,نسمة,نسمة
122,OK,الا,الا
