,operation,one,two
0,OK,الى,الى
1,OK,تدبير,تدبير
2,OK,الجواب,الجواب
3,SUB,وتحضير,وحضبر
4,SUB,المعاذير,المعلذر
5,OK,فاما,فاما
6,OK,اذا,اذا
7,SUB,قوبل,قو
8,INS,,بل
9,OK,بالتوقح,بالتوقح
10,OK,والاهانة,والاهانة
11,SUB,فلا,ولا
12,OK,ربكة,ربكة
13,OK,ولا,ولا
14,SUB,عناء,عذاء
15,SUB,انما,اما
16,OK,هي,هي
17,OK,دقة,دقة
18,SUB,بدقة,بداه
19,SUB,وصيحة,وصحة
20,SUB,بصيحة,بصحه
21,INS,,وص
22,SUB,وصفعة,فعة
23,OK,بصفعة,بصفعة
24,OK,اذا,اذا
25,OK,استطرد,استطرد
26,OK,اللجاج,اللجاج
27,OK,الى,الى
28,OK,هذه,هذه
29,OK,النهاية,النهاية
30,SUB,فما,وا
31,OK,حفل,حفل
32,SUB,امين,امان
33,SUB,بالفتى,يليقتي
34,OK,ولا,ولا
35,OK,زاد,زاد
36,SUB,على,عل
37,OK,ان,ان
38,OK,نظر,نظر
39,OK,اليه,اليه
40,OK,متجهما,متجهما
41,OK,متجعدا,متجعدا
42,OK,وقال,وقال
43,OK,امض,امض
44,OK,في,في
45,SUB,سبيلك,سبيك
46,SUB,فليس,وليس
47,OK,هذا,هذا
48,OK,من,من
49,OK,شانك,شانك
50,OK,ولقد,ولقد
51,OK,دهش,دهش
52,OK,الفتى,الفتى
53,SUB,والتفت,والتقت
54,SUB,اليه,اله
55,OK,مذهولا,مذهولا
56,SUB,وهو,وهوم
57,INS,,ابد
58,DEL,يتمتم,
59,DEL,ليس,
60,OK,من,من
61,SUB,شاني,شاي
62,OK,كيف,كيف
63,OK,انني,انني
64,OK,اسكن,اسكن
65,OK,هنا,هنا
66,OK,ان,ان
67,SUB,في,ف
68,SUB,المنزل,النزل
69,OK,الي,الي
70,SUB,وحرمي,وحري
71,SUB,يا,ا
72,SUB,لها,ياها
73,DEL,من,
74,SUB,اعاجيب,اعا
75,SUB,يا,ايها
76,DEL,لها,
77,OK,من,من
78,OK,صفاقة,صفاقة
79,OK,ولكنه,ولكنه
80,OK,مع,مع
81,OK,ذلك,ذلك
82,OK,نزل,نزل
83,SUB,وسمعه,وسمعة
84,OK,امين,امين
85,OK,ينادي,ينادي
86,SUB,على,عل
87,INS,,اية
88,INS,,ا
89,INS,,و
90,SUB,البواب,ب
91,SUB,من,ون
92,OK,اقصى,اقصى
93,OK,الطريق,الطريق
94,SUB,ويقول,واقول
95,OK,له,له
96,SUB,اين,ا
97,INS,,ن
98,OK,انت,انت
99,OK,وماذا,وماذا
100,OK,عساك,عساك
101,OK,ان,ان
102,OK,تصنع,تصنع
103,INS,,ء
104,DEL,اذا,
105,OK,كنت,كنت
106,SUB,تسمح,تس
107,OK,لهذا,لهذا
108,OK,الجاسوس,الجاسوس
109,SUB,ان,ار
110,SUB,يقتحم,يقتحر
111,SUB,البيت,اليبت
112,SUB,ويتسمع,واسمع
113,INS,,ن
114,DEL,على,
115,SUB,الابواب,اللولب
116,OK,جاسوس,جاسوس
117,INS,,ب
118,OK,لقد,لقد
119,SUB,سلم,سل
120,OK,امين,امين
121,OK,بفضل,بفضل
122,SUB,الجاسوسية,الجاسوسة
123,OK,والخوف,والخوف
124,OK,من,من
125,INS,,د
126,SUB,الجاسوسية,الحا
127,INS,,سسة
128,OK,ومن,ومن
129,OK,ذا,ذا
130,OK,يضرب,يضرب
131,OK,الجواسيس,الجواسيس
132,SUB,ووراءهم,واراءم
133,OK,قوة,قوة
134,OK,الشرطة,الشرطة
135,OK,وقوة,وقوة
136,OK,الدولة,الدولة
137,OK,وكل,وكل
138,OK,قوة,قوة
139,SUB,تخاف,يخاف
140,OK,في,في
141,OK,تلك,تلك
142,SUB,الايام,الانا
143,SUB,سلم,سل
144,SUB,امين,امان
145,OK,من,من
146,OK,الضرب,الضرب
147,OK,وهبط,وهبط
148,SUB,السلم,السل
149,SUB,يتهادى,يهادي
150,OK,غير,غير
151,OK,هياب,هياب
152,OK,ولا,ولا
153,OK,وجل,وجل
154,OK,والهمه,والهمه
155,SUB,لله,الته
156,OK,ان,ان
157,SUB,يتشمخ,يشه
158,OK,بانفه,بانفه
159,OK,ويزجر,ويزجر
160,OK,البواب,البواب
161,SUB,قائلا,قاتلا
162,SUB,انتم,ءاذيا
163,SUB,تاكلون,كاوت
164,SUB,بغير,يغار
165,OK,عمل,عمل
166,DEL,انتم,
167,SUB,لا,ا
168,SUB,تستحقون,لاتستحقون
169,SUB,اجوركم,اجورج
170,DEL,مضحكات,
171,DEL,الرقابة,
172,OK,لقد,لقد
173,OK,صفقت,صفقت
174,OK,وناديت,وناديت
175,SUB,فما,فا
