,operation,one,two
0,DEL,ثم,
1,SUB,اقبلت,اقلت
2,OK,في,في
3,SUB,ثوبها,ثومها
4,INS,,ال
5,SUB,العنابي,عناى
6,SUB,وطرتها,وطرته
7,INS,,ا
8,SUB,المشتهاة,المشتياة
9,OK,ونظرت,ونظرت
10,OK,اليه,اليه
11,SUB,وهمت,ود
12,INS,,ست
13,OK,ان,ان
14,OK,تنحرف,تنحرف
15,DEL,الى,
16,SUB,ناحية,الناحية
17,OK,الصحراء,الصحراء
18,SUB,ثم,لم
19,SUB,انهما,اهما
20,OK,اتفقا,اتفقا
21,SUB,على,عل
22,OK,اللقاء,اللقاء
23,OK,لحظة,لحظة
24,SUB,في,فقى
25,OK,مفترق,مفترق
26,SUB,الطريق,الطريت
27,OK,ياخذ,ياخذ
28,OK,منها,منها
29,OK,ويعطيها,ويعطيها
30,OK,ولا,ولا
31,OK,حاجة,حاجة
32,OK,بهما,بهما
33,OK,الى,الى
34,OK,مراجعة,مراجعة
35,OK,وكانت,وكانت
36,SUB,الطريق,الطريت
37,SUB,في,فى
38,OK,تلك,تلك
39,OK,الساعة,الساعة
40,SUB,خالية,خالة
41,SUB,الا,ال
42,DEL,من,
43,SUB,عابر,اعار
44,SUB,بعيد,بعيدا
45,DEL,او,
46,SUB,عابرة,وعارة
47,SUB,بعيدة,بعدة
48,INS,,ذ
49,DEL,ففيم,
50,OK,انحرفت,انحرفت
51,OK,الى,الى
52,OK,ناحية,ناحية
53,OK,الصحراء,الصحراء
54,OK,ولو,ولو
55,OK,شاء,شاء
56,SUB,المراجعة,االمراجعة
57,OK,هنالك,هنالك
58,OK,لما,لما
59,SUB,اعانهما,اعاما
60,SUB,غبش,غش
61,OK,المساء,المساء
62,SUB,انه,انهح
63,DEL,حكم,
64,OK,العادة,العادة
65,OK,على,على
66,OK,ما,ما
67,OK,يظهر,يظهر
68,SUB,اما,ا
69,SUB,هو,ماهر
70,OK,فكل,فكل
71,OK,ما,ما
72,OK,ساوره,ساوره
73,OK,في,في
74,OK,تلك,تلك
75,OK,اللحظة,اللحظة
76,DEL,خشية,
77,SUB,الانفراد,خثسةالانفراد
78,OK,والامن,والامن
