,operation,one,two
0,INS,,١٢٦
1,SUB,احست,احس
2,SUB,منها,تممها
3,OK,استسلاما,استسلاما
4,SUB,للراحة,اراحة
5,OK,او,او
6,SUB,اذعانا,اذعان
7,SUB,لشيء,الشىء
8,OK,يشبه,يشبه
9,OK,النوم,النوم
10,OK,استلقت,استلقت
11,OK,هي,هي
12,OK,على,على
13,SUB,وسادتها,وسادها
14,OK,فنامت,فنامت
15,OK,احدى,احدى
16,OK,عينيها,عينيها
17,OK,وظلت,وظلت
18,OK,الاخرى,الاخرى
19,OK,مستيقظة,مستيقظة
20,OK,لحراسة,لحراسة
21,SUB,سيدتها,سيدها
22,OK,من,من
23,OK,هذا,هذا
24,INS,,ا
25,SUB,الطائف,لطائف
26,OK,المزعج,المزعج
27,SUB,الذي,الذى
28,OK,كان,كان
29,SUB,يلم,يلجها
30,DEL,بها,
31,OK,كلما,كلما
32,OK,اطمانت,اطمانت
33,SUB,او,ا
34,SUB,كادت,وكادت
35,OK,تطمئن,تطمئن
36,SUB,الى,الي
37,SUB,النعاس,التماس
38,SUB,وقد,وهد
39,OK,عاشت,عاشت
40,SUB,نفيسة,ممسة
41,OK,ما,ما
42,OK,شاء,شاء
43,SUB,لله,الله
44,SUB,لها,ها
45,OK,ان,ان
46,SUB,تعيش,تعم
47,SUB,وعمرت,تنورت
48,OK,ما,ما
49,SUB,اذن,ذن
50,SUB,لله,الله
51,SUB,لها,ها
52,OK,ان,ان
53,OK,تعمر,تعمر
54,OK,دون,دون
55,OK,ان,ان
56,SUB,تطمئن,تطمثن
57,OK,الى,الى
58,OK,النوم,النوم
59,OK,ليلة,ليلة
60,OK,كاملة,كاملة
61,SUB,انما,ات
62,SUB,كانت,ماكانت
63,DEL,تهب,
64,SUB,من,سبن
65,SUB,نومها,توهها
66,OK,اثناء,اثناء
67,SUB,الليل,الائل
68,OK,فزعة,فزعة
69,OK,جزعة,جزعة
70,SUB,لانها,لا
71,SUB,رات,مهارات
72,SUB,امها,امهاا
73,DEL,او,
74,SUB,اباها,واياها
75,OK,وسمعتهما,وسمعتهما
76,OK,يلقيان,يلقيان
77,SUB,اليها,المها
78,OK,هذا,هذا
79,OK,الامر,الامر
80,OK,دائما,دائما
81,OK,قولي,قولي
82,INS,,في
83,DEL,لهم,
84,SUB,يدفنوها,دفنوها
85,DEL,معي,
86,SUB,فانا,مفاتا
87,SUB,اليها,الهام
88,SUB,مشوق,شوي
89,SUB,وقد,وهد
90,SUB,وعدتها,وعديا
91,OK,بذلك,بذلك
92,OK,قبل,قبل
93,OK,ان,ان
94,OK,اموت,اموت
95,SUB,او,ا
96,SUB,قولي,وقولي
97,DEL,لهم,
98,SUB,يدفنوني,فيدفنون
99,OK,معه,معه
100,OK,فانا,فانا
101,SUB,اليه,اليهم
102,SUB,مشوقة,شوقه
103,SUB,وقد,وهدو
104,SUB,وعدني,عدى
105,OK,بذلك,بذلك
106,OK,قبل,قبل
107,OK,ان,ان
108,OK,يموت,يموت
109,OK,وكثيرا,وكثيرا
110,OK,ما,ما
111,SUB,رئيت,رثيت
112,OK,شفتاها,شفتاها
113,OK,اثناء,اثناء
114,SUB,النهار,الب
115,SUB,تتحركان,ارتتحركان
116,OK,دون,دون
117,OK,ان,ان
118,OK,يصدر,يصدر
119,OK,عنهما,عنهما
120,OK,صوت,صوت
121,SUB,فلم,فلي
122,SUB,يشك,يشكمن
123,DEL,من,
124,OK,كان,كان
125,SUB,حولها,حيا
126,SUB,في,فااد
127,DEL,انها,
128,SUB,تردد,ردد
129,OK,هذا,هذا
130,OK,الامر,الامر
131,OK,الذي,الذي
132,OK,صدر,صدر
133,SUB,اليها,الهيا
134,SUB,من,ون
135,OK,احد,احد
136,OK,ابويها,ابويها
137,OK,اثناء,اثناء
138,OK,الليل,الليل
139,DEL,وقد,
140,SUB,قصت,والوصت
141,SUB,نسيم,دسمرع
142,SUB,بعضهذا,ضره
143,INS,,اا
144,SUB,على,عل
145,OK,سيدها,سيدها
146,OK,خالد,خالد
147,OK,فاستمع,فاستمع
148,OK,له,له
149,SUB,ثم,تم
150,SUB,انصرف,الصرف
151,OK,عن,عن
152,OK,مولاته,مولاته
153,OK,وهو,وهو
154,SUB,يستعيذ,يستعمل
155,OK,بالله,بالله
156,OK,من,من
157,INS,,الشد
158,SUB,الشيطان,طان
159,SUB,الرجيم,الرج
160,SUB,ويقول,ويقال
161,OK,اضغاث,اضغاث
162,OK,احلام,احلام
163,INS,,و
164,SUB,وۖما,ما
165,SUB,نحن,محنب
166,SUB,بتاويل,تاويل
167,OK,الاحلام,الاحلام
168,OK,بعالمين,بعالمين
169,INS,,وقص
170,SUB,وقصخالد,خالد
171,OK,ما,ما
172,SUB,سمع,سمعن
173,DEL,من,
174,OK,مولاته,مولاته
175,DEL,على,
176,SUB,ابيه,علابيه
177,OK,فقال,فقال
178,INS,,رر
179,INS,,م
180,SUB,يرحمللهعبد,الله
181,INS,,عبد
182,SUB,الرحمن,الرحن
183,INS,,ولا
184,SUB,ويرحم,رحم
185,SUB,لله,الله
186,OK,امراته,امراته
187,SUB,ويلطف,تلطف
188,SUB,لله,الله
189,OK,بنفيسة,بنفيسة
190,OK,هون,هون
191,OK,عليك,عليك
192,SUB,يا,يابى
193,DEL,بني,
194,SUB,وارفق,واره
195,SUB,بها,قيها
196,SUB,فانما,فاعا
197,OK,طائف,طائف
198,OK,الليل,الليل
199,OK,هذا,هذا
200,SUB,الذي,الذى
201,OK,يزورها,يزورها
202,OK,كجنية,كجنية
203,SUB,البيت,اسمت
204,SUB,التي,اى
205,SUB,تراءت,تراءتها
206,DEL,لها,
207,OK,ذات,ذات
208,OK,مساء,مساء
209,SUB,وانباتها,واتياا
210,SUB,بانك,باتك
211,OK,تريد,تريد
212,OK,ان,ان
213,OK,تدخل,تدخل
214,SUB,عليها,علها
215,OK,ضرة,ضرة
216,OK,في,في
217,SUB,بيتها,بيما
218,OK,اتذكر,اتذكر
219,SUB,جنية,جنمة
220,SUB,البيت,البهت
221,DEL,ثم,
222,OK,سكت,سكت
223,SUB,علي,عل
224,OK,لحظة,لحظة
225,DEL,ثم,
226,SUB,استانف,ماستان
227,SUB,حديثه,فحديثه
228,OK,قائلا,قائلا
