,operation,one,two
0,INS,,٧
1,INS,,اسرار
2,INS,,الايات
3,OK,كرمنا,كرمنا
4,OK,بني,بني
5,OK,ادم,ادم
6,OK,الاية,الاية
7,OK,فكذا,فكذا
8,OK,جعل,جعل
9,OK,قوة,قوة
10,OK,العقل,العقل
11,OK,والمعرفة,والمعرفة
12,OK,غاية,غاية
13,OK,وجود,وجود
14,OK,الانسان,الانسان
15,OK,والغرض,والغرض
16,OK,منه,منه
17,OK,اذ,اذ
18,OK,ليس,ليس
19,OK,فضل,فضل
20,OK,الانسان,الانسان
21,OK,بقوة,بقوة
22,OK,الجسم,الجسم
23,OK,فالفيل,فالفيل
24,OK,والبعير,والبعير
25,OK,اقوى,اقوى
26,OK,منه,منه
27,SUB,اجساما,اجسام
28,INS,,ا
29,OK,ولا,ولا
30,OK,بطول,بطول
31,OK,البقاء,البقاء
32,OK,في,في
33,OK,الدنيا,الدنيا
34,OK,فالنسر,فالنسر
35,OK,والفيل,والفيل
36,OK,اطول,اطول
37,OK,منه,منه
38,OK,عمرا,عمرا
39,OK,ولا,ولا
40,OK,بقوة,بقوة
41,OK,الغضب,الغضب
42,OK,وشدة,وشدة
43,OK,البطش,البطش
44,OK,فالاسد,فالاسد
45,OK,والنمر,والنمر
46,OK,منه,منه
47,OK,اشد,اشد
48,OK,بطشا,بطشا
49,OK,ولا,ولا
50,OK,باللباس,باللباس
51,INS,,و
52,SUB,والزينة,الزينة
53,SUB,فالطاوس,فالط
54,INS,,اوس
55,OK,والدراج,والدراج
56,OK,احسن,احسن
57,OK,منه,منه
58,OK,لباسا,لباسا
59,OK,ولا,ولا
60,OK,بقوة,بقوة
61,OK,النكاح,النكاح
62,SUB,فالحمار,فالحمارو
63,SUB,والعصفور,العصفور
64,OK,اقوى,اقوى
65,OK,منه,منه
66,OK,نكاحا,نكاحا
67,OK,ولا,ولا
68,OK,بكثرة,بكثرة
69,OK,الذهب,الذهب
70,OK,والفضة,والفضة
71,OK,فالمعادن,فالمعادن
72,OK,والجبال,والجبال
73,OK,اكثر,اكثر
74,SUB,منه,منة
75,OK,ذهبا,ذهبا
76,OK,وفضة,وفضة
77,OK,وما,وما
78,OK,احسن,احسن
79,OK,قول,قول
80,OK,الشاعر,الشاعر
81,SUB,لو,لولا
82,DEL,لا,
83,OK,العقول,العقول
84,OK,لكان,لكان
85,OK,ادنى,ادنى
86,OK,ضيغم,ضيغم
87,OK,ادنى,ادنى
88,SUB,الى,الـى
89,SUB,شرف,شر
90,SUB,من,فمن
91,OK,الانسان,الانسان
92,OK,لما,لما
93,OK,تفاضلت,تفاضلت
94,OK,النفوس,النفوس
95,SUB,ودبرت,ودبرتايدي
96,DEL,ايدي,
97,OK,الكماة,الكماة
98,OK,عوالي,عوالي
99,OK,المران,المران
100,OK,وليس,وليس
101,OK,فضل,فضل
102,OK,الناس,الناس
103,OK,على,على
104,OK,غيره,غيره
105,OK,بعنصره,بعنصره
106,OK,الموجود,الموجود
107,OK,منه,منه
108,OK,كما,كما
109,OK,زعم,زعم
110,OK,ابليس,ابليس
111,OK,اللعين,اللعين
112,OK,حيث,حيث
113,OK,قال,قال
114,OK,خلقتني,خلقتني
115,OK,من,من
116,OK,نار,نار
117,OK,وخلقته,وخلقته
118,OK,من,من
119,OK,طين,طين
120,OK,بل,بل
121,OK,ذلك,ذلك
122,OK,بما,بما
123,OK,خصه,خصه
124,OK,الله,الله
125,OK,تعالى,تعالى
126,OK,من,من
127,SUB,المعنى,المعني
128,OK,الذي,الذي
129,OK,ضمنه,ضمنه
130,OK,فيه,فيه
131,OK,والامر,والامر
132,OK,الذي,الذي
133,OK,اعطاه,اعطاه
134,SUB,له,لهوية
135,DEL,وبه,
136,OK,استحق,استحق
137,OK,سجدة,سجدة
138,OK,الملائكة,الملائكة
139,OK,فاشار,فاشار
140,OK,اليه,اليه
141,OK,بقوله,بقوله
142,OK,تعالى,تعالى
143,OK,فاذا,فاذا
144,OK,سويته,سويته
145,OK,ونفخت,ونفخت
146,OK,فيه,فيه
147,OK,من,من
148,OK,روحي,روحي
149,OK,فقعوا,فقعوا
150,OK,له,له
151,OK,ساجدين,ساجدين
152,INS,,و
153,SUB,والملئكة,الملئكةلما
154,DEL,لما,
155,OK,تنبهوا,تنبهوا
156,OK,بذلك,بذلك
157,OK,فاذعنوا,فاذعنوا
158,OK,وسجدوا,وسجدوا
159,OK,له,له
160,OK,كما,كما
161,OK,امرهم,امرهم
162,OK,الله,الله
163,INS,,و
164,SUB,وابليس,ابليس
165,SUB,لما,لم
166,SUB,نظر,انظر
167,OK,ظاهر,ظاهر
168,OK,ادم,ادم
169,INS,,و
170,SUB,ومبدا,مبدء
171,OK,امره,امره
172,OK,تغلظ,تغلظ
173,OK,وتعامى,وتعامى
174,OK,فيما,فيما
175,OK,ذكره,ذكره
176,OK,الله,الله
177,OK,تعالى,تعالى
178,OK,ولم,ولم
179,OK,يتامل,يتامل
180,SUB,المعنى,المعني
181,OK,الذي,الذي
182,OK,ضمنه,ضمنه
183,OK,الله,الله
184,OK,فيه,فيه
185,OK,والعاقبة,والعاقبة
186,OK,التي,التي
187,OK,حوله,حوله
188,OK,الله,الله
189,OK,اليها,اليها
190,SUB,ابى,ايي
191,OK,واستكبر,واستكبر
192,OK,وقد,وقد
193,OK,اقتدى,اقتدى
194,SUB,بابليس,باب
195,INS,,ليس
196,OK,الكفار,الكفار
197,OK,في,في
198,OK,رد,رد
199,OK,الانبياء,الانبياء
200,OK,حيث,حيث
201,OK,قالوا,قالوا
202,OK,ما,ما
203,OK,هذا,هذا
204,OK,الا,الا
205,OK,بشر,بشر
206,OK,مثلكم,مثلكم
207,OK,يريد,يريد
208,OK,ان,ان
209,OK,يتفضل,يتفضل
210,OK,عليكم,عليكم
211,OK,وقوله,وقوله
212,SUB,ما,وما
213,OK,لهذا,لهذا
214,OK,الرسول,الرسول
215,OK,ياكل,ياكل
216,OK,الطعام,الطعام
217,OK,ويمشي,ويمشي
218,OK,في,في
219,OK,الاسواق,الاسواق
220,OK,ونبه,ونبه
221,OK,الله,الله
222,OK,تعالى,تعالى
223,OK,ان,ان
224,OK,الاعتبار,الاعتبار
225,OK,بفضلهم,بفضلهم
226,OK,ليس,ليس
227,OK,بظاهر,بظاهر
228,OK,ابدانهم,ابدانهم
229,OK,وانما,وانما
230,OK,ذلك,ذلك
231,OK,لمعنى,لمعنى
232,OK,مستودع,مستودع
233,OK,في,في
234,OK,نفوسهم,نفوسهم
235,OK,تعمى,تعمى
236,OK,الكفار,الكفار
237,OK,عنها,عنها
238,SUB,فقال,فقالو
239,SUB,وتراهم,تري
240,INS,,هم
241,OK,ينظرون,ينظرون
242,OK,اليك,اليك
243,OK,وهم,وهم
244,OK,لا,لا
245,OK,يبصرون,يبصرون
246,SUB,اي,اى
247,OK,لا,لا
248,OK,يعرفون,يعرفون
249,OK,ما,ما
250,OK,فضلهم,فضلهم
251,OK,الله,الله
252,OK,به,به
253,OK,ومن,ومن
254,OK,يؤت,يؤت
255,OK,الحكمة,الحكمة
256,OK,فقد,فقد
257,OK,اوتي,اوتي
258,OK,خيرا,خيرا
259,OK,كثيرا,كثيرا
260,OK,وما,وما
261,OK,يذكر,يذكر
262,OK,الا,الا
263,OK,اولوا,اولوا
264,SUB,الالباب,الالبا
265,SUB,ذلك,بذلك
266,OK,فضل,فضل
267,OK,الله,الله
268,OK,يؤتيه,يؤتيه
269,OK,من,من
270,OK,يشاء,يشاء
271,OK,والله,والله
272,OK,ذو,ذو
273,OK,الفضل,الفضل
274,OK,العظيم,العظيم
