,operation,one,two
0,INS,,ـ
1,OK,انك,انك
2,OK,قاس,قاس
3,OK,انا,انا
4,SUB,يا,ا
5,SUB,خبر,حبر
6,OK,اسود,اسود
7,OK,وهل,وهل
8,SUB,فى,في
9,OK,هذه,هذه
10,OK,الدنيا,الدنيا
11,SUB,الطويلة,الطوللة
12,OK,العريضة,العريضة
13,SUB,من,منه
14,DEL,هو,
15,SUB,ارق,وارق
16,OK,منى,منى
17,SUB,قلبا,قلا
18,OK,ولكنه,ولكنه
19,OK,ابى,ابى
20,INS,,٠٠
21,SUB,انا,وانا
22,OK,اتالم,اتالم
23,INS,,ـ
24,OK,اعرف,اعرف
25,OK,انه,انه
26,OK,ابوك,ابوك
27,OK,واعرف,واعرف
28,SUB,ايضا,انضا
29,OK,انه,انه
30,OK,نادر,نادر
31,OK,وانه,وانه
32,OK,منقطع,منقطع
33,OK,القرين,القرين
34,INS,,اي
35,SUB,ايكفى,كفى
36,OK,هذا,هذا
37,OK,الثناء,الثناء
38,OK,ام,ام
39,SUB,تريدين,تريدينا
40,SUB,الزيادة,لزيادة
41,SUB,يكفى,يكفي
42,OK,حسن,حسن
43,OK,ولكن,ولكن
44,OK,ذهوله,ذهوله
45,OK,يضحك,يضحك
46,OK,الثكلى,الثكلى
47,OK,فماذا,فماذا
48,SUB,اصنع,ا
49,OK,ما,ما
50,SUB,حيلتى,حيلتي
51,INS,,ا
52,INS,,فقالت
53,INS,,الفتاة
54,INS,,بلهجة
55,INS,,مبطنة
56,INS,,العتاب
57,SUB,ولكن,ولكنه
58,DEL,هل,
59,SUB,من,لمن
60,SUB,الضرورى,الضروري
61,OK,ان,ان
62,OK,تقلده,تقلده
63,OK,ان,ان
64,OK,هذا,هذا
65,DEL,فقالت,
66,DEL,الفتاة,
67,DEL,بلهجة,
68,DEL,مبطنة,
69,DEL,بالعتاب,
70,OK,هو,هو
71,SUB,الذى,الذي
72,OK,يسوءني,يسوءني
73,OK,منك,منك
74,INS,,فقلت
75,SUB,فكرى,فكري
76,OK,يا,يا
77,SUB,فتاتى,فتاتي
78,SUB,قولى,قالي
79,SUB,لى,لي
80,OK,كيف,كيف
81,OK,يمكن,يمكن
82,OK,ان,ان
83,OK,اقص,اقص
84,OK,عليك,عليك
85,SUB,الحكاية,الحكاة
86,OK,واصف,واصف
87,OK,لك,لك
88,DEL,فقلت,
89,OK,ما,ما
90,OK,حدث,حدث
91,OK,بغير,بغير
92,OK,ذلك,ذلك
93,SUB,انى,اني
94,OK,لا,لا
95,SUB,اريد,ارند
96,OK,تقليده,تقليده
97,OK,ولكن,ولكن
98,OK,الصدق,الصدق
99,SUB,فى,في
100,OK,الرواية,الرواية
101,SUB,والفن,والقن
102,OK,فى,فى
103,SUB,عرضها,عرضه
104,DEL,فاقتنعت,
105,SUB,او,اي
106,DEL,هى,
107,DEL,لم,
108,DEL,تقتنع,
109,SUB,يتطلبان,تطلبان
110,OK,ذلك,ذلك
111,OK,بل,بل
112,OK,يجىء,يجىء
113,SUB,منى,مني
114,OK,التقليد,التقليد
115,SUB,عفوا,عفو
116,INS,,او
117,SUB,وعلى,على
118,OK,غير,غير
119,OK,عمد,عمد
120,INS,,فاقتنعت
121,INS,,او
122,INS,,هي
123,INS,,لم
124,INS,,تقتنع
125,OK,ولكنى,ولكنى
126,OK,كنت,كنت
127,OK,قبل,قبل
128,OK,ان,ان
129,OK,يدور,يدور
130,OK,هذا,هذا
131,OK,الحوار,الحوار
132,OK,قد,قد
133,OK,شرعت,شرعت
134,OK,اقص,اقص
135,SUB,عليها,عليه
136,INS,,ا
137,OK,حادثة,حادثة
138,SUB,جديدة,حدد
139,INS,,دة
140,OK,من,من
141,OK,حوادثه,حوادثه
142,SUB,التى,التي
143,OK,لا,لا
144,OK,اخر,اخر
145,OK,لها,لها
146,OK,فلما,فلما
147,OK,احتجت,احتجت
148,OK,الى,الى
149,OK,تقليده,تقليده
150,SUB,فى,في
151,OK,بعض,بعض
152,SUB,مواقفها,مواقفه
153,SUB,ضحكت,اضحكت
154,SUB,ثم,تم
155,OK,انقلبت,انقلبت
156,OK,تعاتب,تعاتب
157,INS,,و
158,SUB,وتستهجن,تستهجن
159,OK,التقليد,التقليد
160,OK,وتعيب,وتعيب
161,OK,المحاكاة,المحاكاة
162,OK,وهذا,وهذا
163,OK,بعض,بعض
164,OK,ما,ما
165,SUB,يحيرنى,يحيرني
166,OK,من,من
167,OK,المراة,المراة
168,OK,فقد,فقد
169,OK,كان,كان
170,OK,ضحكها,ضحكها
171,OK,وعتابها,وعتابها
172,SUB,فى,في
173,OK,وقت,وقت
174,OK,معا,معا
175,OK,وكانت,وكانت
176,OK,تضحك,تضحك
177,SUB,وتشير,وتشي
178,SUB,الى,الي
179,SUB,بيدها,بيده
180,INS,,ا
181,SUB,منكرة,منكرةما
182,SUB,ماترى,ترى
183,OK,وتسمع,وتسمع
184,DEL,منى,
185,OK,وقد,وقد
186,OK,عرفتها,عرفتها
187,OK,من,من
188,OK,ابيها,ابيها
189,SUB,وبفضل,ويفضل
190,OK,ذهوله,ذهوله
191,SUB,العجيب,العحيب
192,OK,وكانت,وكانت
193,OK,تخرج,تخرج
194,OK,معه,معه
195,SUB,لتقيه,لتقية
196,OK,عواقب,عواقب
197,OK,ما,ما
198,DEL,يقع,
199,DEL,منه,
200,SUB,فكانها,منهفكانها
201,SUB,وهى,وهي
202,OK,ترافقه,ترافقه
203,INS,,١١٢
