,operation,one,two
0,INS,,١٠٩
1,SUB,ما,ا
2,OK,كان,كان
3,OK,فيه,فيه
4,OK,من,من
5,OK,ايام,ايام
6,OK,السعة,السعة
7,OK,والرخاء,والرخاء
8,OK,ولكن,ولكن
9,OK,ابواب,ابواب
10,SUB,السماء,الساء
11,SUB,كانت,كانتك
12,SUB,كانما,اما
13,OK,اغلقت,اغلقت
14,OK,من,من
15,OK,دونه,دونه
16,OK,او,او
17,OK,كان,كان
18,SUB,لله,الله
19,OK,يسمع,يسمع
20,OK,دعاءه,دعاءه
21,SUB,ويجيبه,ويجيبها
22,SUB,الى,لى
23,SUB,خير,خيرا
24,DEL,مما,
25,OK,كان,كان
26,SUB,يطلب,يطل
27,OK,فقد,فقد
28,OK,كان,كان
29,OK,يطلب,يطلب
30,SUB,دارهم,دار
31,INS,,و
32,SUB,ودنانير,دنانير
33,SUB,يؤدي,يؤدى
34,OK,بها,بها
35,OK,بعض,بعض
36,OK,دينه,دينه
37,SUB,ويشتري,ويشرى
38,OK,بها,بها
39,OK,لبنيه,لبنيه
40,OK,وبناته,وبناته
41,OK,وازواجه,وازواجه
42,OK,الغذاء,الغذاء
43,OK,والكساء,والكساء
44,INS,,واس
45,SUB,والحذاء,حذاء
46,OK,ولكن,ولكن
47,SUB,لله,الله
48,OK,كان,كان
49,OK,يقبل,يقبل
50,OK,صلواته,صلواته
51,OK,ويسمع,ويسمع
52,OK,دعواته,دعواته
53,OK,ويدخر,ويدخر
54,DEL,له,
55,SUB,بهن,لهبهن
56,SUB,قصورا,قصور
57,SUB,في,افى
58,INS,,ابل
59,SUB,الجنة,حنة
60,SUB,على,عل
61,OK,هذه,هذه
62,SUB,الانهار,الا
63,INS,,هار
64,SUB,التي,الى
65,SUB,يجري,بجرى
66,OK,فيها,فيها
67,OK,ماء,ماء
68,OK,لذة,لذة
69,OK,للشاربين,للشاربين
70,SUB,ويجري,وجرى
71,DEL,شجرة,
72,DEL,البؤس,
73,OK,فيها,فيها
74,SUB,اللبن,الين
75,INS,,و
76,SUB,والعسل,العسل
77,INS,,و
78,SUB,والخمر,الحمر
79,OK,ويقام,ويقام
80,OK,عليها,عليها
81,OK,من,من
82,OK,القصور,القصور
83,OK,ما,ما
84,OK,لا,لا
85,OK,عين,عين
86,OK,رات,رات
87,OK,ولا,ولا
88,OK,اذن,اذن
89,OK,سمعت,سمعت
90,OK,ولا,ولا
91,OK,خطر,خطر
92,SUB,على,عل
93,OK,قلب,قلب
94,OK,بشر,بشر
95,OK,وقد,وقد
96,SUB,انتهى,انى
97,OK,الامر,الامر
98,SUB,بعلي,بعلا
99,SUB,الى,لى
100,OK,ان,ان
101,OK,اصبح,اصبح
102,OK,شديد,شديد
103,OK,الامل,الامل
104,SUB,في,فى
105,OK,رضوان,رضوان
106,SUB,لله,الله
107,OK,حين,حين
108,OK,يبلغ,يبلغ
109,OK,الدار,الدار
110,OK,الاخرة,الاخرة
111,OK,شديد,شديد
112,SUB,الياس,الماس
113,OK,من,من
114,OK,روح,روح
115,SUB,لله,اللهى
116,DEL,في,
117,OK,هذه,هذه
118,OK,الدار,الدار
119,OK,الاولى,الاولى
120,DEL,فلم,
121,SUB,يزده,فليزده
122,OK,ذلك,ذلك
123,OK,الا,الا
124,OK,اجتهادا,اجتهادا
125,SUB,في,فى
126,OK,العبادة,العبادة
127,OK,والطاعة,والطاعة
128,OK,ليستكثر,ليستكثر
129,OK,من,من
130,OK,رضا,رضا
131,SUB,لله,الله
132,OK,عنه,عنه
133,OK,ومما,ومما
134,OK,كان,كان
135,OK,يرجو,يرجو
136,OK,ان,ان
137,OK,يدخر,يدخر
138,OK,له,له
139,SUB,في,فى
140,OK,الجنة,الجنة
141,OK,من,من
142,OK,نعيم,نعيم
143,DEL,ولكنه,
144,SUB,قصر,ووصر
145,OK,في,في
146,OK,التجارة,التجارة
147,OK,واهمل,واهمل
148,OK,امرها,امرها
149,OK,واخذ,واخذ
150,OK,ينظر,ينظر
151,OK,الى,الى
152,SUB,امور,اهور
153,INS,,ا
154,SUB,الدنيا,لدنيا
155,INS,,ىثى
156,DEL,في,
157,SUB,شيء,ء
158,OK,من,من
159,OK,الازدراء,الازدراء
160,OK,والاستخفاف,والاستخفاف
161,OK,دون,دون
162,OK,ان,ان
163,OK,ينسى,ينسى
164,OK,نصيبه,نصيبه
165,OK,من,من
166,OK,متاعها,متاعها
167,SUB,ولذاتها,ولذا
168,INS,,ما
169,INS,,و
170,SUB,وقد,قد
171,SUB,اجتهد,اجهد
172,DEL,في,
173,SUB,ان,قوان
174,SUB,يحمل,بحمل
175,OK,نفسه,نفسه
176,SUB,على,عل
177,OK,الرضا,الرضا
178,OK,بما,بما
179,SUB,قسم,ق
180,OK,له,له
181,OK,لولا,لولا
182,DEL,ان,
183,SUB,بطون,انبطون
184,OK,بنيه,بنيه
185,OK,وبناته,وبناته
186,OK,لم,لم
187,OK,تكن,تكن
188,OK,تطمئن,تطمئن
189,OK,الى,الى
190,SUB,الجوع,ابوع
191,OK,ولا,ولا
192,OK,تقنع,تقنع
193,OK,بالقليل,بالقليل
194,OK,من,من
195,OK,الطعام,الطعام
196,INS,,وا
197,SUB,ولولا,ولا
198,OK,ان,ان
199,OK,ازواجه,ازواجه
200,OK,وبنيه,وبنيه
201,OK,لم,لم
202,OK,يكونوا,يكونوا
203,OK,يقدرون,يقدرون
204,OK,ازمته,ازمته
205,SUB,في,فى
206,OK,تجارته,تجارته
207,OK,ولا,ولا
208,SUB,يعرفون,يعرف
209,SUB,من,وبمن
210,OK,ضيق,ضيق
211,OK,ذات,ذات
212,OK,يده,يده
213,OK,شيئا,شيئا
214,OK,فكانوا,فكانوا
215,SUB,يطلبون,بطلبون
216,INS,,و
217,SUB,ويلحون,يلحون
218,OK,في,في
219,OK,الطلب,الطلب
220,OK,فاذا,فاذا
221,OK,قصر,قصر
222,OK,الرجل,الرجل
223,OK,في,في
224,OK,تحقيق,تحقيق
225,INS,,ام
226,SUB,امالهم,الهه
227,OK,استحال,استحال
228,INS,,ما
229,DEL,بيته,
230,DEL,الى,
231,SUB,جحيم,لجح
232,OK,لا,لا
233,OK,يطاق,يطاق
234,OK,ولا,ولا
235,OK,يمكن,يمكن
236,SUB,الصبر,الصير
237,OK,عليه,عليه
238,OK,وكثيرا,وكثيرا
239,OK,ما,ما
240,OK,كان,كان
241,OK,الرجل,الرجل
242,SUB,يفزع,فزع
243,OK,الى,الى
244,OK,المساجد,المساجد
245,OK,ومجالس,ومجالس
246,OK,الشيوخ,الشيوخ
247,OK,يرى,يرى
248,OK,الناس,الناس
249,OK,انه,انه
250,SUB,يبتغي,يبتغى
251,OK,بذلك,بذلك
252,OK,العبادة,العبادة
253,SUB,والطاعة,االطاعة
254,OK,ويرى,ويرى
255,OK,هو,هو
256,OK,انه,انه
257,OK,يفر,يفر
258,OK,من,من
259,OK,ازواجه,ازواجه
260,OK,وبنيه,وبنيه
261,OK,والحاحهم,والحاحهم
262,OK,عليه,عليه
263,SUB,فيما,فيا
264,OK,يريدون,يريدون
265,SUB,وما,ما
266,SUB,لا,لايط
267,DEL,يطيق,
268,DEL,من,
269,SUB,الامر,الا
270,INS,,ومرمر
271,OK,وقد,وقد
272,SUB,انتهى,انى
273,OK,ذلك,ذلك
274,SUB,بعلي,بهللى
275,OK,الى,الى
276,INS,,فى
277,DEL,شيء,
278,SUB,من,منسوها
279,INS,,بل
280,DEL,سوء,
281,SUB,الخلق,لق
282,INS,,هابل
283,INS,,لق
