,operation,one,two
0,INS,,١٤
1,DEL,من,
2,OK,الذكريات,الذكريات
3,OK,والالام,والالام
4,OK,وكانت,وكانت
5,OK,كل,كل
6,SUB,زاوية,زاوة
7,OK,من,من
8,SUB,الزوايا,الزؤاا
9,SUB,كانما,كاما
10,SUB,تخفي,يخن
11,SUB,فيها,فيا
12,OK,رصدا,رصدا
13,OK,من,من
14,OK,الشياطين,الشياطين
15,OK,الثائرة,الثائرة
16,OK,والعقبان,والعقبان
17,SUB,الكاسرة,الحاة
18,SUB,وكان,وكانا
19,SUB,اجتناب,تتاب
20,SUB,تلك,ال
21,INS,,لى
22,SUB,الطريق,الطريت
23,SUB,اسلم,اسل
24,SUB,الامور,الامر
25,INS,,ر
26,SUB,واهون,واهرن
27,SUB,المحذورات,الهزاران
28,DEL,ثم,
29,SUB,مضت,مضتا
30,SUB,الاشهر,لا
31,INS,,تبر
32,OK,وخيل,وخيل
33,OK,الى,الى
34,SUB,صاحبنا,حينا
35,OK,انه,انه
36,OK,لم,لم
37,OK,يعد,يعد
38,OK,يخشى,يخشى
39,OK,او,او
40,SUB,يذكر,ينكر
41,OK,فاجترا,فاجترا
42,SUB,على,عل
43,SUB,العبور,العهيلا
44,SUB,بالطريق,ارر
45,OK,مرة,مرة
46,OK,بعد,بعد
47,OK,مرة,مرة
48,SUB,وعبر,وعبرها
49,DEL,بها,
50,OK,ثلاث,ثلاث
51,OK,مرات,مرات
52,OK,او,او
53,SUB,اربعا,اربهاعلى
54,SUB,على,الا
55,SUB,الاكثر,كثر
56,INS,,و
57,SUB,وكانت,كانت
58,SUB,الرابعة,الراية
59,SUB,هي,مي
60,SUB,التي,اي
61,INS,,مر
62,INS,,جىء
63,DEL,فوجئ,
64,OK,بها,بها
65,OK,هذه,هذه
66,OK,المفاجاة,المفاجاة
67,OK,التي,التي
68,OK,لم,لم
69,OK,تكن,تكن
70,OK,في,في
71,OK,الحسبان,الحسبان
72,OK,انه,انه
73,OK,لم,لم
74,INS,,ير
75,SUB,يرصاحبته,صاحته
76,SUB,بعد,دعد
77,OK,اللقاء,اللقاء
78,OK,الاخير,الاخير
79,SUB,في,ف
80,OK,اثناء,اثناء
81,OK,تلك,تلك
82,SUB,الاشهر,الامهر
83,OK,الموحشة,الموحشة
84,OK,لانه,لانه
85,OK,اجتنب,اجتنب
86,OK,الاماكن,الاماكن
87,OK,التي,التي
88,SUB,عساه,عاه
89,OK,ان,ان
90,OK,يراها,يراها
91,OK,فيها,فيها
92,OK,ولزم,ولزم
93,OK,بيته,بيته
94,OK,في,في
95,SUB,معظم,محفظ
96,OK,الايام,الايام
97,OK,وقد,وقد
98,SUB,علم,عم
99,OK,انه,انه
100,OK,ما,ما
101,OK,من,من
102,OK,مرتاد,مرتاد
103,OK,او,او
104,OK,متنزه,متنزه
105,DEL,سارة,
106,OK,يقصد,يقصد
107,SUB,اليه,اله
108,OK,الا,الا
109,OK,وهو,وهو
110,OK,خليق,خليق
111,OK,ان,ان
112,OK,يعاوده,يعاوده
113,OK,ببعض,ببعض
114,SUB,الذكريات,الدربات
115,OK,ان,ان
116,OK,لم,لم
117,OK,يعاوده,يعاوده
118,OK,ببعض,ببعض
119,OK,ما,ما
120,SUB,يسوءه,يسؤه
121,OK,ان,ان
122,SUB,يراه,رام
123,SUB,فلما,فلا
124,OK,عبر,عبر
125,OK,الشارع,الشارع
126,OK,المهجور,المهجور
127,OK,تلك,تلك
128,SUB,الليلة,الللة
129,OK,مطرقا,مطرقا
130,OK,كعادته,كعادته
131,SUB,حين,حن
132,OK,يسير,يسير
133,SUB,على,عل
134,OK,غير,غير
135,OK,قصد,قصد
136,OK,الى,الى
137,OK,مكان,مكان
138,SUB,معلوم,معا
139,INS,,وم
140,SUB,سمع,سم
141,SUB,من,عمن
142,SUB,جانبه,جانيه
143,OK,صوتا,صوتا
144,SUB,يناديه,يناده
145,SUB,صوتا,صويا
146,SUB,يعرفه,يعروه
147,SUB,بين,رين
148,SUB,الف,الفصوت
149,DEL,صوت,
150,DEL,بل,
151,SUB,بين,ولين
152,SUB,جميع,يميع
153,SUB,ما,ماخاى
154,DEL,خلق,
155,SUB,لله,الله
156,OK,من,من
157,OK,الاصوات,الاصوات
158,OK,والاصداء,والاصداء
159,SUB,صوتها,صوهاه
160,DEL,هي,
161,SUB,بعينها,اعييا
162,OK,يهتف,يهتف
163,OK,به,به
164,OK,اهو,اهو
165,OK,انت,انت
166,OK,اهو,اهو
167,OK,انت,انت
168,OK,سمع,سمع
169,SUB,هاتين,هاتنا
170,SUB,الكلمتين,لـ
171,SUB,فاحس,كامتنفا
172,SUB,لهما,حسلهما
173,OK,صدى,صدى
174,INS,,ان
175,SUB,كانفغار,فغار
176,SUB,الهاوية,الهاوة
177,OK,تحت,تحت
178,SUB,السفينة,السفةفي
179,DEL,في,
180,SUB,البحر,الرحراللج
181,DEL,اللجي,
182,OK,من,من
183,SUB,اثر,اتر
184,OK,عاصفة,عاصفة
185,OK,او,او
186,SUB,زلزال,زار
187,INS,,ال
