,operation,one,two
0,INS,,٧
1,OK,لا,لا
2,OK,يستبعد,يستبعد
3,SUB,والشيء,والثائ
4,OK,الذي,الذي
5,OK,يتوقع,يتوقع
6,OK,الا,الا
7,OK,خطوة,خطوة
8,OK,وعلامة,وعلامة
9,OK,محسوسة,محسوسة
10,SUB,على,عل
11,SUB,ان,ار
12,OK,الانسان,الانسان
13,OK,قد,قد
14,SUB,يتوقع,توقع
15,SUB,الغش,القش
16,OK,لفرط,لفرط
17,OK,اشفاقه,اشفاقه
18,OK,من,من
19,OK,الفقد,الفقد
20,SUB,والخسارة,سه
21,INS,,روءيخ
22,SUB,لا,ا
23,SUB,لفرط,لايفرط
24,SUB,اتهامه,امامه
25,OK,وسوء,وسوء
26,OK,ظنه,ظنه
27,SUB,فالخزانة,والخزانة
28,OK,التي,التي
29,OK,تتركها,تتركها
30,OK,فارغة,فارغة
31,OK,هي,هي
32,OK,بعينها,بعينها
33,OK,الخزانة,الخزانة
34,SUB,التي,الي
35,SUB,تملؤها,تملاها
36,OK,بالذهب,بالذهب
37,SUB,والفضة,والقضة
38,OK,والجواهر,والجواهر
39,SUB,الثمينة,الثمانة
40,SUB,لكنك,لكمك
41,SUB,تخشى,تخمى
42,SUB,على,عل
43,SUB,متانتها,متلذذها
44,SUB,وهي,وهن
45,OK,حافلة,حافلة
46,OK,عامرة,عامرة
47,OK,ولا,ولا
48,SUB,تخشى,خشمي
49,SUB,على,عل
50,OK,متانتها,متانتها
51,SUB,وهي,وه
52,SUB,فارغة,وارغة
53,OK,منسية,منسية
54,INS,,ور
55,SUB,لماذا,ما
56,DEL,اشك,
57,DEL,فيها,
58,DEL,وربما,
59,OK,خرج,خرج
60,OK,الرجل,الرجل
61,OK,الواحد,الواحد
62,OK,من,من
63,OK,المنزل,المنزل
64,SUB,تنتظره,تنتظرة
65,SUB,فيه,فئة
66,OK,ام,ام
67,OK,حنون,حنون
68,SUB,وزوجة,وزاحة
69,SUB,قالية,قالة
70,OK,فاذا,فاذا
71,OK,تاخر,تاخر
72,SUB,عن,ع
73,OK,موعد,موعد
74,SUB,الاياب,اللباب
75,SUB,فاول,واول
76,SUB,ما,ماتختل
77,DEL,يخطر,
78,SUB,على,عل
79,SUB,بال,ال
80,SUB,الام,الا
81,SUB,ان,ا
82,INS,,ن
83,SUB,ابنها,ابها
84,OK,قد,قد
85,SUB,اصابه,اصلاة
86,OK,مكروه,مكروه
87,OK,واول,واول
88,DEL,ما,
89,SUB,يخطر,ماخطر
90,SUB,على,عل
91,SUB,بال,بلل
92,SUB,الزوجة,الزاعة
93,OK,ان,ان
94,OK,زوجها,زوجها
95,SUB,يعبث,وعيت
96,SUB,ويعربد,وادريد
97,OK,ولا,ولا
98,OK,يمكن,يمكن
99,OK,ان,ان
100,SUB,يكون,يسكان
101,OK,الرجل,الرجل
102,OK,الواحد,الواحد
103,SUB,رجلين,رحلان
104,SUB,في,فى
105,OK,الرشد,الرشد
106,SUB,والحصافة,وللحصافة
107,OK,والقدرة,والقدرة
108,SUB,على,عل
109,OK,دفع,دفع
110,OK,الاخطار,الاخطار
111,SUB,وانما,واتما
112,OK,اختلف,اختلف
113,SUB,التوقع,التاقسع
114,SUB,باختلاف,اختلاف
115,OK,الشعور,الشعور
116,SUB,والخشية,والخشة
117,SUB,فتتوقع,وتتامع
118,OK,الام,الام
119,OK,المكروه,المكروه
120,SUB,لانها,لاما
121,OK,تخشى,تخشى
122,OK,المكروه,المكروه
123,OK,ولا,ولا
124,SUB,تبالي,تيللا
125,SUB,سواه,سو
126,INS,,ه
127,SUB,وتتوقع,و
128,INS,,رغ
129,OK,الزوجة,الزوجة
130,OK,العربدة,العربدة
131,SUB,لانها,لايها
132,SUB,تخشى,يختى
133,OK,العربدة,العربدة
134,OK,ولا,ولا
135,SUB,تبالي,تبايي
136,OK,سواها,سواها
137,OK,ولا,ولا
138,SUB,يسوءها,يساءها
139,OK,ان,ان
140,OK,يصاب,يصاب
141,OK,زوجها,زوجها
142,SUB,البغيض,الاغيض
143,SUB,كما,ا
144,SUB,يسوءها,يسارها
145,SUB,ان,ار
146,SUB,يصيبها,يصبا
147,SUB,في,فى
148,SUB,غيرتها,غيرتما
149,SUB,وكرامتها,وكرامتا
150,OK,الزوجية,الزوجية
151,OK,لهذا,لهذا
152,SUB,اصبح,اصه
153,SUB,همام,هما
154,SUB,يحذر,محذر
155,OK,الخيانة,الخيانة
156,OK,حين,حين
157,OK,اصبحت,اصبحت
158,SUB,هذه,هذة
159,SUB,الخيانة,الخانة
160,SUB,شيئا,شيتا
161,OK,يهمه,يهمه
162,OK,ويشغل,ويشغل
163,SUB,باله,يليه
164,OK,ولم,ولم
165,OK,يتاهب,يتاهب
166,SUB,لنفيها,لتفاها
167,SUB,كما,كا
168,OK,تاهب,تاهب
169,SUB,لقبولها,اقبالهل
170,OK,ولم,ولم
171,SUB,يكبح,يـكبح
172,SUB,خواطره,واطره
173,OK,عن,عن
174,SUB,التمادي,ايقادي
175,OK,في,في
176,SUB,الظلم,الظل
177,OK,لانه,لانه
178,SUB,علم,عل
179,OK,ان,ان
180,OK,ضمان,ضمان
181,OK,العدل,العدل
182,OK,موجود,موجود
