,operation,one,two
0,INS,,١٦
1,OK,هذا,هذا
2,OK,خير,خير
3,OK,من,من
4,DEL,ان,
5,SUB,يرانا,انرانا
6,OK,الناس,الناس
7,SUB,مشدوهين,مشدوهينك
8,SUB,كالصنمين,الصنمين
9,OK,والواقع,والواقع
10,OK,ان,ان
11,SUB,الناس,الساس
12,OK,التفتوا,التفتوا
13,OK,فعلا,فعلا
14,OK,وجعل,وجعل
15,SUB,بعضهم,بهضهم
16,OK,ينظر,ينظر
17,SUB,الى,ال
18,INS,,بعض
19,SUB,بعضويتهامسون,ويتهامسون
20,OK,فقال,فقال
21,SUB,لها,ا
22,OK,صدقت,صدقت
23,OK,هو,هو
24,OK,خير,خير
25,OK,ثم,ثم
26,OK,صاح,صاح
27,SUB,الحوذي,الحوذى
28,OK,الى,الى
29,OK,اين,اين
30,SUB,يا,با
31,OK,بك,بك
32,INS,,فلما
33,INS,,لم
34,INS,,يسمع
35,INS,,رد
36,INS,,اه
37,INS,,ن
38,INS,,البك
39,OK,عاد,عاد
40,OK,يسال,يسال
41,OK,الى,الى
42,OK,اين,اين
43,SUB,يا,با
44,SUB,سيدتي,سيدى
45,DEL,البك,
46,DEL,فلما,
47,DEL,لم,
48,DEL,يسمع,
49,DEL,ردا,
50,DEL,من,
51,OK,فهمست,فهمست
52,SUB,صاحبتنا,صاحتنا
53,OK,الا,الا
54,OK,تقول,تقول
55,SUB,للحوذي,للحوذى
56,OK,الى,الى
57,SUB,اين,ان
58,OK,فاجابها,فاجابها
59,OK,وهو,وهو
60,OK,يوجه,يوجه
61,OK,خطابه,خطابه
62,INS,,الى
63,SUB,للحوذي,الحوذى
64,OK,الى,الى
65,SUB,حيث,حتف
66,SUB,تشاء,لشاء
67,DEL,اهو,
68,DEL,انت,
69,OK,وكانما,وكانما
70,OK,ندمت,ندمت
71,OK,مرة,مرة
72,OK,اخرى,اخرى
73,OK,على,على
74,OK,الركوب,الركوب
75,SUB,وعلى,وعل
76,OK,اللقاء,اللقاء
77,SUB,وعلى,وعل
78,OK,السؤال,السؤال
79,SUB,لانها,لا١كا
80,SUB,كانت,شت
81,SUB,تنتظر,ذر
82,OK,من,من
83,SUB,صاحبها,صاحباهفة
84,DEL,لهفة,
85,SUB,على,عل
86,SUB,مكان,ان
87,OK,من,من
88,OK,اماكن,اماكن
89,SUB,الرياضة,الراضة
90,SUB,المعهودة,الم
91,INS,,عوود
92,INS,,ة
93,SUB,التي,التى
94,OK,الفا,الفا
95,SUB,ان,اني
96,SUB,يترددا,ترددا
97,OK,عليها,عليها
98,SUB,فجلست,بلهت
99,OK,صامتة,صامتة
100,DEL,وجلس,
101,SUB,كذلك,ويلسكذلك
102,OK,صامتا,صامتا
103,OK,وطال,وطال
104,OK,الصمت,الصمت
105,OK,لا,لا
106,OK,لانه,لانه
107,OK,كان,كان
108,OK,يريده,يريده
109,OK,او,او
110,SUB,لانه,لانهكنباى
111,SUB,كان,ا
112,INS,,لـ
113,DEL,يابى,
114,SUB,الكلام,كلام
115,INS,,و
116,SUB,ولكن,لـكن
117,OK,لانه,لانه
118,OK,كان,كان
119,SUB,يفتش,يفئشر
120,OK,عن,عن
121,OK,كل,كل
122,OK,كلام,كلام
123,SUB,في,فى
124,OK,الدنيا,الدنيا
125,OK,فاذا,فاذا
126,SUB,هو,ه
127,SUB,يهرب,٣رب٠
128,SUB,او,اويست
129,INS,,عصى
130,SUB,يستعصيولا,ولا
131,OK,ينقاد,ينقاد
132,INS,,دنا
133,DEL,كان,
134,SUB,الكلام,لكلام
135,SUB,الذي,الذى
136,SUB,يريده,بربده
137,OK,هو,هو
138,OK,التواعد,التواعد
139,OK,الى,الى
140,SUB,غد,غدحي
141,DEL,حيث,
142,SUB,يلتقيان,فيلتقيان
143,SUB,في,فى
144,OK,المنزل,المنزل
145,SUB,وحيث,وحيت
146,OK,يقولان,يقولان
147,INS,,ويه
148,SUB,ويعيدان,يدان
149,OK,ويتاهبان,ويتاهبان
150,SUB,للعذر,للهذر
151,SUB,ويتاهبان,ويتاهب
152,INS,,انا
153,SUB,للملام,لم
154,INS,,لا
