,operation,one,two
0,INS,,اسرار
1,INS,,الايات
2,OK,جليل,جليل
3,OK,من,من
4,OK,اعماله,اعماله
5,OK,واقواله,واقواله
6,SUB,في,فى
7,OK,صحيفة,صحيفة
8,OK,باطنية,باطنية
9,SUB,طويت,طوبت
10,OK,منا,منا
11,OK,اليوم,اليوم
12,OK,ونشرت,ونشرت
13,OK,يوم,يوم
14,OK,القيامة,القيامة
15,SUB,وهي,وهى
16,OK,كتاب,كتاب
17,OK,حفيظ,حفيظ
18,OK,لقوله,لقوله
19,OK,تعالى,تعالى
20,OK,وعندنا,وعندنا
21,OK,كتاب,كتاب
22,OK,حفيظ,حفيظ
23,OK,وقوله,وقوله
24,OK,لا,لا
25,OK,يغادر,يغادر
26,OK,صغيرة,صغيرة
27,OK,ولا,ولا
28,OK,كبيرة,كبيرة
29,OK,الا,الا
30,SUB,احصاها,احصيها
31,OK,ووجدوا,ووجدوا
32,OK,ما,ما
33,OK,عملوا,عملوا
34,OK,حاضرا,حاضرا
35,OK,ولا,ولا
36,OK,يظلم,يظلم
37,OK,ربك,ربك
38,OK,احدا,احدا
39,SUB,ففي,ففى
40,OK,قدرة,قدرة
41,OK,الله,الله
42,OK,تعالى,تعالى
43,OK,ان,ان
44,OK,يكشف,يكشف
45,SUB,في,فى
46,OK,لحظة,لحظة
47,OK,واحدة,واحدة
48,SUB,للخلائق,للخلايق
49,OK,كلهم,كلهم
50,OK,حاصل,حاصل
51,OK,حسناتهم,حسناتهم
52,SUB,وسيئاتهم,وسيئانهم
53,OK,وهو,وهو
54,OK,اسرع,اسرع
55,OK,الحاسبين,الحاسبين
56,OK,قاعدة,قاعدة
57,SUB,في,فى
58,OK,الاشارة,الاشارة
59,OK,الى,الى
60,INS,,ط
61,SUB,طوائف,وايف
62,SUB,الناس,الن
63,INS,,اس
64,OK,من,من
65,OK,جهة,جهة
66,OK,الحساب,الحساب
67,OK,الناس,الناس
68,OK,يوم,يوم
69,OK,القيامة,القيامة
70,OK,صنفان,صنفان
71,SUB,صنف,صن
72,SUB,يدخلون,فيدخلون
73,OK,الجنة,الجنة
74,SUB,ويرزقون,ويرزوون
75,OK,من,من
76,OK,نعيمها,نعيمها
77,OK,وهم,وهم
78,OK,ثلاثة,ثلاثة
79,OK,اقوام,اقوام
80,OK,منهم,منهم
81,OK,المقربون,المقربون
82,OK,الكاملون,الكاملون
83,SUB,في,فى
84,OK,المعرفة,المعرفة
85,OK,والتجرد,والتجرد
86,OK,وهم,وهم
87,OK,لتنزههم,لتنزههم
88,OK,وارتفاع,وارتفاع
89,OK,مكانتهم,مكانتهم
90,OK,عن,عن
91,OK,شواغل,شواغل
92,OK,الكتاب,الكتاب
93,OK,والحساب,والحساب
94,OK,يدخلون,يدخلون
95,OK,الجنة,الجنة
96,OK,بغير,بغير
97,OK,حساب,حساب
98,OK,كما,كما
99,OK,قال,قال
100,OK,تعالى,تعالى
101,SUB,في,فى
102,SUB,حقهم,حقه
103,SUB,ما,مما
104,OK,عليك,عليك
105,OK,من,من
106,OK,حسابهم,حسابهم
107,OK,من,من
108,SUB,شيء,شئى
109,OK,وما,وما
110,OK,من,من
111,OK,حسابك,حسابك
112,OK,عليهم,عليهم
113,OK,من,من
114,SUB,شيء,شئى
115,INS,,و
116,SUB,ومنهم,منهم
117,OK,جماعة,جماعة
118,OK,من,من
119,OK,اصحاب,اصحاب
120,OK,اليمين,اليمين
121,OK,لم,لم
122,SUB,يقدموا,بقدموا
123,SUB,في,فى
124,OK,الدنيا,الدنيا
125,OK,على,على
126,OK,معصية,معصية
127,OK,ولم,ولم
128,OK,يقترفوا,يقترفوا
129,OK,سيئة,سيئة
130,OK,ولا,ولا
131,OK,فسادا,فسادا
132,SUB,في,فى
133,OK,الارض,الارض
134,OK,لصفاء,لصفاء
135,SUB,ضمائرهم,ضمايرهم
136,SUB,وقوة,وووة
137,OK,نفوسهم,نفوسهم
138,OK,على,على
139,OK,فعل,فعل
140,OK,الطاعات,الطاعات
141,OK,وايتاء,وايتاء
142,OK,الحسنات,الحسنات
143,OK,فهم,فهم
144,OK,ايضا,ايضا
145,OK,يدخلون,يدخلون
146,OK,الجنة,الجنة
147,OK,بغير,بغير
148,OK,حساب,حساب
149,OK,كما,كما
150,OK,قال,قال
151,OK,تلك,تلك
152,OK,الدار,الدار
153,OK,الاخرة,الاخرة
