,operation,one,two
0,OK,بى,بى
1,OK,فى,فى
2,OK,غرفتى,غرفتى
3,INS,,و
4,SUB,ولكنى,لكنى
5,OK,اخرجتهم,اخرجتهم
6,OK,منها,منها
7,SUB,بجهد,بجهدد
8,OK,فانى,فانى
9,DEL,العقد,
10,DEL,الضائع,
11,OK,مستعد,مستعد
12,OK,ان,ان
13,OK,احتمل,احتمل
14,OK,كل,كل
15,OK,شىء,شىء
16,OK,الا,الا
17,OK,ان,ان
18,OK,يحيط,يحيط
19,OK,بى,بى
20,SUB,هؤلاء,هولاء
21,OK,الصائحون,الصائحون
22,OK,الصاخبون,الصاخبون
23,OK,وانا,وانا
24,SUB,البس,ال
25,INS,,هسس
26,OK,على,على
27,OK,انى,انى
28,OK,اسرعت,اسرعت
29,OK,وعجلت,وعجلت
30,OK,لاتقى,لاتقى
31,OK,شر,شر
32,OK,هجومهم,هجومهم
33,OK,على,على
34,OK,كرة,كرة
35,OK,اخرى,اخرى
36,INS,,ى
37,OK,وكانت,وكانت
38,OK,ساقى,ساقى
39,OK,لا,لا
40,OK,تزال,تزال
41,OK,احسها,احسها
42,SUB,ثقيلة,تقيلة
43,OK,مما,مما
44,OK,اصابها,اصابها
45,OK,فى,فى
46,OK,السويس,السويس
47,OK,وهاضها,وهاضها
48,INS,,و
49,SUB,وان,ان
50,OK,كانت,كانت
51,OK,لا,لا
52,SUB,تؤلمنى,تول
53,INS,,من
54,INS,,ىى
55,OK,فلما,فلما
56,OK,صرت,صرت
57,OK,اليهم,اليهم
58,DEL,الا,
59,DEL,تزال,
60,DEL,تؤلمك,
61,OK,فى,فى
62,OK,الردهة,الردهة
63,OK,وقفت,وقفت
64,OK,هنيهة,هنيهة
65,OK,ادعكها,ادعكها
66,OK,بكفى,بكفى
67,SUB,لالينها,لالين
68,INS,,هاا
69,OK,فسالتنى,فسالتنى
70,OK,اختى,اختى
71,INS,,ى
72,INS,,الا
73,INS,,تزال
74,INS,,تولمك
75,INS,,قلت
76,INS,,ت
77,SUB,كلا,كلاا
78,OK,لا,لا
79,OK,الم,الم
80,OK,ولكنى,ولكنى
81,OK,احسها,احسها
82,SUB,ثقيلة,ثقيلةة
83,SUB,قلت,فقال
84,INS,,ابن
85,INS,,عمىى
86,OK,كلك,كلك
87,OK,ثقيل,ثقيل
88,OK,يا,يا
89,SUB,اخى,اخىى
90,SUB,تعال,تع
91,INS,,الل
92,SUB,فقال,فقلت
93,INS,,ت
94,DEL,ابن,
95,DEL,عمى,
96,OK,ولكنى,ولكنى
97,OK,حقيقة,حقيقة
98,OK,اشعر,اشعر
99,OK,انها,انها
100,OK,اثقل,اثقل
101,OK,مما,مما
102,OK,كانت,كانت
103,SUB,امس,ام
104,INS,,سى
105,SUB,فقلت,فقالت
106,INS,,اختى
107,INS,,ى
108,SUB,طبيعى,طبيعىى
109,OK,هذا,هذا
110,OK,من,من
111,OK,الجهد,الجهد
112,OK,الذى,الذى
113,OK,تكلفته,تكلفته
114,OK,اليوم,اليوم
115,OK,فى,فى
116,OK,البحث,البحث
117,INS,,ث
118,DEL,فقالت,
119,DEL,اختى,
120,OK,فاقتنعت,فاقتنعت
121,INS,,و
122,SUB,ونزلنا,نزلنا
123,DEL,الى,
124,SUB,الباب,الىالساب
125,INS,,و
126,SUB,وكان,كان
127,OK,ابن,ابن
128,OK,عمى,عمى
129,SUB,قد,قدحاء
130,DEL,جاء,
131,OK,بالسيارة,بالسيارة
132,OK,قبل,قبل
133,OK,ذلك,ذلك
134,OK,وتركها,وتركها
135,OK,امام,امام
136,OK,الباب,الباب
137,SUB,فجلست,فحلست
138,OK,اختى,اختى
139,INS,,و
140,SUB,ومعها,معها
141,OK,حسن,حسن
142,OK,على,على
143,OK,المقعد,المقعد
144,SUB,الخلفى,الخلفىى
145,OK,واتخذ,واتخذ
146,OK,احمد,احمد
147,OK,مكان,مكان
148,OK,القيادة,القيادة
