,operation,one,two
0,OK,اعانت,اعانت
1,OK,جميل,جميل
2,OK,بك,بك
3,OK,على,على
4,OK,اقناع,اقناع
5,OK,الصحف,الصحف
6,OK,بالصبر,بالصبر
7,OK,والانتظار,والانتظار
8,SUB,وجعلت,حعلت
9,OK,الموضوع,الموضوع
10,OK,شيقا,شيقا
11,OK,وخليقا,وخليقا
12,OK,ان,ان
13,OK,يجد,يجد
14,OK,القراء,القراء
15,OK,فيه,فيه
16,OK,مثل,مثل
17,OK,لذة,لذة
18,OK,الاساطير,الاساطير
19,OK,ولكن,ولكن
20,OK,هذا,هذا
21,OK,لا,لا
22,OK,يمكن,يمكن
23,OK,ان,ان
24,OK,يدوم,يدوم
25,OK,ولا,ولا
26,OK,مفر,مفر
27,OK,اخر,اخر
28,OK,الامر,الامر
29,OK,من,من
30,OK,كشف,كشف
31,OK,الحقيقة,الحقيقة
32,OK,كلها,كلها
33,OK,فما,فما
34,OK,العمل,العمل
35,OK,لهذا,لهذا
36,OK,لجا,لجا
37,OK,الى,الى
38,OK,سعيد,سعيد
39,INS,,و
40,SUB,وجميل,جميل
41,OK,بك,بك
42,OK,ورجا,ورجا
43,OK,منهما,منهما
44,OK,ان,ان
45,SUB,ينقذاه,ينقذ
46,INS,,اه
47,OK,ويحولا,ويحولا
48,OK,دون,دون
49,OK,الفضيحة,الفضيحة
50,OK,التى,التى
51,OK,يجزع,يجزع
52,OK,منها,منها
53,OK,ولا,ولا
54,OK,يعرف,يعرف
55,OK,له,له
56,OK,قدرة,قدرة
57,OK,على,على
58,OK,احتمالها,احتمالها
59,OK,فاتفق,فاتفق
60,OK,الثلاثة,الثلاثة
61,OK,ان,ان
62,OK,يحملوا,يحملوا
63,OK,الرجل,الرجل
64,INS,,ـ
65,OK,ظهر,ظهر
66,OK,يوم,يوم
67,OK,الحفلة,الحفلة
68,INS,,ـ
69,SUB,بعد,بعدان
70,DEL,ان,
71,OK,يلبسوه,يلبسوه
72,OK,بذلة,بذلة
73,OK,الى,الى
74,OK,بيت,بيت
75,SUB,ابنه,اننه
76,OK,ومن,ومن
77,OK,هناك,هناك
78,OK,يذهبون,يذهبون
79,OK,به,به
80,DEL,الى,
81,SUB,الحفلة,الىالحفلة
82,OK,فى,فى
83,OK,المساء,المساء
84,OK,وجاء,وجاء
