,operation,one,two
0,OK,فقلت,فقلت
1,OK,ولكن,ولكن
2,OK,لماذا,لماذا
3,OK,ماذا,ماذا
4,OK,صنعت,صنعت
5,SUB,انى,اني
6,OK,لم,لم
7,OK,اكن,اكن
8,OK,مسرعا,مسرعا
9,OK,بل,بل
10,OK,كنت,كنت
11,OK,اسير,اسير
12,OK,بسرعة,بسرعة
13,OK,خمسة,خمسة
14,DEL,فقلت,
15,OK,امتار,امتار
16,SUB,فى,في
17,OK,اليوم,اليوم
18,OK,والليلة,والليلة
19,INS,,وقال
20,INS,,بلهجة
21,INS,,حلفاـة
22,OK,انزل,انزل
23,OK,ولا,ولا
24,SUB,تحوجنى,تحوجني
25,OK,ان,ان
26,SUB,اجرك,احرك
27,OK,بالقوة,بالقوة
28,DEL,فقال,
29,DEL,بلهجة,
30,DEL,جافية,
31,OK,فقلت,فقلت
32,SUB,لنفسى,لنفسي
33,OK,ان,ان
34,OK,المكابرة,المكابرة
35,OK,والجدال,والجدال
36,OK,عبث,عبث
37,OK,ولا,ولا
38,OK,شك,شك
39,SUB,انى,اني
40,OK,ساجد,ساجد
41,OK,رجلا,رجلا
42,OK,يفهم,يفهم
43,SUB,فى,في
44,OK,مركز,مركز
45,INS,,البوليس
46,INS,,وذهبت
47,INS,,معه
48,INS,,فقال
49,INS,,اقعد
50,INS,,هنا
51,OK,فقعدت,فقعدت
52,OK,حيث,حيث
53,OK,اشار,اشار
54,OK,وهم,وهم
55,SUB,بتركى,بتركي
56,SUB,فتعلقت,وتعلقت
57,SUB,به,ره
58,SUB,اقعد,قلت
59,DEL,هنا,
60,DEL,البوليس,
61,DEL,وذهبت,
62,DEL,معه,
63,DEL,فقال,
64,OK,الا,الا
65,OK,تسمح,تسمح
66,OK,من,من
67,OK,فضلك,فضلك
68,OK,بان,بان
69,SUB,تخبرنى,تخيرني
70,OK,لماذا,لماذا
71,SUB,جئت,جنت
72,SUB,بى,بي
73,OK,الى,الى
74,OK,هنا,هنا
75,DEL,وقلت,
76,SUB,فنهرنى,فنهرني
77,SUB,بعنف,يعنف
78,OK,فهويت,فهويت
79,OK,الى,الى
80,SUB,الكرسى,الكرسي
81,SUB,وروكسى,وراكسي
82,OK,بين,بين
83,SUB,يدى,يدي
84,OK,لم,لم
85,OK,ار,ار
86,OK,احدا,احدا
87,OK,مستعجلا,مستعجلا
88,SUB,سواى,سواي
89,OK,واخيرا,واخيرا
90,OK,جاء,جاء
91,SUB,شرطى,شرطي
92,OK,اخر,اخر
93,OK,وجلس,وجلس
94,OK,الى,الى
95,OK,مكتب,مكتب
96,OK,واخرج,واخرج
97,OK,اوراقا,اوراقا
98,SUB,وبدا,ويدا
99,OK,يستعد,يستعد
100,OK,للكتابة,للكتابة
101,SUB,وسالنى,وسالني
102,DEL,ماذا,
103,DEL,معك,
104,DEL,فيها,
105,OK,عن,عن
106,SUB,اسمى,اسمي
107,SUB,وعنوانى,وعنواتي
108,SUB,ومولدى,ومولدي
109,OK,وعن,وعن
110,OK,السيارة,السيارة
111,OK,ورقمها,ورقمها
112,OK,ثم,ثم
113,SUB,سالنى,سالني
114,OK,بخبث,بخبث
115,INS,,ماذا
116,DEL,ليس,
117,SUB,معى,معك
118,INS,,فيها
119,OK,فابتسمت,فابتسمت
120,OK,وقد,وقد
121,OK,خيل,خيل
122,SUB,الى,الي
123,OK,انه,انه
124,SUB,ظننى,ظنتي
125,OK,من,من
126,SUB,مهربى,مهربي
127,OK,المخدرات,المخدرات
128,SUB,وقلت,قلت
129,SUB,ببساطة,سسلطة
130,INS,,ليس
131,INS,,معي
132,OK,سوى,سوى
133,SUB,روكسى,روكس
134,DEL,يا,
135,DEL,حبيبى,
136,OK,فقال,فقال
137,SUB,متهكما,ايه
138,INS,,قلت
139,SUB,يعنى,يمنى
140,OK,الكلب,الكلب
141,OK,اسمه,اسمه
142,SUB,روكسى,رو
143,INS,,كسي
144,DEL,قلت,
145,DEL,ايه,
146,SUB,فقال,وقال
147,INS,,متهكما
148,INS,,يا
149,INS,,حبيبي
150,OK,يخوى,يخوى
151,SUB,كمان,كملن
152,OK,عامل,عامل
153,OK,لى,لى
154,OK,قمع,قمع
155,SUB,ومعاك,ومعلك
156,OK,كلب,كلب
157,OK,تعملوها,تعملوها
158,OK,وتخيلوا,وتخيلوا
159,SUB,ولله,والله
160,DEL,هل,
161,DEL,معك,
162,DEL,مفتاح,
163,DEL,السيارة,
164,SUB,فلم,ولم
165,OK,ادر,ادر
166,OK,ماذا,ماذا
167,OK,اقول,اقول
168,OK,له,له
