,operation,one,two
0,SUB,جورج,ودج
1,SUB,وللهانك,والله
2,INS,,انك
3,INS,,لته
4,SUB,لتكونين,كونين
5,OK,احيانا,احيانا
6,SUB,ابعثشيء,ابعث
7,INS,,شيء
8,SUB,في,فى
9,OK,هذه,هذه
10,OK,الدنيا,الدنيا
11,SUB,على,لا
12,INS,,له
13,SUB,الجنون,ون
14,OK,يتناول,يتناول
15,OK,بعض,بعض
16,OK,اوراق,اوراق
17,OK,اللعب,اللعب
18,DEL,ثم,
19,SUB,يتركها,ميتركها
20,SUB,تتناثر,تتنائر
21,SUB,على,ملى
22,OK,الارض,الارض
23,OK,بعد,بعد
24,OK,هذا,هذا
25,OK,السلوك,السلوك
26,OK,منك,منك
27,SUB,في,فى
28,OK,هذه,هذه
29,SUB,الليلة,اللية
30,OK,كان,كان
31,OK,واجبك,واجبك
32,OK,ان,ان
33,SUB,تحاولي,تحار
34,SUB,اصلاح,لاصلاح
35,OK,ما,ما
36,OK,فسد,فسد
37,SUB,كلير,كليرمهز
38,DEL,تهز,
39,OK,راسها,راسها
40,OK,من,من
41,OK,ناحية,ناحية
42,OK,الى,الى
43,OK,ناحية,ناحية
44,SUB,كانها,كاما
45,SUB,امامشيء,امام
46,INS,,شيء
47,OK,لا,لا
48,OK,سبيل,سبيل
49,OK,الى,الى
50,SUB,اتفاقه,اتغاقه
51,OK,يضع,يضع
52,SUB,جورج,جورجيده
53,DEL,يده,
54,SUB,على,عل
55,OK,ذراعها,ذراعها
56,OK,كلير,كلير
57,SUB,لا,ل
58,SUB,لا,الا
59,OK,جورج,جورج
60,OK,مرخيا,مرخيا
61,SUB,يده,بد
62,INS,,ها
63,SUB,اليس,ليس
64,SUB,في,فى
65,OK,الامكان,الامكان
66,OK,ان,ان
67,SUB,تصلحي,تصاحى
68,OK,ما,ما
69,OK,فسد,فسد
70,SUB,كلير,لي
71,OK,لست,لست
72,SUB,احس,احسب
73,SUB,بروح,روح
74,SUB,التسامح,التساج
75,SUB,المسيحي,المسيحى
76,OK,تفتح,تفتح
77,OK,الباب,الباب
78,SUB,وتخرج,وخرجون
79,SUB,وتوصده,وصده
80,SUB,خلفها,خ
81,INS,,ل
82,INS,,ه
83,SUB,جورج,هاجورج
84,SUB,يتبعها,البعر
85,INS,,او
86,SUB,ولكنه,اسكنه
87,OK,يقف,يقف
88,OK,ويعود,ويعود
89,OK,الى,الى
90,OK,الغرفة,الغرفة
91,SUB,ويقف,وقف
92,OK,مطلا,مطلا
93,OK,من,من
94,OK,النافذة,النافذة
95,DEL,ثم,
96,SUB,يغلقها,ملة
97,INS,,ءاوي
98,SUB,ويعود,هود
99,OK,ويتامل,ويتامل
100,SUB,الباب,الب
101,INS,,اتء
102,DEL,ثم,
103,SUB,يتحرك,تحر
104,SUB,ويضع,ويغر
105,SUB,يده,عله
106,SUB,على,علم
107,SUB,منضدة,اشلة
108,OK,اللعب,اللعب
109,OK,ممسكا,ممسكا
110,SUB,بحرفها,محرفها
111,SUB,ومتمتما,ومتمام
112,INS,,ب
113,DEL,ثم,
114,SUB,يذهب,ذهب
115,SUB,الى,الىباتا
116,DEL,باب,
117,SUB,الصالة,اصالة
118,SUB,ويطفئ,ويطفى
119,SUB,النور,الزور
120,OK,ويفتح,ويفتح
121,SUB,الباب,البابا
122,SUB,ليخرج,يخرج
123,SUB,ثم,م
124,OK,يقف,يقف
125,OK,مترددا,مترددا
126,SUB,في,فى
127,OK,الظلام,الظلام
128,OK,ويرسل,ويرسل
129,DEL,كلا,
130,OK,زفرة,زفرة
131,SUB,عميقة,يقة
132,DEL,ثم,
133,SUB,يرفع,يرفح
134,OK,صوته,صوته
135,SUB,فجاة,جاة
136,SUB,بكلمة,بكامة
137,INS,,كد
138,OK,ويقطع,ويقطع
139,OK,الغرفة,الغرفة
140,SUB,مصمما,م
141,DEL,الى,
142,SUB,الباب,الىالبات
143,SUB,ذي,ذى
144,OK,الستار,الستار
145,SUB,ويفتحه,وفتحه
146,SUB,وترى,و
147,INS,,تريك
148,SUB,كلير,لير
149,DEL,في,
150,SUB,النور,فالنور
151,OK,واقفة,واقفة
152,SUB,تخلع,خلع
153,OK,عن,عن
154,OK,عنقها,عنقها
155,SUB,عقدا,عقد
156,INS,,ا
157,OK,يذهب,يذهب
158,OK,اليها,اليها
159,OK,ويوصد,ويوصد
160,SUB,الباب,الباس
161,OK,وراءه,وراءه
162,SUB,بعنف,بعذف
163,INS,,وسدل
164,INS,,الستار
165,INS,,ن
166,INS,,٢٦
