,operation,one,two
0,SUB,لوحظ,لاحظ
1,OK,عليه,عليه
2,OK,في,في
3,OK,احاديثه,احاديثه
4,OK,وسيرته,وسيرته
5,OK,مع,مع
6,OK,الناس,الناس
7,INS,,س
8,OK,ولكن,ولكن
9,OK,الناس,الناس
10,OK,كانوا,كانوا
11,SUB,يلتمسون,يلتمسو
12,INS,,الى
13,OK,له,له
14,OK,المعاذير,المعاذير
15,OK,لما,لما
16,OK,يرون,يرون
17,OK,من,من
18,OK,ادبار,ادبار
19,OK,الامر,الامر
20,OK,عنه,عنه
21,SUB,والحاح,والحا
22,INS,,ح
23,OK,الكساد,الكساد
24,OK,عليه,عليه
25,INS,,ه
26,OK,ولم,ولم
27,OK,تبخل,تبخل
28,OK,الظروف,الظروف
29,OK,عليه,عليه
30,OK,بصديق,بصديق
31,OK,السوء,السوء
32,OK,الذي,الذي
33,OK,يحرضه,يحرضه
34,SUB,على,عل
35,OK,ابنه,ابنه
36,OK,خالد,خالد
37,OK,ويغريه,ويغريه
38,OK,به,به
39,SUB,ويساله,ويسالوه
40,OK,كيف,كيف
41,OK,تشكو,تشكو
42,OK,الضيق,الضيق
43,OK,وتتعرض,وتتعرض
44,OK,للحرج,للحرج
45,OK,وخالد,وخالد
46,OK,موظف,موظف
47,SUB,يتقاضى,سماضي
48,OK,اربعة,اربعة
49,OK,جنيهات,جنيهات
50,SUB,في,فى
51,OK,كل,كل
52,OK,شهر,شهر
53,OK,غير,غير
54,OK,ما,ما
55,OK,يمكن,يمكن
56,OK,ان,ان
57,OK,يصل,يصل
58,OK,الى,الى
59,OK,يده,يده
60,OK,من,من
61,OK,ذوي,ذوي
62,SUB,الحاجات,الاجات
63,OK,فلا,فلا
64,OK,تصدق,تصدق
65,OK,ان,ان
66,INS,,ن
67,SUB,موظفا,وظفا
68,SUB,يكتفي,يكتى
69,SUB,براتبه,براتاه
70,SUB,الذي,اليمي
71,SUB,يقبضه,يقبض
72,INS,,ى
73,DEL,في,
74,OK,كل,كل
75,SUB,شهر,سمر
76,INS,,واهص
77,SUB,ويقضيللناس,املس
78,SUB,حاجاتهم,حلحاههم
79,OK,دون,دون
80,OK,ان,ان
81,OK,ياخذ,ياخذ
82,SUB,على,عل
83,SUB,ذلك,ذلاث
84,SUB,اجرا,اجا
85,INS,,ا
86,OK,ان,ان
87,OK,خالدا,خالدا
88,OK,لقادر,لقادر
89,OK,ان,ان
90,OK,شاء,شاء
91,SUB,على,عل
92,OK,ان,ان
93,OK,يتحمل,يتحمل
94,OK,عنك,عنك
95,OK,بعض,بعض
96,OK,اعبائك,اعبائك
97,INS,,ك
98,OK,ويسد,ويسد
99,OK,بعض,بعض
100,SUB,خلتك,حلتك
101,SUB,وينهض,ويهص
102,SUB,على,عل
103,OK,اقل,اقل
104,OK,تقدير,تقدير
105,SUB,بحاجات,حاجات
106,OK,امراته,امراته
107,OK,وابنتيه,وابنتيه
108,INS,,ه
109,SUB,والواقع,ولاولقح
110,OK,ان,ان
111,OK,خالدا,خالدا
112,OK,كان,كان
113,OK,يبذل,يبذل
114,SUB,اكثر,اكت
115,OK,ما,ما
116,OK,يستطيع,يستطيع
117,OK,ان,ان
118,OK,يبذله,يبذله
119,SUB,فقد,وقد
120,OK,كان,كان
121,OK,يؤدي,يؤدي
122,SUB,الى,الي
123,OK,ابيه,ابيه
124,OK,اخر,اخر
125,SUB,الشهر,الشمر
126,SUB,اكثر,اكر
127,SUB,راتبه,راتبة
128,OK,لا,لا
129,INS,,دمحةده
130,DEL,يستبقي,
131,OK,لنفسه,لنفسه
132,OK,الا,الا
133,SUB,ربعه,رره
134,SUB,وكان,وكال
135,OK,يرى,يرى
136,OK,ان,ان
137,OK,في,في
138,SUB,ذلك,ذلاث
139,OK,اداء,اداء
140,OK,لحق,لحق
141,OK,ابيه,ابيه
142,OK,عليه,عليه
143,SUB,ونهوضا,وماضا
144,SUB,بحاجة,محاجة
145,OK,اهله,اهله
146,SUB,الادنين,الا
147,INS,,دين
148,INS,,ن
149,OK,ولكن,ولكن
150,SUB,اباه,اراه
151,OK,قال,قال
152,OK,له,له
153,OK,ذات,ذات
154,OK,يوم,يوم
155,INS,,م
156,SUB,انفق,امي
157,INS,,ا
158,INS,,ا
159,SUB,على,عل
160,SUB,اهلك,اهك
161,OK,يا,يا
162,INS,,ك
163,DEL,بني,
164,SUB,فاني,ؤاني
165,OK,لا,لا
166,OK,اجد,اجد
167,OK,ما,ما
168,OK,انفق,انفق
169,SUB,على,عل
170,SUB,اهلي,اهل
171,INS,,ل
172,SUB,وحسبك,وحسس
173,INS,,ما
174,SUB,انكم,اج
175,SUB,تقيمون,تقيمان
176,OK,في,في
177,OK,داري,داري
178,OK,لا,لا
179,OK,تؤدون,تؤدون
180,SUB,على,عل
181,OK,ذلك,ذلك
182,OK,اجرا,اجرا
183,INS,,ا
184,OK,وقد,وقد
185,OK,صعق,صعق
186,OK,خالد,خالد
187,SUB,لهذا,شذا
188,OK,القول,القول
189,OK,الذي,الذي
190,OK,لم,لم
191,OK,يكن,يكن
192,OK,ينتظر,ينتظر
193,OK,ان,ان
194,OK,يسمعه,يسمعه
195,OK,من,من
196,INS,,ن
197,SUB,ابيه,ادمه
198,SUB,لما,لا
199,OK,كان,كان
200,SUB,يعرف,رف
201,SUB,من,هن
202,OK,حبه,حبه
203,OK,له,له
204,SUB,وبره,ويرويه
205,DEL,به,
206,OK,ولم,ولم
207,OK,يكن,يكن
208,OK,ينتظر,ينتظر
209,OK,ان,ان
210,OK,يسمعه,يسمعه
211,OK,لما,لما
212,OK,كان,كان
213,SUB,يعلم,رعا
214,DEL,من,
215,SUB,ادائه,اداثر
216,SUB,للحق,احق
217,INS,,و
218,SUB,ونهوضه,ووضه
219,OK,بالواجب,بالواجب
220,INS,,ب
221,OK,فلما,فلما
222,DEL,سمع,
223,SUB,مقالة,مالة
224,SUB,ابيه,اره
225,DEL,لم,
226,OK,يحر,يحر
227,OK,جوابا,جوابا
228,SUB,فاعاد,ولعاد
229,SUB,ابوه,اراه
230,OK,عليه,عليه
231,INS,,ه
232,SUB,مقالته,تقالته
233,INS,,ه
234,SUB,مرة,ره
235,SUB,ومرة,ومروه
236,OK,قال,قال
237,SUB,الفتى,ايهم
238,INS,,ى
239,INS,,ى
240,OK,ومن,ومن
241,DEL,الفصل,
242,DEL,السابع,
243,DEL,عشر,
244,OK,اين,اين
245,SUB,انفق,اتفق
246,SUB,على,عل
247,SUB,اهلي,اهل
248,OK,وانا,وانا
249,OK,اؤدي,اؤدي
250,OK,اليك,اليك
251,SUB,اكثر,اكتر
252,OK,راتبي,راتبي
253,INS,,ى
254,SUB,قال,قلل
255,OK,الشيخ,الشيخ
256,INS,,خ
257,OK,لا,لا
258,OK,ادري,ادري
259,INS,,ى
260,OK,ولكن,ولكن
261,SUB,انفق,اتفق
