,operation,one,two
0,INS,,٧
1,OK,افهامهم,افهامهم
2,SUB,على,علما
3,DEL,ما,
4,OK,يكون,يكون
5,OK,من,من
6,OK,اختلاف,اختلاف
7,OK,حظوظهم,حظوظهم
8,OK,في,في
9,OK,الثقافة,الثقافة
10,SUB,والعلم,والعاى
11,OK,واذا,واذا
12,OK,القلوب,القلوب
13,SUB,تخفق,حفى
14,INS,,و
15,SUB,واذا,اذا
16,OK,النفوس,النفوس
17,OK,تذعن,تذعن
18,OK,واذا,واذا
19,OK,دموع,دموع
20,SUB,تنهل,تهل
21,OK,واذا,واذا
22,SUB,عبرات,عبر
23,INS,,ات
24,OK,تحتبس,تحتبس
25,DEL,في,
26,SUB,الحلوق,فالاوق
27,INS,,و
28,SUB,والشيخ,الشين
29,INS,,بم
30,SUB,ماض,اى
31,DEL,في,
32,SUB,حديثه,حد
33,INS,,رثه
34,SUB,وتفسيره,وبمسيره
35,SUB,حتى,حى
36,OK,اذا,اذا
37,OK,بلغ,بلغ
38,OK,من,من
39,OK,ذلك,ذلك
40,OK,ما,ما
41,SUB,يريد,يريدا
42,DEL,القى,
43,SUB,على,لىع
44,SUB,جلسائه,لجلسائه
45,OK,نظرة,نظرة
46,OK,تحيط,تحيط
47,DEL,بهم,
48,SUB,جميعا,بجيع
49,SUB,وتلا,اوتلا
50,OK,قول,قول
51,SUB,لله,الله
52,OK,عز,عز
53,OK,وجل,وجل
54,OK,انما,انما
55,INS,,ا
56,INS,,مؤ
57,SUB,المؤمنون,منون
58,OK,الذين,الذين
59,OK,اذا,اذا
60,OK,ذكر,ذكر
61,SUB,لله,الله
62,SUB,وجلت,وجات
63,INS,,ر
64,SUB,قلوبهم,الوموا
65,SUB,واذا,ذاتل
66,DEL,تليت,
67,SUB,عليهم,علم
68,SUB,اياته,ايا
69,SUB,زادتهم,تهز
70,SUB,ايمانا,اداما
71,INS,,او
72,SUB,وعلىٰ,علر
73,DEL,ربهم,
74,OK,يتوكلون,يتوكلون
75,SUB,ثم,مم
76,OK,يطرق,يطرق
77,SUB,لحظة,لخظة
78,DEL,ثم,
79,SUB,يرفع,ميرفع
80,OK,راسه,راسه
81,OK,ويتلو,ويتلو
82,SUB,الاية,الا
83,INS,,رة
84,SUB,الكريمة,اادرعة
85,INS,,رسم
86,SUB,ان,انا
87,SUB,لله,ته
88,SUB,وملائكته,وما
89,INS,,دنكته
90,OK,يصلون,يصلون
91,SUB,على,علال
92,SUB,النبي,نى
93,DEL,يۚا,
94,SUB,ايها,يايها
95,OK,الذين,الذين
96,OK,امنوا,امنوا
97,SUB,صلوا,صاوا
98,SUB,عليه,عايه
99,DEL,اللهم,
100,DEL,صل,
101,DEL,على,
102,DEL,سيدنا,
103,OK,وسلموا,وسلموا
104,OK,تسليما,تسليما
105,INS,,مي
106,DEL,ثم,
107,SUB,يرفع,روع
108,OK,صوته,صوته
109,OK,بهذه,بهذه
110,OK,الكلمات,الكلمات
111,SUB,وجلساؤه,وجلس
112,INS,,اوه
113,OK,معه,معه
114,INS,,اللهم
115,INS,,صل
116,INS,,عل
117,DEL,واذ,
118,DEL,ذاك,
119,SUB,يكون,سيدنا
120,SUB,محمد,مجمد
121,SUB,وعلى,وعل
122,OK,اله,اله
123,SUB,وصحبه,وحبه
124,OK,كلما,كلما
125,OK,ذكرك,ذكرك
126,OK,الذاكرون,الذاكرون
127,OK,وغفل,وغفل
128,OK,عن,عن
129,OK,ذكرك,ذكرك
130,OK,الغافلون,الغافلون
131,INS,,واذذاك
132,INS,,يكون
133,OK,المؤذن,المؤذن
134,OK,قد,قد
135,OK,دعا,دعا
136,OK,الى,الى
137,OK,صلاة,صلاة
138,OK,المغرب,المغرب
139,OK,فينهض,فينهض
140,OK,الشيخ,الشيخ
141,OK,وهو,وهو
142,OK,يقول,يقول
143,OK,المغرب,المغرب
