,operation,one,two
0,INS,,١٦٣
1,INS,,اسرار
2,INS,,الابات
3,OK,بلا,بلا
4,OK,واسطة,واسطة
5,OK,على,على
6,OK,الوجه,الوجه
7,OK,المذكور,المذكور
8,OK,مختص,مختص
9,OK,بالانسان,بالانسان
10,OK,الكامل,الكامل
11,OK,دون,دون
12,OK,غيره,غيره
13,OK,كما,كما
14,OK,علمت,علمت
15,OK,فكان,فكان
16,OK,العرض,العرض
17,OK,عاما,عاما
18,OK,على,على
19,OK,الممكنات,الممكنات
20,OK,مارا,مارا
21,OK,على,على
22,OK,المخلوقات,المخلوقات
23,OK,كلها,كلها
24,OK,فلم,فلم
25,OK,يقبلها,يقبلها
26,OK,احد,احد
27,OK,للعلة,للعلة
28,OK,المذكورة,المذكورة
29,OK,الا,الا
30,OK,الانسان,الانسان
31,OK,الكامل,الكامل
32,OK,لفقره,لفقره
33,OK,وعجزه,وعجزه
34,OK,وضعف,وضعف
35,OK,قوته,قوته
36,SUB,وبراءة,وبرائة
37,OK,ذمته,ذمته
38,OK,عن,عن
39,OK,جميع,جميع
40,OK,الشواغل,الشواغل
41,OK,الوجودية,الوجودية
42,OK,وقطع,وقطع
43,SUB,التفاته,التف
44,INS,,انه
45,OK,عن,عن
46,OK,ما,ما
47,OK,سوى,سوى
48,OK,الحبيب,الحبيب
49,OK,المطلق,المطلق
50,OK,كما,كما
51,OK,حكى,حكى
52,OK,الله,الله
53,OK,عن,عن
54,OK,خليله,خليله
55,OK,بقوله,بقوله
56,OK,فانهم,فانهم
57,OK,عدو,عدو
58,SUB,لي,لى
59,OK,الا,الا
60,OK,رب,رب
61,OK,العالمين,العالمين
62,INS,,و
63,SUB,وبقوله,بقولهانى
64,DEL,اني,
65,OK,ذاهب,ذاهب
66,OK,الى,الى
67,SUB,ربي,ربى
68,OK,سيهدين,سيهدين
69,OK,تنوير,تنوير
70,SUB,تمثيلي,تمثبلى
71,OK,ان,ان
72,OK,نسبة,نسبة
73,OK,الانسان,الانسان
74,OK,الى,الى
75,SUB,سائر,ساير
76,OK,المخلوقات,المخلوقات
77,OK,كنسبة,كنسبة
78,OK,القلب,القلب
79,OK,الى,الى
80,SUB,سائر,سائسر
81,OK,الاعضاء,الاعضاء
82,OK,وقد,وقد
83,OK,تحقق,تحقق
84,SUB,في,فى
85,OK,علم,علم
86,OK,الطبيعة,الطبيعة
87,OK,ان,ان
88,DEL,قوة,
89,SUB,الحياة,قوةالحيوة
90,OK,تفيض,تفيض
91,OK,من,من
92,OK,الروح,الروح
93,OK,الى,الى
94,OK,القلب,القلب
95,INS,,و
96,SUB,وبواسطته,بواسطته
97,OK,الى,الى
98,SUB,سائر,ساير
99,OK,البدن,البدن
100,OK,فيصير,فيصير
101,OK,ذا,ذا
102,SUB,حياة,حيوة
103,INS,,و
104,SUB,وحس,حس
105,OK,وحركة,وحركة
106,OK,فكما,فكما
107,OK,ان,ان
108,OK,فيض,فيض
109,OK,الروح,الروح
110,OK,عام,عام
111,OK,على,على
112,OK,اعضاء,اعضاء
113,OK,البدن,البدن
114,OK,كلها,كلها
115,OK,على,على
116,OK,وجه,وجه
117,SUB,العارية,العاربة
118,OK,المردودة,المردودة
119,OK,الى,الى
120,OK,اهلها,اهلها
121,OK,وهو,وهو
122,OK,الروح,الروح
123,OK,عند,عند
124,OK,الموت,الموت
125,OK,الا,الا
126,OK,ان,ان
127,OK,قبوله,قبوله
128,INS,,و
129,SUB,وحمله,حمله
130,OK,مختص,مختص
131,OK,بالقلب,بالقلب
132,OK,ثم,ثم
133,DEL,من,
134,OK,القلب,القلب
135,SUB,يسري,يسرى
136,SUB,اثر,اثرا
137,SUB,الحياة,لحيوة
138,OK,بواسطة,بواسطة
139,SUB,الشرايين,الشرائين
140,INS,,و
141,SUB,وعروق,عروق
142,DEL,ما,
143,SUB,ساريقا,ماساريقا
144,OK,الى,الى
145,SUB,سائر,ساير
146,OK,الاعضاء,الاعضاء
147,OK,لكل,لكل
148,OK,منها,منها
149,OK,ما,ما
150,OK,يناسبه,يناسبه
151,OK,فيكون,فيكون
152,SUB,به,بهذا
153,DEL,ذا,
154,OK,قوة,قوة
155,SUB,حياة,حيوة
156,SUB,وحس,وحسو
157,SUB,وحركة,حر
158,OK,فكذلك,فكذلك
159,SUB,عرض,عض
160,OK,الفيض,الفيض
161,SUB,الالهي,الالهى
162,OK,عام,عام
163,OK,على,على
164,OK,جميع,جميع
165,OK,المخلوقات,المخلوقات
166,OK,على,على
167,OK,وجه,وجه
168,OK,يقوم,يقوم
169,OK,عليها,عليها
170,OK,مدة,مدة
171,OK,ثم,ثم
172,OK,يرجع,يرجع
173,OK,الى,الى
174,OK,مبدعه,مبدعه
175,OK,ومفيضه,ومفيضه
176,OK,عند,عند
177,OK,القيامة,القيامة
178,OK,الكبرى,الكبرى
179,OK,الا,الا
180,OK,ان,ان
181,OK,قبوله,قبوله
182,OK,بلا,بلا
183,OK,واسطة,واسطة
184,OK,وحمل,وحمل
185,OK,اصله,اصله
186,OK,مختص,مختص
187,OK,بالانسان,بالانسان
188,OK,الكامل,الكامل
189,OK,ومنه,ومنه
190,OK,يصل,يصل
191,OK,اثر,اثر
192,OK,الفيض,الفيض
193,OK,الى,الى
