,operation,one,two
0,OK,ينال,ينال
1,OK,منها,منها
2,SUB,ما,مالا
3,DEL,لا,
4,OK,تنال,تنال
5,SUB,ولا,ولاستض
6,DEL,تستضعف,
7,SUB,عزيمتك,عزيمت
8,INS,,ات
9,OK,هذا,هذا
10,OK,الاستضعاف,الاستضعاف
11,OK,المهين,المهين
12,OK,وانت,وانت
13,OK,رجل,رجل
14,OK,ذو,ذو
15,SUB,عزيمة,عزمه
16,OK,ومضاء,ومضاء
17,OK,فاذا,فاذا
18,DEL,موعد,
19,SUB,عاودتك,عاودت
20,SUB,الشكوك,كاشكاك
21,OK,فانت,فانت
22,OK,قادر,قادر
23,OK,على,على
24,OK,قطع,قطع
25,OK,العلاقة,العلاقة
26,OK,بينك,بينك
27,SUB,وبينها,وبينه
28,INS,,اك
29,DEL,كما,
30,SUB,قطعتها,اقطعتها
31,OK,من,من
32,OK,قبل,قبل
33,OK,والا,والا
34,OK,فانت,فانت
35,SUB,رابح,راحما
36,DEL,ما,
37,SUB,استرجعت,اسهرجعت
38,OK,من,من
39,INS,,و
40,SUB,متعة,دعة
41,OK,وسرور,وسرور
42,SUB,عزيمتي,عزيي
43,SUB,واين,دائنهم
44,DEL,هي,
45,SUB,عزيمتي,زيىا
46,DEL,ان,
47,SUB,كانت,ركنت
48,OK,لا,لا
49,SUB,تنجدني,تتجدي
50,SUB,في,فيم
51,SUB,هذا,ذا
52,OK,النزاع,النزاع
53,OK,العنيف,العنيف
54,SUB,انها,اما
55,OK,تنجدك,تنجدك
56,OK,في,في
57,OK,كل,كل
58,OK,حين,حين
59,SUB,ولكنك,ولكن
60,SUB,انت,كانت
61,OK,لا,لا
62,OK,تريدها,تريدها
63,OK,الان,الان
64,OK,لا,لا
65,OK,تريد,تريد
66,SUB,عزيمة,عزمة
67,OK,الجفاء,الجفاء
68,SUB,والقطيعة,والقمامعة
69,SUB,ومتى,ومى
70,OK,اردتها,اردتها
71,OK,غدا,غدا
72,OK,فهي,فهي
73,OK,حاضرة,حاضرة
74,OK,لديك,لديك
75,SUB,وهي,وى
76,DEL,في,
77,SUB,كل,فكل
78,OK,ساعة,ساعة
79,OK,طوع,طوع
80,OK,يديك,يديك
81,OK,ومع,ومع
82,OK,هذا,هذا
83,DEL,الا,
84,SUB,يشوقك,الايشاقك
85,OK,ان,ان
86,OK,تستمع,تستمع
87,OK,الى,الى
88,SUB,حديثها,حديث
89,SUB,عن,باعنان
90,SUB,ايام,ام
91,OK,القطيعة,القطيعة
92,SUB,بينكما,بينا
93,SUB,الا,الاوزان
94,DEL,يجوز,
95,DEL,ان,
96,OK,تفسر,تفسر
97,OK,لك,لك
98,INS,,بعض
99,SUB,بعضالغوامض,الموامض
100,SUB,وتريك,ورئك
101,OK,من,من
102,SUB,البواطن,البون
103,SUB,ما,مائتة
104,INS,,ض
105,SUB,ينقضالظواهر,الظواهر
106,SUB,وتصف,وبصفاا
107,INS,,ثم
108,DEL,لك,
109,DEL,من,
110,OK,حالها,حالها
111,OK,في,في
112,SUB,غيابها,غياها
113,SUB,عنك,عن
114,SUB,ما,كمائك
115,DEL,يهمك,
116,OK,ولو,ولو
117,OK,من,من
118,OK,باب,باب
119,OK,الدراسة,الدراسة
120,OK,والاستقصاء,والاستقصاء
121,OK,وتعاقبت,وتعاقبت
122,OK,الساعات,الساعات
123,SUB,ساعة,ساءة
124,OK,بعد,بعد
125,OK,ساعة,ساعة
126,SUB,في,فى
127,OK,هذا,هذا
128,SUB,الحوار,احوارا
129,SUB,الحثيث,حميت
130,OK,ولا,ولا
131,OK,قرار,قرار
132,OK,وتناول,وتناول
133,SUB,صاحبنا,صاحنا
134,OK,غداءه,غداءه
135,OK,ولا,ولا
136,OK,قرار,قرار
137,OK,وجاءت,وجاءت
138,OK,الساعة,الساعة
139,OK,الرابعة,الرابعة
140,OK,ولا,ولا
141,OK,قرار,قرار
142,DEL,نعم,
143,SUB,لا,لعرلا
144,SUB,قرار,مرارفها
145,DEL,فيما,
146,SUB,يشعر,يشهر
147,OK,به,به
148,SUB,صاحبنا,صاح
149,INS,,من
150,INS,,ا
151,OK,او,او
152,SUB,صاحبانا,صحاباتا
153,SUB,المتحاوران,التحاوران
154,OK,على,على
155,OK,اصح,اصح
156,OK,التعبيرين,التعبيرين
157,OK,غير,غير
158,OK,ان,ان
159,OK,الذي,الذي
160,OK,حدث,حدث
161,DEL,بعد,
162,SUB,ذلك,لحدذلك
163,OK,يدل,يدل
164,OK,دلالة,دلالة
165,OK,لا,لا
166,OK,شك,شك
167,SUB,فيها,فيئا
168,DEL,على,
169,DEL,ان,
170,SUB,الانسان,علارالانسان
171,OK,يقرر,يقرر
172,SUB,ما,م
173,SUB,ينويه,ائتوه
174,OK,وهو,وهو
175,OK,لا,لا
176,OK,يشعر,يشعر
177,OK,ولا,ولا
178,OK,يعترف,يعترف
179,OK,بشعوره,بشعوره
180,OK,بل,بل
181,OK,يدل,يدل
182,SUB,على,علان
183,DEL,ان,
184,OK,صاحبينا,صاحبينا
185,SUB,المتحاورين,المتحاورن
186,OK,لم,لم
187,OK,ينفردا,ينفردا
188,OK,بالميدان,بالميدان
189,SUB,فيما,في
190,INS,,ا
