,operation,one,two
0,INS,,اسر
1,INS,,ار
2,INS,,الايات
3,OK,الارادة,الارادة
4,OK,ومفهومات,ومفهومات
5,OK,هذه,هذه
6,OK,الثلاثة,الثلاثة
7,OK,غير,غير
8,OK,مفهوم,مفهوم
9,SUB,الحياة,الحيوة
10,OK,فكيف,فكيف
11,SUB,يكون,بكون
12,OK,الجميع,الجميع
13,SUB,في,فى
14,OK,حق,حق
15,OK,الواجب,الواجب
16,OK,تعالى,تعالى
17,OK,حقيقة,حقيقة
18,OK,واحدة,واحدة
19,OK,بسيطة,بسيطة
20,DEL,لا,
21,SUB,تغاير,لانغاير
22,OK,فيها,فيها
23,OK,قلنا,قلنا
24,OK,الاختلاف,الاختلاف
25,SUB,في,فى
26,OK,المفهوم,المفهوم
27,DEL,لا,
28,SUB,ينافي,لاينافى
29,OK,البساطة,البساطة
30,OK,الحقة,الحقة
31,OK,لان,لان
32,OK,قولنا,قولنا
33,OK,صفات,صفات
34,OK,الواجب,الواجب
35,OK,عين,عين
36,SUB,ذاته,دانه
37,OK,معناه,معناه
38,OK,ان,ان
39,OK,وجوده,وجوده
40,OK,بعينه,بعينه
41,OK,وجود,وجود
42,DEL,هذه,
43,SUB,المعاني,هذهالمعانى
44,OK,وحيثية,وحيثية
45,SUB,ذاته,ذانه
46,SUB,بعينها,بعينهها
47,OK,حيثية,حيثية
48,SUB,سائر,ساير
49,OK,الصفات,الصفات
50,SUB,وهي,وهى
51,OK,ليست,ليست
52,SUB,بامور,بامورزايدة
53,DEL,زائدة,
54,DEL,من,
55,DEL,حيث,
56,DEL,وجودها,
57,SUB,وحقيقتها,منحيثوجودهاوحقيقتها
58,OK,على,على
59,OK,وجود,وجود
60,OK,الواجب,الواجب
61,OK,وحقيقته,وحقيقته
62,OK,وليس,وليس
63,OK,معناه,معناه
64,OK,ان,ان
65,OK,هذه,هذه
66,OK,الالفاظ,الالفاظ
67,SUB,مترادفة,مترادفةلهامفهوم
68,DEL,لها,
69,DEL,مفهوم,
70,OK,واحد,واحد
71,OK,والا,والا
72,OK,لم,لم
73,OK,يكن,يكن
74,OK,حملها,حملها
75,OK,مفيدا,مفيدا
76,INS,,و
77,SUB,وقول,قول
78,DEL,امير,
79,SUB,المؤمنين,اميرالمومنين
80,OK,عليهالسلام,عليهالسلام
81,OK,كمال,كمال
82,OK,التوحيد,التوحيد
83,SUB,نفي,نفى
84,OK,الصفات,الصفات
85,OK,عنه,عنه
86,OK,ليس,ليس
87,SUB,المراد,المر
88,SUB,نفي,ادنفى
89,OK,معانيها,معانيها
90,DEL,عن,
91,SUB,ذاته,عنذانه
92,OK,والا,والا
93,OK,يلزم,يلزم
94,OK,التعطيل,التعطيل
95,OK,وهو,وهو
96,OK,كفر,كفر
97,OK,فضيح,فضيح
98,OK,بل,بل
99,OK,معناه,معناه
100,SUB,نفي,نفى
101,OK,كونها,كونها
102,OK,صفات,صفات
103,SUB,زائدة,زايدة
104,OK,على,على
105,OK,ذاته,ذاته
106,DEL,بحسب,
107,SUB,الوجود,بحسبالوجود
108,OK,والحقيقة,والحقيقة
109,OK,فعلى,فعلى
110,OK,هذا,هذا
111,SUB,صح,صيح
112,OK,قول,قول
113,OK,من,من
114,OK,قال,قال
115,OK,ان,ان
116,SUB,صفاته,صفانه
117,OK,عين,عين
118,SUB,ذاته,دانه
119,OK,وصح,وصح
120,OK,قول,قول
121,OK,من,من
122,OK,قال,قال
123,OK,انها,انها
124,OK,غيره,غيره
125,OK,وصح,وصح
126,OK,قول,قول
127,OK,من,من
128,OK,قال,قال
129,OK,انها,انها
130,DEL,لا,
131,SUB,عينه,لاعينه
132,DEL,ولا,
133,SUB,غيره,ولاغيره
134,OK,لو,لو
135,OK,علم,علم
136,DEL,ما,
137,SUB,حققناه,ماحققناه
138,OK,فكن,فكن
139,OK,على,على
140,OK,بصيرة,بصيرة
141,SUB,في,فى
142,OK,هذا,هذا
143,OK,الامر,الامر
144,OK,ولا,ولا
145,SUB,تكن,نكن
146,OK,من,من
147,OK,الغافلين,الغافلين
148,OK,قاعدة,قاعدة
149,SUB,في,فى
150,OK,تحقيق,تحقيق
151,OK,اسمائه,اسمائه
152,OK,تعالى,تعالى
153,OK,قال,قال
154,OK,الله,الله
155,OK,سبحانه,سبحانه
156,OK,ولله,ولله
157,SUB,الاسماء,الاسماءالحسنى
158,DEL,الحسنى,
159,OK,فادعوه,فادعوه
160,OK,بها,بها
161,DEL,وذروا,
162,SUB,الذين,وذرالذين
163,SUB,يلحدون,بلحدون
164,SUB,في,فى
165,OK,اسمائه,اسمائه
166,INS,,و
167,SUB,واعلم,اعلم
168,OK,ان,ان
169,OK,العلم,العلم
170,OK,بالاسماء,بالاسماء
171,OK,الالهية,الالهية
172,OK,علم,علم
173,OK,شريف,شريف
174,OK,دقيق,دقيق
175,INS,,و
176,SUB,ومعرفة,معرفة
177,OK,لطيفة,لطيفة
178,OK,غامضة,غامضة
179,OK,وبه,وبه
180,OK,فاق,فاق
181,SUB,ابونا,ابوناادم
182,DEL,ادم,
183,OK,عليهالسلام,عليهالسلام
184,OK,على,على
185,SUB,الملائكة,الملائكتحيث
186,DEL,حيث,
187,OK,قال,قال
188,OK,وعلم,وعلم
189,OK,ادم,ادم
190,OK,الاسماء,الاسماء
191,OK,كلها,كلها
192,OK,ثم,ثم
193,OK,عرضهم,عرضهم
194,OK,على,على
195,OK,الملائكة,الملائكة
196,OK,فقال,فقال
197,INS,,ا
198,SUB,انبئوني,نبئونى
199,OK,باسماء,باسماء
200,OK,هؤلاء,هؤلاء
201,OK,ان,ان
202,OK,كنتم,كنتم
203,OK,صادقين,صادقين
204,OK,فلما,فلما
205,OK,انباهم,انباهم
206,OK,باسمائهم,باسمائهم
207,OK,قال,قال
208,OK,الم,الم
209,OK,اقل,اقل
210,OK,لكم,لكم
211,SUB,اني,انى
212,OK,اعلم,اعلم
213,OK,غيب,غيب
214,SUB,السماوات,السموات
215,INS,,و
216,SUB,والارض,الارض
217,INS,,و
218,SUB,واعلم,اعلم
219,DEL,ما,
220,SUB,تبدون,ماتبدون
221,OK,وما,وما
222,OK,كنتم,كنتم
223,SUB,تكتمون,نكتمون
224,SUB,ويستفاد,وبستفادمن
225,DEL,من,
226,DEL,هذه,
227,SUB,الايات,هذهالايات
228,OK,احكام,احكام
229,SUB,علمية,علميةشر
230,SUB,شريفة,يفة
231,OK,منها,منها
232,OK,ان,ان
233,OK,المراد,المراد
234,OK,من,من
235,OK,الاسم,الاسم
236,OK,ليس,ليس
237,DEL,كما,
238,SUB,فهمه,كمافهمه
239,OK,المتكلمون,المتكلمون
240,OK,من,من
241,OK,انه,انه
242,OK,لفظ,لفظ
243,OK,موضوع,موضوع
244,SUB,في,فى
245,OK,اللغة,اللغة
246,OK,بازاء,بازاء
247,OK,معنى,معنى
248,OK,من,من
249,SUB,المعاني,المعانى
250,OK,يدل,يدل
251,OK,على,على
252,OK,ذلك,ذلك
253,OK,امور,امور
