,operation,one,two
0,INS,,اسرار
1,INS,,الايات
2,INS,,٧
3,DEL,من,
4,SUB,بداية,هندابة
5,OK,واحدة,واحدة
6,SUB,لمبدا,لمبدء
7,OK,واحد,واحد
8,OK,يتشعب,يتشعب
9,SUB,منه,منهك
10,DEL,كل,
11,SUB,بداية,لبداية
12,SUB,ومبدا,ومبدء
13,OK,اثر,اثر
14,OK,ومن,ومن
15,OK,تنور,تنور
16,OK,باطنه,باطنه
17,OK,بنور,بنور
18,OK,اليقين,اليقين
19,OK,وشاهد,وشاهد
20,OK,حشر,حشر
21,OK,جميع,جميع
22,OK,القوى,القوى
23,OK,الانسانية,الانسانية
24,OK,مع,مع
25,OK,تباينها,تباينها
26,OK,واختلاف,واختلاف
27,OK,ماهياتها,ماهياتها
28,OK,وهوياتها,وهوياتها
29,OK,الى,الى
30,OK,ذات,ذات
31,OK,واحدة,واحدة
32,OK,بسيطة,بسيطة
33,SUB,روحانية,حاود
34,INS,,ء
35,INS,,و
36,SUB,ورجوعها,رجوعها
37,OK,اليها,اليها
38,OK,واستهلاكها,واستهلاكها
39,OK,فيها,فيها
40,OK,كما,كما
41,SUB,انها,انه
42,SUB,نشات,انشات
43,INS,,وان
44,DEL,١,
45,SUB,وانبسطت,بسطت
46,OK,منها,منها
47,OK,وتكثرت,وتكثرت
48,OK,بوحدتها,بوحدتها
49,SUB,فالروح,فالراح
50,OK,منه,منه
51,OK,انبساط,انبساط
52,OK,اشعة,اشعة
53,SUB,القوى,القوي
54,OK,على,على
55,OK,مواضع,مواضع
56,OK,البدن,البدن
57,OK,واليه,واليه
58,OK,رجوع,رجوع
59,OK,انوارها,انوارها
60,OK,من,من
61,OK,محابس,محابس
62,OK,مظاهرها,مظاهرها
63,OK,هان,هان
64,OK,عليه,عليه
65,OK,التصديق,التصديق
66,OK,برجوع,برجوع
67,OK,الكل,الكل
68,OK,الى,الى
69,OK,الواحد,الواحد
70,OK,القهار,القهار
71,OK,وسهل,وسهل
72,OK,له,له
73,OK,سلوك,سلوك
74,OK,سبيل,سبيل
75,OK,الاهتداء,الاهتداء
76,OK,لهذا,لهذا
77,OK,المطلب,المطلب
78,OK,الشريف,الشريف
79,SUB,الذي,الذى
80,OK,اكثر,اكثر
81,OK,الخلق,الخلق
82,OK,عنه,عنه
83,OK,غافلون,غافلون
84,OK,وهو,وهو
85,SUB,النبا,النباء
86,OK,العظيم,العظيم
87,OK,الذي,الذي
88,OK,عنه,عنه
89,OK,معرضون,معرضون
90,OK,اما,اما
91,OK,شاهدت,شاهدت
92,OK,يا,يا
93,SUB,حبيبي,حبيبى
94,OK,تبدل,تبدل
95,OK,اجزاء,اجزاء
96,OK,العالم,العالم
97,OK,وطبائعها,وطبائعها
98,OK,في,في
99,OK,كل,كل
100,OK,لحظة,لحظة
101,SUB,وا,واما
102,DEL,ما,
103,OK,رايت,رايت
104,OK,انها,انها
105,OK,متزايلة,متزايلة
106,OK,متبدلة,متبدلة
107,OK,دائما,دائما
108,OK,بعضها,بعضها
109,OK,الى,الى
110,OK,بعض,بعض
111,OK,بحركة,بحركة
112,OK,جوهرية,جوهرية
113,SUB,ذاتيه,ذاتية
114,OK,وتوجها,وتوجها
115,OK,جبليا,جبليا
116,OK,الى,الى
117,SUB,مبداها,مبدئها
118,OK,واصلها,واصلها
119,OK,كما,كما
120,OK,قال,قال
121,OK,ولله,ولله
122,OK,ميراث,ميراث
123,SUB,السماوات,السموات
124,OK,والارض,والارض
125,OK,وقال,وقال
126,OK,الا,الا
127,OK,الى,الى
128,OK,الله,الله
129,OK,تصير,تصير
130,OK,الامور,الامور
131,OK,قل,قل
132,OK,كونوا,كونوا
133,OK,حجارة,حجارة
134,OK,او,او
135,OK,حديدا,حديدا
136,DEL,٢,
137,OK,او,او
138,OK,خلقا,خلقا
139,OK,مما,مما
140,OK,يكبر,يكبر
141,OK,في,في
142,OK,صدوركم,صدوركم
143,OK,قاعدة,قاعدة
144,OK,في,في
145,OK,معرفة,معرفة
146,OK,طريق,طريق
147,OK,الاخرة,الاخرة
148,OK,ومنشا,ومنشا
149,OK,اعراض,اعراض
150,OK,الخلق,الخلق
151,OK,عن,عن
152,OK,سلوكها,سلوكها
153,OK,اعلم,اعلم
154,OK,ان,ان
155,OK,طريق,طريق
156,OK,الاخرة,الاخرة
157,OK,سهلة,سهلة
