,operation,one,two
0,DEL,يغني,
1,DEL,بصوت,
2,SUB,خافت,نافتفون
3,INS,,ر
4,INS,,كتفاك
5,INS,,وتلن
6,INS,,حلة
7,INS,,الواقفة
8,INS,,لاقبك
9,INS,,طول
10,INS,,اليوم
11,OK,اتتذكرين,اتتذكرين
12,SUB,المستر,المسترف
13,SUB,فولرتون,ولرتون
14,OK,ساقط,ساقط
15,OK,الطل,الطل
16,OK,يا,يا
17,SUB,ادورد,ادور
18,SUB,لا,دلاالني
19,SUB,النحلة,حلة
20,OK,لا,لا
21,DEL,بد,
22,DEL,لاقبلك,
23,DEL,طول,
24,DEL,اليوم,
25,SUB,ان,يدان
26,SUB,نمضييا,مضى
27,INS,,يا
28,SUB,كلير,كليم
29,INS,,ست
30,SUB,عمي,مى
31,SUB,مساء,مسا
32,SUB,فولرتون,فولر
33,INS,,ت
34,INS,,و
35,INS,,ن
36,OK,واقفا,واقفا
37,OK,بين,بين
38,OK,زوجته,زوجته
39,SUB,وكلير,وكل
40,INS,,ير
41,SUB,انه,ان
42,INS,,هي
43,SUB,ينسجم,ذسج
44,OK,عليك,عليك
45,OK,جدا,جدا
46,OK,هذا,هذا
47,OK,التقرب,التقرب
48,SUB,كلير,كلي
49,SUB,عموا,رعم
50,SUB,مساء,وامساء
51,SUB,يرافقهما,رافق
52,INS,,هاهنلنج
53,SUB,هنتنجدون,دون
54,OK,الى,الى
55,SUB,الباب,البو
56,SUB,وتبقى,تبق
57,SUB,كلير,كير
58,OK,وحدها,وحدها
59,OK,فتقبض,فتقبض
60,SUB,يديها,درا
61,SUB,وتمضي,ومضى
62,OK,بسرعة,بسرعة
63,OK,الى,الى
64,OK,النافذة,النافذة
65,OK,وتقف,وتقف
66,OK,ناظرة,ناظرة
67,OK,منها,منها
68,SUB,هنتنجدون,هنتن
69,INS,,جدون
70,SUB,راجعا,راجما
71,SUB,اسمعي,ام
72,INS,,معى
73,SUB,يا,با
74,SUB,كلير,كاير
75,SUB,كلير,كل
76,INS,,يرم
77,SUB,ماذا,اذا
78,DEL,يا,
79,SUB,ريجي,اري
80,SUB,هنتنجدون,هنتن
81,INS,,جدون
82,INS,,ـ
83,SUB,ان,انه
84,SUB,هذا,ذات
85,SUB,تعقيد,عقد
86,INS,,د
87,SUB,للامور,الامور
88,OK,يا,يا
89,SUB,فتاتي,فتاف
90,SUB,وليس,ويسفوس
91,DEL,في,
92,DEL,وسعك,
93,SUB,ان,مكان
94,SUB,تفعلي,تذم
95,DEL,كما,
96,SUB,تفعلين,لتفعلين
97,OK,وان,وان
98,SUB,تكوني,ـكوى
99,OK,امنة,امنة
100,OK,سوء,سوء
101,SUB,العواقب,الهوا
102,INS,,ق
103,INS,,ب
104,OK,وليس,وليس
105,DEL,ثم,
106,SUB,رجل,ممرجل
107,OK,يستطيع,يستطيع
108,SUB,ان,انحته
109,DEL,يحتمل,
110,SUB,ذلك,لذلك
111,OK,واذا,واذا
112,OK,كان,كان
113,OK,هناك,هناك
114,OK,شيء,شيء
115,SUB,ضد,ضدجور
116,SUB,جورج,ج
117,INS,,في
118,SUB,فيحسن,يحسن
119,DEL,ان,
120,SUB,تخبريني,انخبرينى
121,SUB,كلير,كاي
122,SUB,تهز,ممهز
123,OK,راسها,راسها
124,DEL,ينبغي,
125,SUB,ان,بن
126,INS,,ب
127,INS,,فى
128,SUB,تعلمي,انتعل
129,SUB,اني,اى
130,SUB,في,فى
131,OK,هذه,هذه
132,SUB,الحالة,احالة
133,OK,اقف,اقف
134,DEL,الى,
135,SUB,جانبك,العانبكم
136,SUB,ماذا,اذا
137,SUB,هناك,ناك
138,SUB,قولي,قولى
139,DEL,كلير,
140,SUB,تزوج,زوج
141,OK,واكتشف,واكتشف
142,OK,بعد,بعد
143,OK,سنة,سنة
144,OK,انك,انك
145,OK,تزوجت,تزوجت
146,OK,المراة,المراة
147,SUB,التي,التى
148,SUB,لم,ل
149,SUB,يكن,ادكن
150,SUB,ينبغي,ان
151,INS,,تنى
152,OK,ان,ان
153,OK,تتزوج,تتزوج
154,OK,وان,وان
155,INS,,ا
156,INS,,ح
157,SUB,الخطا,طا
158,SUB,الذي,الذى
159,OK,حدث,حدث
160,SUB,بلغ,باغ
161,OK,من,من
162,OK,شدته,شدته
163,OK,انه,انه
164,OK,لا,لا
165,OK,سبيل,سبيل
166,OK,الى,الى
167,OK,تبادر,تبادر
168,SUB,فكرة,ذرة
169,OK,واحدة,واحدة
170,OK,وان,وان
171,DEL,دمك,
172,SUB,يقف,دهقف
173,OK,حين,حين
174,SUB,تقبلك,تقبلا
175,INS,,كحذثد
176,DEL,حينئذ,
177,SUB,تستطيع,تستطم
178,DEL,ان,
179,SUB,تفهم,م
180,SUB,هنتنجدون,هنتن
181,INS,,جدون
182,INS,,ـ
183,DEL,يا,
184,SUB,فتاتي,افتاى
185,OK,العزيزة,العزيزة
186,SUB,لست,است
187,OK,احب,احب
188,OK,ان,ان
189,OK,اكون,اكون
190,OK,وحشا,وحشا
191,OK,ولكن,ولكن
192,OK,من,من
193,OK,الصعب,الصعب
194,OK,ان,ان
195,SUB,يصدق,صدق
196,OK,المرء,المرء
197,OK,ذلك,ذلك
198,SUB,في,فى
