,operation,one,two
0,INS,,٥
1,SUB,فمزقتها,فزقب
2,INS,,او
3,SUB,وكانها,كابها
4,SUB,تود,توداني
5,DEL,ان,
6,SUB,يصير,صير
7,OK,جسمها,جسمها
8,SUB,كله,كا
9,SUB,ايديا,هايدبا
10,OK,تشترك,تشترك
11,DEL,في,
12,SUB,تمزيقها,فمزيقها
13,OK,وهكذا,وهكذا
14,SUB,اخذت,اشذت
15,OK,تحاسبه,تحاسبه
16,OK,واخذ,واخذ
17,SUB,يحاسبها,عاسه
18,SUB,وشعر,وشر
19,SUB,بالتضييق,التضيق
20,SUB,عليه,عله
21,INS,,و
22,SUB,ولكنه,لـكنة
23,OK,لم,لم
24,OK,يضجر,يضجر
25,OK,منه,منه
26,DEL,ولم,
27,SUB,يتبرم,ويبرم
28,SUB,بالباعث,بالب
29,SUB,اليه,اعتالمة
30,SUB,وانشا,وانشايت
31,DEL,يتعود,
32,SUB,ان,عودان
33,OK,يفكر,يفكر
34,SUB,فيما,قمنا
35,SUB,تصنعه,اصنع
36,INS,,هود
37,SUB,وفيمن,دون
38,SUB,تلقاه,تلقاها
39,SUB,اثناء,ثناء
40,SUB,غيابها,غيا
41,INS,,مما
42,SUB,ويتعود,ويتردان
43,DEL,ان,
44,SUB,يسالها,يا
45,SUB,وان,هاوان
46,SUB,يتحرى,ترى
47,INS,,٠
48,INS,,وا
49,SUB,حركاتها,رعاتر
50,SUB,وفرغ,تحفر
51,SUB,لها,وما
52,DEL,فوقع,
53,DEL,في,
54,DEL,روعه,
55,SUB,الا,لا
56,OK,يقنع,يقنع
57,SUB,منها,مياما
58,DEL,بما,
59,OK,دون,دون
60,SUB,الاستئثار,الام
61,INS,,يا
62,OK,والتفرد,والتفرد
63,SUB,وانقلب,وانقلال
64,SUB,الجدول,جدالا
65,SUB,الهادئ,لا
66,INS,,اد
67,OK,المنساب,المنساب
68,OK,رويدا,رويدا
69,OK,رويدا,رويدا
70,OK,فغاب,فغاب
71,SUB,فيه,في
72,SUB,الحمل,هامل
73,OK,الوديع,الوديع
74,INS,,و
75,SUB,وبرز,برز
76,OK,منه,منه
77,SUB,الاسد,الاسدال
78,SUB,المتحفز,متحفز
79,OK,ولو,ولو
80,SUB,ظل,فظل
81,DEL,كما,
82,SUB,كان,اكات
83,OK,جدولا,جدولا
84,SUB,وديعا,وديع
85,SUB,لصفا,الصفا
86,OK,واسترسل,واسترسل
87,SUB,او,اول
88,SUB,لانتهى,انتهى
89,SUB,كما,كايسي
90,DEL,ينتهي,
91,OK,النهر,النهر
92,OK,الى,الى
93,SUB,مصبه,مصره
94,DEL,في,
95,DEL,رفق,
96,SUB,وسخاوة,فرفقويخاوة
97,INS,,دس
98,DEL,ذلك,
99,DEL,سبب,
100,SUB,من,ههنا
101,SUB,اسباب,ا
102,SUB,الهيام,لئام
103,SUB,وقلما,وقل
104,INS,,ا
105,SUB,يكون,كان
106,OK,الهيام,الهيام
107,OK,لسبب,لسبب
108,OK,واحد,واحد
109,SUB,ومن,ور
110,INS,,نه
111,SUB,اسبابه,هساسا
112,INS,,به
113,SUB,الكثيرة,الكثلذ
114,INS,,حالا
115,DEL,لذة,
116,SUB,الاستكشاف,كشاف
117,SUB,الدائم,الداماص
118,SUB,المصحوب,و
119,OK,بالتجديد,بالتجديد
120,SUB,والتنويع,والتنويح
121,OK,فان,فان
122,OK,الرجل,الرجل
123,SUB,ليسره,ليراني
124,DEL,ان,
125,SUB,يستكشف,تكهف
126,OK,المراة,المراة
127,SUB,ويسره,ويسرها
128,SUB,الا,لا
129,SUB,يزال,زالوا
130,SUB,واجدا,جدا
131,SUB,فيها,فما
132,INS,,يا
133,DEL,كل,
134,SUB,حين,حن
135,OK,ميدانا,ميدانا
136,OK,جديدا,جديدا
137,OK,للاستكشاف,للاستكشاف
138,SUB,ويسره,ويسرها
139,DEL,ان,
140,SUB,يراقب,نراقب
141,SUB,المراة,امراة
142,SUB,وهي,رهى
143,SUB,تستكشفه,تكفه
144,OK,وتتخذ,وتتخذ
145,SUB,لها,لي
146,INS,,امن
147,DEL,مسربا,
148,OK,الى,الى
149,OK,عواطفه,عواطفه
150,SUB,وترفع,ورب
151,SUB,من,عرن
152,SUB,دخائله,خائلة
153,SUB,حجابا,كا
154,INS,,لا
155,OK,وراء,وراء
156,SUB,حجاب,حوب
157,SUB,ويسره,وي
158,SUB,ان,رهان
159,SUB,يستكشفا,يستكثف
160,SUB,الدنيا,االدم
161,INS,,او
162,INS,,اسم
163,SUB,معا,ما
164,SUB,والناس,و
165,DEL,معا,
166,SUB,والطبيعة,ااط
167,SUB,معا,سعة
168,DEL,بروح,
169,SUB,مركبة,محابر
170,SUB,من,ومر
171,INS,,به
172,SUB,روحين,روحي
173,INS,,ن
174,OK,وجسد,وجسد
175,OK,مؤلف,مؤلف
176,OK,من,من
177,OK,جسدين,جسدين
178,OK,وضياء,وضياء
179,SUB,كله,اه
180,SUB,شفوف,فو
181,SUB,وتجديد,وجدد
182,SUB,وافاق,وافاقت
183,SUB,تنساح,نساح
184,DEL,الى,
185,SUB,افاق,الافاق
