,operation,one,two
0,INS,,٣٢
1,OK,الى,الى
2,OK,ان,ان
3,OK,يطوف,يطوف
4,SUB,في,ف
5,OK,القاهرة,القاهرة
6,SUB,لا,لايله
7,DEL,يلم,
8,OK,بمساجدها,بمساجدها
9,OK,ومشاهدها,ومشاهدها
10,SUB,وانما,وابما
11,OK,ينظر,ينظر
12,OK,الى,الى
13,OK,ما,ما
14,SUB,فيها,في
15,INS,,او
16,DEL,ومن,
17,SUB,فيها,منفيا
18,OK,من,من
19,OK,الاشياء,الاشياء
20,OK,والاحياء,والاحياء
21,OK,ويوازن,ويوازن
22,OK,بين,بين
23,OK,هذه,هذه
24,OK,المدينة,المدينة
25,OK,الضخمة,الضخمة
26,OK,الكبيرة,الكبيرة
27,OK,وبين,وبين
28,OK,مدينته,مدينته
29,OK,تلك,تلك
30,OK,المنكمشة,المنكمشة
31,SUB,على,عل
32,OK,ضفة,ضفة
33,OK,النيل,النيل
34,OK,في,في
35,INS,,بعض
36,SUB,بعضالاقاليم,الاقالة
37,OK,وقد,وقد
38,OK,تنازعه,تنازعه
39,OK,نفسه,نفسه
40,OK,الى,الى
41,OK,اماكن,اماكن
42,OK,كانت,كانت
43,OK,تذكر,تذكر
44,OK,له,له
45,OK,احيانا,احيانا
46,OK,من,من
47,OK,تلك,تلك
48,OK,الافواه,الافواه
49,OK,الغاوية,الغاوية
50,OK,ولكنه,ولكنه
51,OK,يسرع,يسرع
52,OK,الى,الى
53,OK,نفسه,نفسه
54,OK,ان,ان
55,OK,عقدة,عقدة
56,OK,قد,قد
57,INS,,فرض
58,INS,,الله
59,SUB,فرضللهعليه,عليه
60,OK,ان,ان
61,OK,يرعى,يرعى
62,OK,حرماتها,حرماتها
63,DEL,ثم,
64,SUB,يسرع,ميسر
65,SUB,الى,عالي
66,SUB,متجرصهره,متجر
67,INS,,صهره
68,SUB,كانما,كا
69,INS,,ما
70,OK,ياوي,ياوي
71,OK,اليه,اليه
72,OK,والى,والى
73,OK,صاحبه,صاحبه
74,OK,يستجير,يستجير
75,OK,بهما,بهما
76,OK,من,من
77,OK,هذا,هذا
78,INS,,الح
79,SUB,الخاطر,اطر
80,SUB,الاثم,الا
81,SUB,الذي,مالذي
82,OK,مر,مر
83,OK,بضميره,بضميره
84,OK,ساعة,ساعة
85,OK,من,من
86,SUB,نهار,سار
87,OK,هناك,هناك
88,OK,يقيم,يقيم
89,OK,مع,مع
90,OK,صهره,صهره
91,OK,واعوانه,واعوانه
92,OK,سامعا,سامعا
93,OK,لما,لما
94,OK,يقولون,يقولون
95,OK,مشاركا,مشاركا
96,SUB,فيما,فيا
97,OK,يديرون,يديرون
98,OK,من,من
99,OK,حديث,حديث
100,OK,اخذا,اخذا
101,OK,معهم,معهم
102,SUB,في,ف
103,INS,,بعض
104,SUB,بعضالعمل,العمل
105,OK,كانه,كانه
106,OK,من,من
107,OK,اهل,اهل
108,SUB,المتجر,المتح
109,SUB,ثم,رمير
110,SUB,يروح,و
111,SUB,مع,جمع
112,OK,حميه,حميه
113,OK,الى,الى
114,OK,البيت,البيت
115,OK,فلا,فلا
116,SUB,يخرج,تخرج
117,OK,منه,منه
118,OK,الا,الا
119,OK,اذا,اذا
120,OK,كان,كان
121,OK,الغد,الغد
122,INS,,هو
123,SUB,وكثيرا,كثيرا
124,OK,ما,ما
125,OK,كان,كان
126,OK,يلوم,يلوم
127,OK,نفسه,نفسه
128,OK,اشد,اشد
129,OK,اللوم,اللوم
130,SUB,على,عل
131,OK,سيرته,سيرته
132,OK,هذه,هذه
133,SUB,الاثمة,الامة
134,OK,مع,مع
135,OK,امراته,امراته
136,OK,هذه,هذه
137,OK,البرة,البرة
138,OK,فهي,فهي
139,OK,لم,لم
140,OK,تخلق,تخلق
141,SUB,نفسها,نفهمها
142,SUB,وانما,وات
143,INS,,ما
144,OK,خلقها,خلقها
145,SUB,لله,الله
146,OK,فانكار,فانكار
147,SUB,صورتها,صارها
148,OK,انكار,انكار
149,OK,لما,لما
150,OK,خلق,خلق
151,SUB,لله,الله
152,SUB,فيه,فيها
153,SUB,اثم,م
154,OK,قد,قد
155,SUB,ينتهي,يتم
156,OK,بصاحبه,بصاحبه
157,OK,الى,الى
158,OK,الكفر,الكفر
159,SUB,وهي,وه
160,OK,لم,لم
161,OK,تدعه,تدعه
