,operation,one,two
0,INS,,اسرارالليات
1,OK,تعلمت,تعلمت
2,OK,من,من
3,OK,كل,كل
4,SUB,شيء,شىء
5,OK,احسن,احسن
6,DEL,ما,
7,DEL,فيه,
8,SUB,حتى,ملقاهحتى
9,OK,من,من
10,DEL,الكلب,
11,SUB,حمايته,ايكليحملاته
12,OK,على,على
13,OK,اهله,اهله
14,OK,ومن,ومن
15,OK,الغراب,الغراب
16,OK,بكوره,بكوره
17,OK,في,في
18,OK,حاجته,حاجته
19,DEL,ولا,
20,SUB,يبعد,ولايبعد
21,OK,ان,ان
22,OK,يكون,يكون
23,OK,قوله,قوله
24,OK,تعالى,تعالى
25,INS,,و
26,SUB,واوحى,اوحى
27,OK,ربك,ربك
28,OK,الى,الى
29,OK,النحل,النحل
30,OK,الاية,الاية
31,OK,تنبيها,تنبيها
32,OK,للانسان,للانسان
33,OK,على,على
34,OK,التعلم,التعلم
35,INS,,و
36,SUB,والاقتداء,الاقتداء
37,OK,بالنحل,بالنحل
38,OK,في,في
39,OK,مراعاته,مراعاته
40,OK,لوحي,لوحي
41,OK,الله,الله
42,OK,تعالى,تعالى
43,OK,فكما,فكما
44,OK,انها,انها
45,DEL,لا,
46,SUB,يتخطى,لايتخطى
47,OK,وحي,وحي
48,OK,الله,الله
49,OK,في,في
50,OK,مجرى,مجرى
51,OK,المصالح,المصالح
52,OK,طبعا,طبعا
53,OK,كذا,كذا
54,OK,يجب,يجب
55,OK,على,على
56,OK,الانسان,الانسان
57,OK,ان,ان
58,DEL,لا,
59,SUB,يتخطى,لايتخطى
60,OK,وحي,وحي
61,OK,الله,الله
62,OK,اختيارا,اختيارا
63,OK,قاعدة,قاعدة
64,OK,في,في
65,OK,خلقة,خلقة
66,OK,الانسان,الانسان
67,INS,,و
68,SUB,وانه,انه
69,OK,الثمرة,الثمرة
70,OK,العليا,العليا
71,INS,,و
72,SUB,واللباب,اللباب
73,SUB,الاصفى,اللصفى
74,INS,,و
75,SUB,والغاية,الغاية
76,OK,القصوى,القصوى
77,OK,من,من
78,OK,وجود,وجود
79,OK,سائر,سائر
80,OK,الاكوان,الاكوان
81,INS,,و
82,SUB,والكلام,الكلام
83,OK,هاهنا,هاهنا
84,OK,في,في
85,OK,مادة,مادة
86,OK,وجوده,وجوده
87,OK,وسيجيء,وسيجيء
88,OK,الكلام,الكلام
89,OK,في,في
90,OK,صورة,صورة
91,OK,وجوده,وجوده
92,OK,اعلم,اعلم
93,OK,ان,ان
94,OK,الطبيعة,الطبيعة
95,SUB,ما,مالم
96,DEL,لم,
97,OK,توف,توف
98,OK,بالمادة,بالمادة
99,OK,جميع,جميع
100,OK,درجات,درجات
101,OK,النوع,النوع
102,OK,الاخس,الاخس
103,OK,لم,لم
104,OK,يتجاوز,يتجاوز
105,OK,بها,بها
106,OK,الى,الى
107,OK,النوع,النوع
108,OK,الاشرف,الاشرف
109,INS,,و
110,SUB,وقد,قد
111,OK,حقق,حقق
112,OK,بالبرهان,بالبرهان
113,OK,ان,ان
114,OK,الموجود,الموجود
115,OK,الاشرف,الاشرف
116,SUB,يجب,يحب
117,OK,ان,ان
118,SUB,يندرج,يندرحج
119,SUB,فيه,وبه
120,SUB,جميع,جماع
121,INS,,بى
122,SUB,المعاني,المعا
123,OK,المتحققة,المتحققة
124,OK,في,في
125,OK,الموجود,الموجود
126,OK,الاخس,الاخس
127,OK,على,على
128,OK,وجه,وجه
129,OK,اعلى,اعلى
130,INS,,و
131,SUB,والطف,الطف
132,INS,,و
133,SUB,وقد,قد
134,OK,اشرنا,اشرنا
135,OK,انفا,انفا
136,OK,الى,الى
137,OK,ان,ان
138,OK,العناصر,العناصر
139,OK,اذا,اذا
140,OK,امتزج,امتزج
141,OK,بعضها,بعضها
142,OK,ببعض,ببعض
143,INS,,و
144,SUB,وخرجت,خرجت
145,OK,بسبب,بسبب
146,OK,اعتدال,اعتدال
147,OK,كيفياتها,كيفياتها
148,OK,عن,عن
149,OK,صرافة,صرافة
150,OK,تضادها,تضادها
151,INS,,و
152,SUB,وتعصيها,تعصبها
153,OK,عن,عن
154,OK,قبول,قبول
155,OK,الفيض,الفيض
156,OK,الالهي,الالهي
157,OK,تصير,تصير
158,OK,قابلة,قابلة
159,OK,لاثر,لاثر
160,OK,من,من
161,OK,اثار,اثار
162,OK,الحياة,الحياة
163,SUB,فاول,واول
164,DEL,ما,
165,SUB,قبلته,ملقييته
166,OK,من,من
167,OK,افاضة,افاضة
168,OK,الله,الله
169,OK,هي,هي
170,OK,صورة,صورة
171,OK,حافظة,حافظة
172,OK,لتركيبها,لتركيبها
173,SUB,مبقية,ميقاة
174,OK,لوجودها,لوجودها
175,OK,باذن,باذن
176,OK,الله,الله
177,OK,تعالى,تعالى
