,operation,one,two
0,OK,الناس,الناس
1,OK,من,من
2,OK,العمال,العمال
3,OK,والزبائن,والزبائن
4,OK,يرونها,يرونها
5,OK,وان,وان
6,OK,عيونهم,عيونهم
7,OK,جميعا,جميعا
8,OK,عليها,عليها
9,OK,وانهم,وانهم
10,OK,جميعا,جميعا
11,OK,يفحصونها,يفحصونها
12,OK,ليعرفوا,ليعرفوا
13,OK,سر,سر
14,OK,هذا,هذا
15,OK,السحر,السحر
16,SUB,الذى,الذي
17,OK,ذهب,ذهب
18,OK,بلب,بلب
19,OK,الرجل,الرجل
20,SUB,الذى,الذي
21,OK,الفوا,الفوا
22,SUB,منه,مذه
23,OK,الرزانة,الرزانة
24,OK,والوقار,والوقار
25,OK,والسكينة,والسكينة
26,OK,والظرف,والظرف
27,SUB,والعقل,والعقلل
28,OK,وارادت,وارادت
29,OK,ان,ان
30,OK,تستمهله,تستمهله
31,SUB,فابى,وابىى
32,OK,فاقترحت,فاقترحت
33,OK,ان,ان
34,OK,يذهبا,يذهبا
35,OK,بالماذون,بالماذون
36,OK,الى,الى
37,OK,البيت,البيت
38,INS,,ت
39,SUB,فابى,وابي
40,SUB,ايضا,ايضاا
41,OK,وقال,وقال
42,INS,,ل
43,OK,ان,ان
44,OK,ناسا,ناسا
45,OK,فى,فى
46,OK,هذا,هذا
47,OK,الزمان,الزمان
48,OK,يتزوجون,يتزوجون
49,SUB,فى,في
50,SUB,الطيارة,الطيار
51,INS,,ة
52,INS,,ة
53,OK,فماذا,فماذا
54,OK,يمنع,يمنع
55,OK,ان,ان
56,OK,نتزوج,نتزوج
57,SUB,فى,في
58,OK,الدكان,الدكان
59,OK,فقالت,فقالت
60,INS,,ت
61,OK,انه,انه
62,OK,فرق,فرق
63,OK,ساعة,ساعة
64,INS,,ة
65,OK,والمسافة,والمسافة
66,OK,الى,الى
67,OK,البيت,البيت
68,OK,لا,لا
69,OK,تستغرق,تستغرق
70,SUB,زمنا,زمناا
71,SUB,فابى,وابي
72,SUB,ايضا,ايضاا
73,OK,وقال,وقال
74,OK,انه,انه
75,OK,يخاف,يخاف
76,OK,عليها,عليها
77,OK,ان,ان
78,OK,تطير,تطير
79,OK,وتتسرب,وتتسرب
80,OK,فى,فى
81,OK,الهواء,الهواء
82,INS,,ء
83,OK,كلا,كلا
84,SUB,ولابد,ولا
85,INS,,بد
86,OK,ان,ان
87,OK,يكون,يكون
88,OK,العقد,العقد
89,SUB,هنا,هذا
90,INS,,ي
91,OK,وراقها,وراقها
92,OK,هذا,هذا
93,SUB,الجنون,الجنان
94,OK,والهب,والهب
95,OK,خيالها,خيالها
96,OK,فرضيت,فرضيت
97,INS,,ت
98,OK,وتزوجا,وتزوجا
99,SUB,فى,في
100,OK,الدكان,الدكان
101,INS,,ن
102,INS,,قالت
103,INS,,له
104,INS,,وهما
105,INS,,خارجان
106,INS,,ن
107,OK,نسيت,نسيت
108,OK,ان,ان
109,OK,اقول,اقول
110,OK,لك,لك
111,SUB,انى,اني
112,OK,وجدت,وجدت
113,OK,ان,ان
114,OK,الدكان,الدكان
115,OK,لم,لم
116,OK,يكن,يكن
117,OK,خاليا,خاليا
118,DEL,وقالت,
119,DEL,له,
120,DEL,وهما,
121,DEL,خارجان,
122,OK,قط,قط
123,INS,,ط
124,OK,كان,كان
125,OK,ما,ما
126,OK,فيه,فيه
127,OK,مخزونا,مخزونا
128,OK,من,من
129,OK,ايام,ايام
130,OK,الصبى,الصبى
131,INS,,ى
132,OK,فلما,فلما
133,OK,ادرت,ادرت
134,SUB,عينى,عيني
135,SUB,فيه,فبه
136,OK,عرفت,عرفت
137,INS,,ت
138,OK,ولهذا,ولهذا
139,SUB,جئت,حذت
140,INS,,ت
141,SUB,فقبلها,وقبلها
142,OK,على,على
143,OK,باب,باب
144,OK,الدكان,الدكان
145,INS,,ن
146,OK,ولم,ولم
147,SUB,يستح,يستحى
148,OK,الرجل,الرجل
149,INS,,ل
150,INS,,٤٠
