,operation,one,two
0,INS,,نافت
1,INS,,فو
2,SUB,يغني,نر
3,INS,,كتف
4,INS,,ا
5,SUB,بصوت,كوت
6,INS,,لنحلة
7,SUB,خافت,الواقفة
8,INS,,لاقبك
9,INS,,طول
10,INS,,اليوم
11,SUB,اتتذكرين,اتتذ
12,INS,,كرين
13,OK,المستر,المستر
14,OK,فولرتون,فولرتون
15,OK,ساقط,ساقط
16,OK,الطل,الطل
17,DEL,يا,
18,SUB,ادورد,ياادورد
19,OK,لا,لا
20,SUB,النحلة,النيحلة
21,SUB,لا,لايد
22,DEL,بد,
23,DEL,لاقبلك,
24,DEL,طول,
25,DEL,اليوم,
26,OK,ان,ان
27,SUB,نمضييا,مضى
28,INS,,يا
29,SUB,كلير,كليم
30,INS,,س
31,SUB,عمي,تمى
32,SUB,مساء,مسا
33,OK,فولرتون,فولرتون
34,OK,واقفا,واقفا
35,OK,بين,بين
36,OK,زوجته,زوجته
37,OK,وكلير,وكلير
38,OK,انه,انه
39,SUB,ينسجم,يذسج
40,OK,عليك,عليك
41,OK,جدا,جدا
42,OK,هذا,هذا
43,OK,التقرب,التقرب
44,OK,كلير,كلير
45,OK,عموا,عموا
46,OK,مساء,مساء
47,SUB,يرافقهما,رافقها
48,SUB,هنتنجدون,هنلنجدون
49,OK,الى,الى
50,SUB,الباب,ال
51,INS,,ب
52,SUB,وتبقى,وتبق
53,SUB,كلير,كير
54,OK,وحدها,وحدها
55,OK,فتقبض,فتقبض
56,SUB,يديها,د
57,INS,,را
58,INS,,و
59,SUB,وتمضي,مضى
60,OK,بسرعة,بسرعة
61,OK,الى,الى
62,OK,النافذة,النافذة
63,OK,وتقف,وتقف
64,OK,ناظرة,ناظرة
65,OK,منها,منها
66,OK,هنتنجدون,هنتنجدون
67,SUB,راجعا,راجما
68,SUB,اسمعي,اممعى
69,SUB,يا,با
70,SUB,كلير,كاير
71,OK,كلير,كلير
72,OK,ماذا,ماذا
73,DEL,يا,
74,SUB,ريجي,اري
75,OK,هنتنجدون,هنتنجدون
76,INS,,ـ
77,OK,ان,ان
78,OK,هذا,هذا
79,SUB,تعقيد,تعقدد
80,SUB,للامور,الامور
81,SUB,يا,يافتاف
82,DEL,فتاتي,
83,SUB,وليس,ويس
84,SUB,في,ف
85,SUB,وسعك,وسمك
86,OK,ان,ان
87,SUB,تفعلي,تذمل
88,DEL,كما,
89,OK,تفعلين,تفعلين
90,OK,وان,وان
91,SUB,تكوني,ـكوى
92,OK,امنة,امنة
93,OK,سوء,سوء
94,SUB,العواقب,الهواقب
95,OK,وليس,وليس
96,SUB,ثم,مم
97,OK,رجل,رجل
98,OK,يستطيع,يستطيع
99,OK,ان,ان
100,SUB,يحتمل,حتهل
101,OK,ذلك,ذلك
102,OK,واذا,واذا
103,OK,كان,كان
104,OK,هناك,هناك
105,OK,شيء,شيء
106,OK,ضد,ضد
107,OK,جورج,جورج
108,SUB,فيحسن,فييحسن
109,OK,ان,ان
110,SUB,تخبريني,خبرينى
111,SUB,كلير,كايم
112,SUB,تهز,مهز
113,OK,راسها,راسها
114,SUB,ينبغي,بنبفى
115,OK,ان,ان
116,SUB,تعلمي,تعل
117,SUB,اني,اى
118,SUB,في,فى
119,OK,هذه,هذه
120,SUB,الحالة,احالة
121,OK,اقف,اقف
122,SUB,الى,ال
123,SUB,جانبك,عانبك
124,OK,ماذا,ماذا
125,SUB,هناك,ناك
126,SUB,قولي,قولى
127,DEL,كلير,
128,SUB,تزوج,زوج
129,OK,واكتشف,واكتشف
130,OK,بعد,بعد
131,OK,سنة,سنة
132,OK,انك,انك
133,OK,تزوجت,تزوجت
134,OK,المراة,المراة
135,SUB,التي,التى
136,SUB,لم,لا
137,SUB,يكن,دكن
138,SUB,ينبغي,انتنى
139,OK,ان,ان
140,OK,تتزوج,تتزوج
141,OK,وان,وان
142,SUB,الخطا,احطا
143,SUB,الذي,الذى
144,OK,حدث,حدث
145,SUB,بلغ,باغ
146,OK,من,من
147,OK,شدته,شدته
148,OK,انه,انه
149,OK,لا,لا
150,OK,سبيل,سبيل
151,OK,الى,الى
152,OK,تبادر,تبادر
153,SUB,فكرة,ذرة
154,OK,واحدة,واحدة
155,OK,وان,وان
156,SUB,دمك,ده
157,SUB,يقف,قف
158,OK,حين,حين
159,SUB,تقبلك,تقبلاك
160,SUB,حينئذ,حذ
161,INS,,ثد
162,SUB,تستطيع,تستطمم
163,DEL,ان,
164,DEL,تفهم,
165,OK,هنتنجدون,هنتنجدون
166,INS,,ـ
167,DEL,يا,
168,SUB,فتاتي,افتاى
169,OK,العزيزة,العزيزة
170,SUB,لست,است
171,SUB,احب,احبان
172,DEL,ان,
173,OK,اكون,اكون
174,SUB,وحشا,وحشاو
175,INS,,ل
176,SUB,ولكن,كن
177,OK,من,من
178,OK,الصعب,الصعب
179,OK,ان,ان
180,SUB,يصدق,صدق
181,OK,المرء,المرء
182,OK,ذلك,ذلك
183,SUB,في,فى
184,OK,غير,غير
185,SUB,القصص,الةعمص
186,OK,كلير,كلير
187,INS,,ـ
188,OK,نعم,نعم
189,DEL,لا,
190,SUB,يحتمل,لايجتمل
191,SUB,التصديق,التعد
192,INS,,دق
193,DEL,ما,
194,SUB,دمت,مادمت
195,SUB,لم,م
196,SUB,تجرب,رب
197,OK,هنتنجدون,هنتنجدون
198,SUB,اعني,اعى
199,OK,انك,انك
200,OK,اخترت,اخترت
201,OK,زوجك,زوجك
202,OK,بنفسك,بنفسك
203,OK,لم,لم
204,SUB,يكرهك,يكر
205,INS,,هك
206,OK,احد,احد
207,OK,على,على
208,OK,زواجه,زواجه
209,OK,كلير,كلير
210,SUB,الحقيقة,القرقة
211,OK,ان,ان
212,SUB,الامر,الا
213,INS,,م
214,OK,يبدو,يبدو
215,SUB,فظيعا,فظيما
216,OK,اليس,اليس
217,OK,كذلك,كذلك
218,SUB,الشاردة,ا
219,INS,,م
220,INS,,٩
221,INS,,١ب
