,operation,one,two
0,INS,,ـ
1,OK,انك,انك
2,OK,قاس,قاس
3,OK,انا,انا
4,SUB,يا,احير
5,DEL,خبر,
6,OK,اسود,اسود
7,OK,وهل,وهل
8,SUB,فى,في
9,OK,هذه,هذه
10,OK,الدنيا,الدنيا
11,SUB,الطويلة,الطوللة
12,OK,العريضة,العريضة
13,OK,من,من
14,OK,هو,هو
15,OK,ارق,ارق
16,OK,منى,منى
17,SUB,قلبا,قلا
18,OK,ولكنه,ولكنه
19,OK,ابى,ابى
20,INS,,٠٠
21,SUB,انا,وانا
22,INS,,ات
23,SUB,اتالم,الم
24,INS,,ـ
25,OK,اعرف,اعرف
26,OK,انه,انه
27,SUB,ابوك,اباك
28,SUB,واعرف,واعرفا
29,SUB,ايضا,نضا
30,OK,انه,انه
31,OK,نادر,نادر
32,OK,وانه,وانه
33,OK,منقطع,منقطع
34,SUB,القرين,القرينا
35,SUB,ايكفى,يكفي
36,OK,هذا,هذا
37,OK,الثناء,الثناء
38,OK,ام,ام
39,SUB,تريدين,تريدينا
40,SUB,الزيادة,لزيادة
41,SUB,يكفى,يكفي
42,OK,حسن,حسن
43,OK,ولكن,ولكن
44,OK,ذهوله,ذهوله
45,OK,يضحك,يضحك
46,OK,الثكلى,الثكلى
47,OK,فماذا,فماذا
48,SUB,اصنع,ا
49,OK,ما,ما
50,SUB,حيلتى,حيلتي
51,DEL,ولكن,
52,DEL,هل,
53,DEL,من,
54,DEL,الضرورى,
55,SUB,ان,ا
56,DEL,تقلده,
57,DEL,ان,
58,DEL,هذا,
59,OK,فقالت,فقالت
60,OK,الفتاة,الفتاة
61,OK,بلهجة,بلهجة
62,OK,مبطنة,مبطنة
63,SUB,بالعتاب,العتاب
64,INS,,ولكنه
65,INS,,لمن
66,INS,,الضروري
67,INS,,انتقلده
68,INS,,ان
69,INS,,هذا
70,OK,هو,هو
71,SUB,الذى,الذي
72,OK,يسوءني,يسوءني
73,OK,منك,منك
74,INS,,فقلت
75,SUB,فكرى,فكري
76,OK,يا,يا
77,SUB,فتاتى,فتاتي
78,SUB,قولى,قالي
79,SUB,لى,لي
80,OK,كيف,كيف
81,OK,يمكن,يمكن
82,DEL,ان,
83,SUB,اقص,اناقص
84,SUB,عليك,علي
85,SUB,الحكاية,كالحكاة
86,OK,واصف,واصف
87,SUB,لك,لكم
88,DEL,فقلت,
89,DEL,ما,
90,SUB,حدث,احدث
91,OK,بغير,بغير
92,OK,ذلك,ذلك
93,SUB,انى,اني
94,OK,لا,لا
95,SUB,اريد,ارند
96,OK,تقليده,تقليده
97,OK,ولكن,ولكن
98,OK,الصدق,الصدق
99,SUB,فى,في
100,OK,الرواية,الرواية
101,SUB,والفن,والقن
102,SUB,فى,في
103,SUB,عرضها,عرضه
104,DEL,فاقتنعت,
105,SUB,او,اي
106,DEL,هى,
107,DEL,لم,
108,DEL,تقتنع,
109,SUB,يتطلبان,تطلبان
110,OK,ذلك,ذلك
111,OK,بل,بل
112,OK,يجىء,يجىء
113,SUB,منى,مني
114,OK,التقليد,التقليد
115,OK,عفوا,عفوا
116,OK,وعلى,وعلى
117,OK,غير,غير
118,OK,عمد,عمد
119,INS,,فاقتنعت
120,INS,,او
121,INS,,هى
122,INS,,لم
123,INS,,تقتنع
124,OK,ولكنى,ولكنى
125,OK,كنت,كنت
126,OK,قبل,قبل
127,OK,ان,ان
128,OK,يدور,يدور
129,OK,هذا,هذا
130,OK,الحوار,الحوار
131,OK,قد,قد
132,OK,شرعت,شرعت
133,INS,,ا
134,SUB,اقص,قص
135,OK,عليها,عليها
136,OK,حادثة,حادثة
137,SUB,جديدة,حدد
138,INS,,دة
139,OK,من,من
140,OK,حوادثه,حوادثه
141,OK,التى,التى
142,OK,لا,لا
143,OK,اخر,اخر
144,OK,لها,لها
145,OK,فلما,فلما
146,OK,احتجت,احتجت
147,OK,الى,الى
148,OK,تقليده,تقليده
149,SUB,فى,في
150,OK,بعض,بعض
151,OK,مواقفها,مواقفها
152,OK,ضحكت,ضحكت
153,SUB,ثم,تم
154,OK,انقلبت,انقلبت
155,OK,تعاتب,تعاتب
156,OK,وتستهجن,وتستهجن
157,OK,التقليد,التقليد
158,OK,وتعيب,وتعيب
159,OK,المحاكاة,المحاكاة
160,OK,وهذا,وهذا
161,OK,بعض,بعض
162,OK,ما,ما
163,SUB,يحيرنى,يحيرني
164,OK,من,من
165,OK,المراة,المراة
166,OK,فقد,فقد
167,OK,كان,كان
168,OK,ضحكها,ضحكها
169,OK,وعتابها,وعتابها
170,SUB,فى,في
171,OK,وقت,وقت
172,OK,معا,معا
173,OK,وكانت,وكانت
174,OK,تضحك,تضحك
175,SUB,وتشير,وتشي
176,OK,الى,الى
177,OK,بيدها,بيدها
178,INS,,من
179,SUB,منكرة,كرة
180,INS,,ما
181,SUB,ماترى,ترى
182,OK,وتسمع,وتسمع
183,DEL,منى,
184,OK,وقد,وقد
185,OK,عرفتها,عرفتها
186,OK,من,من
187,OK,ابيها,ابيها
188,SUB,وبفضل,ويفضل
189,OK,ذهوله,ذهوله
190,SUB,العجيب,العحيب
191,OK,وكانت,وكانت
192,OK,تخرج,تخرج
193,OK,معه,معه
194,SUB,لتقيه,لتقية
195,OK,عواقب,عواقب
196,OK,ما,ما
197,DEL,يقع,
198,OK,منه,منه
199,OK,فكانها,فكانها
200,SUB,وهى,وهي
201,OK,ترافقه,ترافقه
202,INS,,١١٢
